"country","countryiso3","latest.year_SL.EMP.VULN.FE.ZS","latest.value_SL.EMP.VULN.FE.ZS"
"Afghanistan","AFG",2019,89.8930015563964
"Albania","ALB",2019,52.7689981460572
"Algeria","DZA",2019,23.3009998798371
"Angola","AGO",2019,79.6450004577636
"Arab World","ARB",2019,32.7961980185967
"Argentina","ARG",2019,20.099999666214
"Armenia","ARM",2019,37.9000000953674
"Australia","AUS",2019,8.13199989497662
"Austria","AUT",2019,6.85399997234345
"Azerbaijan","AZE",2019,62.9669990539551
"Bahamas, The","BHS",2019,8.20499980449677
"Bahrain","BHR",2019,0.976999998092651
"Bangladesh","BGD",2019,66.9870014190674
"Barbados","BRB",2019,11.192000463605
"Belarus","BLR",2019,2.16999999061227
"Belgium","BEL",2019,8.42200005054474
"Belize","BLZ",2019,29.9279992580414
"Benin","BEN",2019,94.1549987792969
"Bhutan","BTN",2019,83.9529991149902
"Bolivia","BOL",2019,69.2929992675782
"Bosnia and Herzegovina","BIH",2019,17.2379999160767
"Botswana","BWA",2019,29.0650010108948
"Brazil","BRA",2019,23.7239999771119
"Brunei Darussalam","BRN",2019,6.42699980735779
"Bulgaria","BGR",2019,6.33300000429153
"Burkina Faso","BFA",2019,89.9630012512207
"Burundi","BDI",2019,96.8239974975586
"Cabo Verde","CPV",2019,45.7460012435913
"Cambodia","KHM",2019,58.3959989547729
"Cameroon","CMR",2019,83.4260005950927
"Canada","CAN",2019,9.39900043606758
"Caribbean small states","CSS",2019,22.79386647899
"Central African Republic","CAF",2019,95.6479988098145
"Central Europe and the Baltics","CEB",2019,12.2542746387177
"Chad","TCD",2019,98.7880020141602
"Channel Islands","CHI",2019,7.99399995803833
"Chile","CHL",2019,22.9009990692139
"China","CHN",2019,48.845998764038
"Colombia","COL",2019,46.2450013160706
"Comoros","COM",2019,77.4560012817383
"Congo, Dem. Rep.","COD",2019,90.1789989471436
"Congo, Rep.","COG",2019,90.6940007209778
"Costa Rica","CRI",2019,20.8890006542206
"Cote d'Ivoire","CIV",2019,82.0420036315918
"Croatia","HRV",2019,6.50600004196167
"Cuba","CUB",2019,11.6639995574951
"Cyprus","CYP",2019,9.22300010919571
"Czech Republic","CZE",2019,10.6509997844696
"Denmark","DNK",2019,3.58100005984306
"Djibouti","DJI",2019,53.7649984359741
"Dominican Republic","DOM",2019,28.5099999904633
"Early-demographic dividend","EAR",2019,59.7478194316734
"East Asia & Pacific","EAS",2019,46.676307070156
"East Asia & Pacific (excluding high income)","EAP",2019,51.0166736747928
"East Asia & Pacific (IDA & IBRD countries)","TEA",2019,50.3173022515115
"Ecuador","ECU",2019,56.6250000000001
"Egypt, Arab Rep.","EGY",2019,32.9289999008178
"El Salvador","SLV",2019,42.9509997367859
"Equatorial Guinea","GNQ",2019,87.53600025177
"Eritrea","ERI",2019,92.7960014343262
"Estonia","EST",2019,4.76900017261505
"Eswatini","SWZ",2019,39.6129984855652
"Ethiopia","ETH",2019,89.0639991760254
"Euro area","EMU",2019,8.10560966521981
"Europe & Central Asia","ECS",2019,12.4600041639901
"Europe & Central Asia (excluding high income)","ECA",2019,17.5248376338634
"Europe & Central Asia (IDA & IBRD countries)","TEC",2019,17.2497743907658
"European Union","EUU",2019,8.90577545050969
"Fiji","FJI",2019,47.6240005493164
"Finland","FIN",2019,7.37699994444847
"Fragile and conflict affected situations","FCS",2019,79.3828892712082
"France","FRA",2019,6.19000017642975
"French Polynesia","PYF",2019,10.5559997260571
"Gabon","GAB",2019,39.2390004396438
"Gambia, The","GMB",2019,83
"Georgia","GEO",2019,49.3999996185302
"Germany","DEU",2019,4.95399993658066
"Ghana","GHA",2019,78.2760009765625
"Greece","GRC",2019,23.5609998703003
"Guam","GUM",2019,7.04399979114533
"Guatemala","GTM",2019,47.5749979019165
"Guinea","GIN",2019,95.4749984741211
"Guinea-Bissau","GNB",2019,84.4979991912842
"Guyana","GUY",2019,28.478000164032
"Haiti","HTI",2019,81.6539993286133
"Heavily indebted poor countries (HIPC)","HPC",2019,85.9761427420024
"High income","HIC",2019,7.94003965861904
"Honduras","HND",2019,53.0099992752075
"Hong Kong SAR, China","HKG",2019,4.01199990510941
"Hungary","HUN",2019,5.3450001180172
"IBRD only","IBD",2019,46.2800560701312
"Iceland","ISL",2019,6.04800000786781
"IDA & IBRD total","IBT",2019,54.3190148716706
"IDA blend","IDB",2019,73.4671603042953
"IDA only","IDX",2019,81.3339928925672
"IDA total","IDA",2019,79.1982332966834
"India","IND",2019,76.0870018005371
"Indonesia","IDN",2019,56.7769985198975
"Iran, Islamic Rep.","IRN",2019,41.9570007324219
"Iraq","IRQ",2019,8.8420000076294
"Ireland","IRL",2019,5.63800019025803
"Israel","ISR",2019,7.55600000172853
"Italy","ITA",2019,13.388999581337
"Jamaica","JAM",2019,30.6170008182525
"Japan","JPN",2019,7.8880000114441
"Jordan","JOR",2019,1.79999998211861
"Kazakhstan","KAZ",2019,22.7000003829598
"Kenya","KEN",2019,59.71399974823
"Korea, Dem. People’s Rep.","PRK",2019,93.7779960632324
"Korea, Rep.","KOR",2019,18.827000617981
"Kuwait","KWT",2019,0.0249999994412065
"Kyrgyz Republic","KGZ",2019,27.58899974823
"Lao PDR","LAO",2019,87.2590026855469
"Late-demographic dividend","LTE",2019,42.9879504734389
"Latin America & Caribbean","LCN",2019,33.2755420043015
"Latin America & Caribbean (excluding high income)","LAC",2019,33.8852925886759
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",2019,33.7733088505419
"Latvia","LVA",2019,6.9559998512268
"Least developed countries: UN classification","LDC",2019,82.6123205785079
"Lebanon","LBN",2019,14.0210003852844
"Lesotho","LSO",2019,19.3900005817413
"Liberia","LBR",2019,90.1079988479615
"Libya","LBY",2019,4.19999998807907
