"country","countryiso3","SL.EMP.VULN.MA.ZS_2013","SL.EMP.VULN.MA.ZS_2014","SL.EMP.VULN.MA.ZS_2015","SL.EMP.VULN.MA.ZS_2016","SL.EMP.VULN.MA.ZS_2017","SL.EMP.VULN.MA.ZS_2018","SL.EMP.VULN.MA.ZS_2019"
"Afghanistan","AFG",83.0890026092529,81.6979970932007,80.262999534607,78.7550029754638,77.1880025863648,77.1260032653808,77.0650024414063
"Albania","ALB",54.7690010070801,54.9049987792968,56.6730003356933,55.7230014801025,54.7749996185303,53.8179988861084,52.9120025634765
"Algeria","DZA",27.4740002155304,27.5559997558594,27.6539994478226,27.7320005893707,27.8260005712509,27.749999165535,27.683999300003
"Angola","AGO",53.9629983901978,53.6749982833862,53.4260005950927,53.1519994735718,52.8349990844727,52.5509986877442,52.2239999771118
"Arab World","ARB",24.906160929445,24.3778980412976,24.3115466314759,23.5287961625804,23.8077298212827,23.7634897284321,23.6886541001331
"Argentina","ARG",21.7579996585846,22.212000489235,22.4700006842613,23.0430006384849,23.3119991719723,22.8430001139641,23.0610007941723
"Armenia","ARM",37.496000289917,40.7989993095398,41.3210020065308,41.2019989490509,39.5709986686706,39.4370012283325,39.3239982128143
"Australia","AUS",12.7279995828867,13.0160001963377,13.0840000510216,12.9879999011755,12.8050004243851,12.8159999996424,12.8090001344681
"Austria","AUT",9.10200011730194,9.01100003719329,8.98699975013733,8.76300013065338,8.1890001296997,7.89499974250794,7.84600007534027
"Azerbaijan","AZE",51.0959987640381,51.3020000457764,47.3129997253418,48.545000076294,48.7070007324219,48.1790008544922,47.996000289917
"Bahamas, The","BHS",19.5939998328686,19.3410001397133,19.6039995253086,19.3869996964931,19.3459995985031,19.3790007829666,19.3210007846355
"Bahrain","BHR",1.03599998354912,1.0280000269413,1.03700003027916,1.0440000295639,1.05199998617172,1.07799997925758,1.10600000619888
"Bangladesh","BGD",54.0579986572266,53.7089982032776,53.2320003509521,52.5480003356933,50.9339995384217,50.5839982032776,50.2569985389709
"Barbados","BRB",20.4650007486344,20.4329998046159,20.3620006591081,20.1950002908707,20.2449995279312,20.3340007811784,20.3309991583228
"Belarus","BLR",4.78799983672798,4.7760002296418,4.76400007214397,4.75100006069988,4.66999990865589,4.39200006052852,4.3869999460876
"Belgium","BEL",12.7649997472763,12.2420002222061,12.7830003798008,12.7300003170967,11.9340001046657,11.758000433445,11.7190002501011
"Belize","BLZ",24.1950006484985,23.9580006599427,24.6919994354248,25.6189994812012,29.6740005016327,29.48499917984,29.4379992485047
"Benin","BEN",82.6680030822754,82.4730014801025,82.3550024032593,82.2000026702881,81.9860019683838,81.7510023117066,81.5260000228882
"Bhutan","BTN",60.9959983825684,62.0510025024414,64.6469993591309,64.1389980316162,63.7459983825684,63.431001663208,63.0390014648437
"Bolivia","BOL",58.077000617981,59.5690011978149,61.1389999389648,62.5650010108947,59.2110013961792,58.7510013580322,58.452000617981
"Bosnia and Herzegovina","BIH",19.6999992132187,18.2199991941452,18.2789999246597,18.306000828743,18.335999250412,15.7200003862381,15.4900002479553
"Botswana","BWA",23.8590006828309,23.7850003242492,23.7049992084503,23.4929995536805,23.3749997615814,23.23100066185,23.1269991397858
"Brazil","BRA",28.9500004053116,29.0670008659363,30.3590004444122,30.9879995584488,30.8140007257461,30.995999455452,31.0100004673004
"Brunei Darussalam","BRN",4.45799997448921,4.46399995684624,4.87099987268448,5.31000006198883,5.77700001001358,5.76099985837936,5.74499991536141
"Bulgaria","BGR",9.49099975824357,10.0599998533726,9.86400035023689,9.36700040102005,9.48999977111817,9.20299965143204,9.05700016021729
"Burkina Faso","BFA",85.3790016174316,84.5550003051758,84.4250011444091,84.2490005493165,84.0709991455078,83.882001876831,83.7240009307861
"Burundi","BDI",92.1140003204345,92.0870018005371,92.1320018768311,92.1400012969971,92.1430034637451,92.1389980316162,92.1459980010987
"Cabo Verde","CPV",29.2919993400574,28.7159996032715,28.1389999389649,27.7510004043579,27.4170007705688,26.9780006408691,26.6979990005494
"Cambodia","KHM",55.0809998512268,51.7050018310547,47.2940013408661,44.1159992218018,43.662000656128,43.1629986763001,42.6939992904663
