"country","countryiso3","latest.year_SL.EMP.VULN.MA.ZS","latest.value_SL.EMP.VULN.MA.ZS"
"Afghanistan","AFG",2019,77.0650024414063
"Albania","ALB",2019,52.9120025634765
"Algeria","DZA",2019,27.683999300003
"Angola","AGO",2019,52.2239999771118
"Arab World","ARB",2019,23.6886541001331
"Argentina","ARG",2019,23.0610007941723
"Armenia","ARM",2019,39.3239982128143
"Australia","AUS",2019,12.8090001344681
"Austria","AUT",2019,7.84600007534027
"Azerbaijan","AZE",2019,47.996000289917
"Bahamas, The","BHS",2019,19.3210007846355
"Bahrain","BHR",2019,1.10600000619888
"Bangladesh","BGD",2019,50.2569985389709
"Barbados","BRB",2019,20.3309991583228
"Belarus","BLR",2019,4.3869999460876
"Belgium","BEL",2019,11.7190002501011
"Belize","BLZ",2019,29.4379992485047
"Benin","BEN",2019,81.5260000228882
"Bhutan","BTN",2019,63.0390014648437
"Bolivia","BOL",2019,58.452000617981
"Bosnia and Herzegovina","BIH",2019,15.4900002479553
"Botswana","BWA",2019,23.1269991397858
"Brazil","BRA",2019,31.0100004673004
"Brunei Darussalam","BRN",2019,5.74499991536141
"Bulgaria","BGR",2019,9.05700016021729
"Burkina Faso","BFA",2019,83.7240009307861
"Burundi","BDI",2019,92.1459980010987
"Cabo Verde","CPV",2019,26.6979990005494
"Cambodia","KHM",2019,42.6939992904663
"Cameroon","CMR",2019,64.8889980316162
"Canada","CAN",2019,11.8620003461838
"Caribbean small states","CSS",2019,29.6078930274113
"Central African Republic","CAF",2019,87.7819976806641
"Central Europe and the Baltics","CEB",2019,16.3562983966451
"Chad","TCD",2019,88.1889963150025
"Channel Islands","CHI",2019,11.6659997701644
"Chile","CHL",2019,22.5439997911453
"China","CHN",2019,42.6549987792968
"Colombia","COL",2019,47.6350001096725
"Comoros","COM",2019,53.76699924469
"Congo, Dem. Rep.","COD",2019,69.6729984283447
"Congo, Rep.","COG",2019,62.0219993591309
"Costa Rica","CRI",2019,21.1559991836548
"Cote d'Ivoire","CIV",2019,63.4630002975464
"Croatia","HRV",2019,7.91300016641617
"Cuba","CUB",2019,30.2359993457794
"Cyprus","CYP",2019,12.6069999933243
"Czech Republic","CZE",2019,16.1149996370078
"Denmark","DNK",2019,6.07199981808662
"Djibouti","DJI",2019,38.7869987487793
"Dominican Republic","DOM",2019,48.0909999608993
"Early-demographic dividend","EAR",2019,55.2726365478198
"East Asia & Pacific","EAS",2019,39.9551610536802
"East Asia & Pacific (excluding high income)","EAP",2019,43.1882500747562
