"country","countryiso3","SL.UEM.TOTL.ZS_2013","SL.UEM.TOTL.ZS_2014","SL.UEM.TOTL.ZS_2015","SL.UEM.TOTL.ZS_2016","SL.UEM.TOTL.ZS_2017","SL.UEM.TOTL.ZS_2018","SL.UEM.TOTL.ZS_2019"
"Afghanistan","AFG",11.5340003967285,11.4479999542236,11.3870000839233,11.3129997253418,11.1840000152588,11.0570001602173,11.1180000305176
"Albania","ALB",15.8660001754761,17.4899997711182,17.0799999237061,15.2200002670288,13.75,12.3400001525879,12.331000328064
"Algeria","DZA",9.81999969482422,10.2069997787476,11.206000328064,10.2019996643066,11.996000289917,11.8819999694824,11.7040004730225
"Angola","AGO",7.40000009536743,7.33099985122681,7.28200006484985,7.22300004959106,7.11899995803833,7.01900005340576,6.88600015640259
"Arab World","ARB",10.5741310525293,10.6546267481255,10.6753196937496,10.4509449147842,10.6413131629946,10.5633442612973,10.3369462233629
"Argentina","ARG",7.09999990463257,7.26800012588501,7.75,7.97700023651123,8.34700012207031,9.22000026702881,9.78899955749512
"Armenia","ARM",16.1790008544922,17.4979991912842,18.2609996795654,17.617000579834,17.7049999237061,17.496000289917,16.9899997711182
"Australia","AUS",5.66200017929077,6.0770001411438,6.05399990081787,5.71000003814697,5.59100008010864,5.2979998588562,5.26800012588501
"Austria","AUT",5.33500003814697,5.61999988555908,5.72300004959106,6.01399993896484,5.49900007247925,4.84800004959106,4.67399978637695
"Azerbaijan","AZE",4.96999979019165,4.90999984741211,4.96000003814697,5,5,4.90000009536743,5.50899982452393
"Bahamas, The","BHS",16.1800003051758,13.8000001907349,12,12.6999998092651,9.80000019073486,10,10.3599996566772
"Bahrain","BHR",1.32299995422363,1.16999995708466,1.12999999523163,0.919000029563904,0.700999975204468,0.649999976158142,0.71399998664856
"Bangladesh","BGD",4.42600011825562,4.39499998092651,4.37799978256226,4.34999990463257,4.37200021743774,4.2810001373291,4.19000005722046
"Barbados","BRB",11.5500001907349,12.1700000762939,11.3500003814697,9.72000026702881,9.76099967956543,9.38500022888184,10.331000328064
"Belarus","BLR",6.06300020217896,5.98099994659424,5.91400003433228,5.84000015258789,5.65000009536743,4.76000022888184,4.59499979019165
"Belgium","BEL",8.42500019073486,8.52299976348877,8.48200035095215,7.82999992370605,7.08599996566772,5.94799995422363,5.58900022506714
"Belize","BLZ",8.34899997711182,8.24400043487549,7.57800006866455,7,6.59499979019165,6.51200008392334,6.41300010681152
"Benin","BEN",2.67700004577637,2.62100005149841,2.58200001716614,2.53699994087219,2.45900011062622,2.38599991798401,2.23200011253357
"Bhutan","BTN",2.86999988555908,2.63000011444092,2.45000004768372,2.41599988937378,2.35800004005432,2.30299997329712,2.34200000762939
"Bolivia","BOL",2.39400005340576,2.00699996948242,3.06599998474121,3.52500009536743,3.67000007629395,3.53399991989136,3.49799990653992
"Bosnia and Herzegovina","BIH",27.4500007629395,27.5170001983643,27.6940002441406,25.4080009460449,20.5270004272461,18.3999996185303,18.4249992370605
"Botswana","BWA",17.9209995269775,17.8190002441406,17.7469997406006,17.6590003967285,17.5049991607666,17.3530006408691,18.193000793457
"Brazil","BRA",6.97599983215332,6.66099977493286,8.42700004577637,11.6000003814697,12.8219995498657,12.3339996337891,12.0830001831055
"Brunei Darussalam","BRN",7.12599992752075,6.96500015258789,7.91400003433228,8.71100044250488,9.31599998474121,8.86200046539307,9.11699962615967
"Bulgaria","BGR",12.9409999847412,11.423999786377,9.14299964904785,7.57499980926514,6.16400003433228,5.21099996566772,4.34000015258789
"Burkina Faso","BFA",6.08699989318848,6.47900009155273,6.41800022125244,6.3439998626709,6.21600008010864,6.0939998626709,6.26399993896484
"Burundi","BDI",1.64400005340576,1.57200002670288,1.55200004577637,1.52799999713898,1.48699998855591,1.44799995422363,1.42700004577637
"Cabo Verde","CPV",11.5109996795654,11.6979999542236,11.9090003967285,12.1059999465942,12.2399997711182,12.1700000762939,12.2489995956421
"Cambodia","KHM",0.437999993562698,0.691999971866608,0.39300000667572,0.716000020503998,0.683000028133392,0.65200001001358,0.676999986171722
"Cameroon","CMR",3.71099996566772,3.53399991989136,3.50600004196167,3.47199988365173,3.41400003433228,3.35700011253357,3.38000011444092
"Canada","CAN",7.07399988174438,6.91400003433228,6.9060001373291,6.99900007247925,6.34000015258789,5.83099985122681,5.56400012969971
"Caribbean small states","CSS",11.5431232699405,10.7659259499761,10.5639743584888,10.4834363681144,9.55345614615701,8.37281178655369,8.01151959361201
"Central African Republic","CAF",3.95600008964539,3.90199995040894,3.86400008201599,3.81900000572205,3.74000000953674,3.66400003433228,3.6800000667572
"Central Europe and the Baltics","CEB",10.0446734627743,8.94980728491925,7.8147811615272,6.48766220352913,5.29333787389122,4.31245210198227,3.87037819158532
"Chad","TCD",1.78100001811981,1.80099999904633,1.83299994468689,1.85599994659424,1.84800004959106,1.83800005912781,1.89100003242493
"Channel Islands","CHI",8.52099990844727,8.29199981689453,8.08399963378906,7.85799980163574,7.62200021743774,7.40999984741211,7.48699998855591
"Chile","CHL",6.21400022506714,6.66499996185303,6.50799989700317,6.73799991607666,6.95800018310547,7.23299980163574,7.09000015258789
"China","CHN",4.59000015258789,4.60900020599365,4.62900018692017,4.53499984741211,4.44099998474121,4.27600002288818,4.32000017166138
"Colombia","COL",9.05200004577637,8.57199954986572,8.29899978637695,8.69200038909912,8.87199974060059,9.11100006103516,9.70699977874756
"Comoros","COM",4.5789999961853,4.52799987792969,4.49300003051758,4.44999980926514,4.375,4.30200004577637,4.33599996566772
"Congo, Dem. Rep.","COD",4.50299978256226,4.44500017166138,4.4060001373291,4.35699987411499,4.27299976348877,4.19299983978271,4.23600006103516
"Congo, Rep.","COG",10.0200004577637,9.95600032806396,9.91199970245361,9.85799980163574,9.76299953460693,9.67000007629395,9.47200012207031
"Costa Rica","CRI",8.76799964904785,9.05900001525879,8.99899959564209,8.59799957275391,8.14200019836426,9.63199996948242,11.8540000915527
"Cote d'Ivoire","CIV",4.25400018692017,3.6470000743866,3.10199999809265,2.59899997711182,3.27300000190735,3.21000003814697,3.31699991226196
"Croatia","HRV",17.2509994506836,17.2900009155273,16.1749992370605,13.1029996871948,11.2080001831055,8.43200016021729,6.93499994277954
"Cuba","CUB",3.28999996185303,2.70000004768372,2.40000009536743,2,1.70000004768372,1.70000004768372,1.63800001144409
"Cyprus","CYP",15.871000289917,16.0879993438721,14.9079999923706,12.9499998092651,11.0520000457764,8.36999988555908,7.27400016784668
"Czech Republic","CZE",6.95300006866455,6.10799980163574,5.0460000038147,3.95099997520447,2.89000010490417,2.24300003051758,1.93299996852875
"Denmark","DNK",6.99700021743774,6.58900022506714,6.16800022125244,6.18100023269653,5.74300003051758,4.97499990463257,4.91300010681152
"Djibouti","DJI",10.7290000915527,10.6440000534058,10.5839996337891,10.5100002288818,10.3819999694824,10.2569999694824,10.2950000762939
"Dominican Republic","DOM",7.35200023651123,6.7189998626709,7.60500001907349,7.28299999237061,5.83199977874756,5.73899984359741,5.84499979019165
"Early-demographic dividend","EAR",5.71912921540211,5.64021908111991,5.77737569723466,5.78098557381238,5.70970890882416,5.68986989452834,5.81661353351152
"East Asia & Pacific","EAS",4.07011487563967,4.03926710058566,4.07916265893565,3.98654297990489,3.89991121712525,3.78843549920883,3.83028761058586
"East Asia & Pacific (excluding high income)","EAP",4.07426776553959,4.0541177649817,4.11050957083816,4.02446252671587,3.95013159933396,3.85276904887783,3.89568135064444
"East Asia & Pacific (IDA & IBRD countries)","TEA",4.09021098767249,4.07049846126498,4.12826319972169,4.04162485794194,3.96730069062712,3.86954435072767,3.91277163972041
"Ecuador","ECU",3.08299994468689,3.48000001907349,3.6159999370575,4.59700012207031,3.83599996566772,3.52999997138977,3.96799993515015
"Egypt, Arab Rep.","EGY",13.1540002822876,13.1049995422363,13.0520000457764,12.4069995880127,11.7370004653931,11.5920000076294,10.7600002288818
"El Salvador","SLV",3.69300007820129,4.15399980545044,3.99799990653992,4.41800022125244,4.38500022888184,4.00600004196167,4.1100001335144
