"country","countryiso3","latest.year_SL.UEM.TOTL.ZS","latest.value_SL.UEM.TOTL.ZS"
"Afghanistan","AFG",2019,11.1180000305176
"Albania","ALB",2019,12.331000328064
"Algeria","DZA",2019,11.7040004730225
"Angola","AGO",2019,6.88600015640259
"Arab World","ARB",2019,10.3369462233629
"Argentina","ARG",2019,9.78899955749512
"Armenia","ARM",2019,16.9899997711182
"Australia","AUS",2019,5.26800012588501
"Austria","AUT",2019,4.67399978637695
"Azerbaijan","AZE",2019,5.50899982452393
"Bahamas, The","BHS",2019,10.3599996566772
"Bahrain","BHR",2019,0.71399998664856
"Bangladesh","BGD",2019,4.19000005722046
"Barbados","BRB",2019,10.331000328064
"Belarus","BLR",2019,4.59499979019165
"Belgium","BEL",2019,5.58900022506714
"Belize","BLZ",2019,6.41300010681152
"Benin","BEN",2019,2.23200011253357
"Bhutan","BTN",2019,2.34200000762939
"Bolivia","BOL",2019,3.49799990653992
"Bosnia and Herzegovina","BIH",2019,18.4249992370605
"Botswana","BWA",2019,18.193000793457
"Brazil","BRA",2019,12.0830001831055
"Brunei Darussalam","BRN",2019,9.11699962615967
"Bulgaria","BGR",2019,4.34000015258789
"Burkina Faso","BFA",2019,6.26399993896484
"Burundi","BDI",2019,1.42700004577637
"Cabo Verde","CPV",2019,12.2489995956421
"Cambodia","KHM",2019,0.676999986171722
"Cameroon","CMR",2019,3.38000011444092
"Canada","CAN",2019,5.56400012969971
"Caribbean small states","CSS",2019,8.01151959361201
"Central African Republic","CAF",2019,3.6800000667572
"Central Europe and the Baltics","CEB",2019,3.87037819158532
"Chad","TCD",2019,1.89100003242493
"Channel Islands","CHI",2019,7.48699998855591
"Chile","CHL",2019,7.09000015258789
"China","CHN",2019,4.32000017166138
"Colombia","COL",2019,9.70699977874756
"Comoros","COM",2019,4.33599996566772
"Congo, Dem. Rep.","COD",2019,4.23600006103516
"Congo, Rep.","COG",2019,9.47200012207031
"Costa Rica","CRI",2019,11.8540000915527
"Cote d'Ivoire","CIV",2019,3.31699991226196
"Croatia","HRV",2019,6.93499994277954
"Cuba","CUB",2019,1.63800001144409
"Cyprus","CYP",2019,7.27400016784668
"Czech Republic","CZE",2019,1.93299996852875
"Denmark","DNK",2019,4.91300010681152
"Djibouti","DJI",2019,10.2950000762939
"Dominican Republic","DOM",2019,5.84499979019165
"Early-demographic dividend","EAR",2019,5.81661353351152
"East Asia & Pacific","EAS",2019,3.83028761058586
"East Asia & Pacific (excluding high income)","EAP",2019,3.89568135064444
"East Asia & Pacific (IDA & IBRD countries)","TEA",2019,3.91277163972041
"Ecuador","ECU",2019,3.96799993515015
"Egypt, Arab Rep.","EGY",2019,10.7600002288818
"El Salvador","SLV",2019,4.1100001335144
"Equatorial Guinea","GNQ",2019,6.43300008773804
"Eritrea","ERI",2019,5.14400005340576
"Estonia","EST",2019,5.11499977111816
"Eswatini","SWZ",2019,22.0830001831055
"Ethiopia","ETH",2019,2.08100008964539
"Euro area","EMU",2019,7.49616993302557
"Europe & Central Asia","ECS",2019,6.76318637591553
"Europe & Central Asia (excluding high income)","ECA",2019,7.49186521698847
"Europe & Central Asia (IDA & IBRD countries)","TEC",2019,6.99465123463036
"European Union","EUU",2019,6.66684856767525
"Fiji","FJI",2019,4.10099983215332
"Finland","FIN",2019,6.59499979019165
"Fragile and conflict affected situations","FCS",2019,7.24919703233794
"France","FRA",2019,8.42700004577637
"French Polynesia","PYF",2019,12.0959997177124
"Gabon","GAB",2019,20.003999710083
"Gambia, The","GMB",2019,9.05599975585938
"Georgia","GEO",2019,14.3979997634888
"Germany","DEU",2019,3.04299998283386
"Ghana","GHA",2019,4.33099985122681
"Greece","GRC",2019,17.238000869751
"Guam","GUM",2019,5.31099987030029
"Guatemala","GTM",2019,2.45900011062622
"Guinea","GIN",2019,4.2960000038147
"Guinea-Bissau","GNB",2019,2.46600008010864
"Guyana","GUY",2019,11.8520002365112
"Haiti","HTI",2019,13.7810001373291
"Heavily indebted poor countries (HIPC)","HPC",2019,4.44717314580436
"High income","HIC",2019,4.79325483693396
"Honduras","HND",2019,5.38600015640259
"Hong Kong SAR, China","HKG",2019,3.62899994850159
"Hungary","HUN",2019,3.3989999294281
"IBRD only","IBD",2019,5.77016457087044
"Iceland","ISL",2019,2.84200000762939
"IDA & IBRD total","IBT",2019,5.53023322337235
"IDA blend","IDB",2019,5.45839453854287
"IDA only","IDX",2019,4.38233995849833
"IDA total","IDA",2019,4.71128612826623
"India","IND",2019,5.35500001907349
"Indonesia","IDN",2019,4.68699979782104
"Iran, Islamic Rep.","IRN",2019,11.3819999694824
