"country","countryiso3","latest.year_SM.POP.NETM","latest.value_SM.POP.NETM"
"Afghanistan","AFG",2017,-314602
"Albania","ALB",2017,-69998
"Algeria","DZA",2017,-50002
"Angola","AGO",2017,32066
"Antigua and Barbuda","ATG",2017,0
"Arab World","ARB",2017,-1408824
"Argentina","ARG",2017,24000
"Armenia","ARM",2017,-24989
"Aruba","ABW",2017,1004
"Australia","AUS",2017,791229
"Austria","AUT",2017,324998
"Azerbaijan","AZE",2017,6002
"Bahamas, The","BHS",2017,4999
"Bahrain","BHR",2017,239000
"Bangladesh","BGD",2017,-1847503
"Barbados","BRB",2017,-397
"Belarus","BLR",2017,43648
"Belgium","BEL",2017,240000
"Belize","BLZ",2017,6000
"Benin","BEN",2017,-10000
"Bhutan","BTN",2017,1600
"Bolivia","BOL",2017,-47520
"Bosnia and Herzegovina","BIH",2017,-107926
"Botswana","BWA",2017,14999
"Brazil","BRA",2017,106000
"Brunei Darussalam","BRN",2017,0
"Bulgaria","BGR",2017,-24001
"Burkina Faso","BFA",2017,-125000
"Burundi","BDI",2017,10003
"Cabo Verde","CPV",2017,-6709
"Cambodia","KHM",2017,-149999
"Cameroon","CMR",2017,-24000
"Canada","CAN",2017,1210159
"Caribbean small states","CSS",2017,-87055
"Central African Republic","CAF",2017,-2e+05
"Central Europe and the Baltics","CEB",2017,-642033
"Chad","TCD",2017,10000
"Channel Islands","CHI",2017,6754
"Chile","CHL",2017,558539
"China","CHN",2017,-1741996
"Colombia","COL",2017,1023981
"Comoros","COM",2017,-10000
"Congo, Dem. Rep.","COD",2017,119303
"Congo, Rep.","COG",2017,-20000
"Costa Rica","CRI",2017,21000
"Cote d'Ivoire","CIV",2017,-40000
"Croatia","HRV",2017,-40004
"Cuba","CUB",2017,-72000
"Curacao","CUW",2017,2573
"Cyprus","CYP",2017,25000
"Czech Republic","CZE",2017,110057
"Denmark","DNK",2017,75998
"Djibouti","DJI",2017,4501
"Dominican Republic","DOM",2017,-150000
"Early-demographic dividend","EAR",2017,-11460012
"East Asia & Pacific","EAS",2017,-2057249
"East Asia & Pacific (excluding high income)","EAP",2017,-3791004
"East Asia & Pacific (IDA & IBRD countries)","TEA",2017,-3763991
"Ecuador","ECU",2017,182000
"Egypt, Arab Rep.","EGY",2017,-190164
"El Salvador","SLV",2017,-202694
"Equatorial Guinea","GNQ",2017,79998
"Eritrea","ERI",2017,-199290
"Estonia","EST",2017,19555
"Eswatini","SWZ",2017,-41764
"Ethiopia","ETH",2017,150002
"Euro area","EMU",2017,4446572
"Europe & Central Asia","ECS",2017,7894029
"Europe & Central Asia (excluding high income)","ECA",2017,1880978
"Europe & Central Asia (IDA & IBRD countries)","TEC",2017,1324001
"European Union","EUU",2017,4281648
"Fiji","FJI",2017,-31008
"Finland","FIN",2017,70000
"Fragile and conflict affected situations","FCS",2017,-9950688
"France","FRA",2017,182636
"French Polynesia","PYF",2017,-5000
"Gabon","GAB",2017,16301
"Gambia, The","GMB",2017,-15436
"Georgia","GEO",2017,-50000
"Germany","DEU",2017,2719112
"Ghana","GHA",2017,-50000
"Greece","GRC",2017,-80000
"Grenada","GRD",2017,-1000
"Guam","GUM",2017,-2532
"Guatemala","GTM",2017,-46073
"Guinea","GIN",2017,-20000
"Guinea-Bissau","GNB",2017,-6996
"Guyana","GUY",2017,-30001
"Haiti","HTI",2017,-175000
"Heavily indebted poor countries (HIPC)","HPC",2017,-1462971
"High income","HIC",2017,15844525
"Honduras","HND",2017,-34000
"Hong Kong SAR, China","HKG",2017,146542
"Hungary","HUN",2017,29999
"IBRD only","IBD",2017,-6056175
"Iceland","ISL",2017,1900
"IDA & IBRD total","IBT",2017,-15664439
"IDA blend","IDB",2017,-2260137
"IDA only","IDX",2017,-7348127
"IDA total","IDA",2017,-9608264
"India","IND",2017,-2663434
"Indonesia","IDN",2017,-494777
"Iran, Islamic Rep.","IRN",2017,-274998
"Iraq","IRQ",2017,39171
"Ireland","IRL",2017,118020
"Israel","ISR",2017,50002
"Italy","ITA",2017,744713
"Jamaica","JAM",2017,-56658
"Japan","JPN",2017,357800
"Jordan","JOR",2017,51099
"Kazakhstan","KAZ",2017,-90000
"Kenya","KEN",2017,-50000
"Kiribati","KIR",2017,-3999
"Korea, Dem. People’s Rep.","PRK",2017,-27013
