"country","countryiso3","SP.ADO.TFRT_2013","SP.ADO.TFRT_2014","SP.ADO.TFRT_2015","SP.ADO.TFRT_2016","SP.ADO.TFRT_2017","SP.ADO.TFRT_2018"
"Afghanistan","AFG",94.429,88.061,81.693,75.325,68.957,65.141
"Albania","ALB",20.5124,20.2948,20.0772,19.8596,19.642,19.5724
"Algeria","DZA",11.259,10.962,10.665,10.368,10.071,9.8338
"Angola","AGO",164.0252,160.6504,157.2756,153.9008,150.526,147.958
"Antigua and Barbuda","ATG",46.1564,45.3128,44.4692,43.6256,42.782,41.831
"Arab World","ARB",49.3449634047756,48.8536646484315,48.2797370085637,47.5054889893637,46.6888513200971,46.0050491125204
"Argentina","ARG",63.41,63.253,63.096,62.939,62.782,62.5654
"Armenia","ARM",24.1716,23.5012,22.8308,22.1604,21.49,20.886
"Aruba","ABW",27.3444,26.1768,25.0092,23.8416,22.674,21.1736
"Australia","AUS",12.1846,12.0672,11.9498,11.8324,11.715,11.3258
"Austria","AUT",8.2392,8.0144,7.7896,7.5648,7.34,7.0444
"Azerbaijan","AZE",50.5596,51.8792,53.1988,54.5184,55.838,56.4976
"Bahamas, The","BHS",32.2378,31.6786,31.1194,30.5602,30.001,29.2254
"Bahrain","BHR",13.868,13.743,13.618,13.493,13.368,13.239
"Bangladesh","BGD",87.4764,86.3478,85.2192,84.0906,82.962,82.3128
"Barbados","BRB",40.8772,39.0454,37.2136,35.3818,33.55,31.1302
"Belarus","BLR",19.9998,18.6266,17.2534,15.8802,14.507,13.7516
"Belgium","BEL",5.7534,5.4778,5.2022,4.9266,4.651,4.5704
"Belize","BLZ",71.8406,71.0022,70.1638,69.3254,68.487,68.049
"Benin","BEN",94.3112,92.2574,90.2036,88.1498,86.096,84.0364
"Bhutan","BTN",26.428,24.867,23.306,21.745,20.184,18.895
"Bolivia","BOL",71.2912,69.6934,68.0956,66.4978,64.9,63.9042
"Bosnia and Herzegovina","BIH",11.574,11.091,10.608,10.125,9.642,9.149
"Botswana","BWA",47.7322,47.3144,46.8966,46.4788,46.061,45.358
"Brazil","BRA",63.0646,62.0762,61.0878,60.0994,59.111,57.8858
"Brunei Darussalam","BRN",13.6072,12.7734,11.9396,11.1058,10.272,9.7116
"Bulgaria","BGR",42.9768,42.1976,41.4184,40.6392,39.86,39.3266
"Burkina Faso","BFA",113.1922,110.9764,108.7606,106.5448,104.329,102.0658
"Burundi","BDI",59.67,58.65,57.63,56.61,55.59,54.7516
"Cabo Verde","CPV",77.6726,76.6942,75.7158,74.7374,73.759,72.6946
"Cambodia","KHM",49.0882,49.3604,49.6326,49.9048,50.177,50.7204
"Cameroon","CMR",117.9272,114.8954,111.8636,108.8318,105.8,103.4938
"Canada","CAN",10.8726,10.2512,9.6298,9.0084,8.387,8.0346
"Caribbean small states","CSS",56.7002297890812,55.4467345726657,54.1721264583849,52.8320543819564,51.4758651437801,50.2154165238706
"Central African Republic","CAF",136.5868,134.7086,132.8304,130.9522,129.074,126.9636
"Central Europe and the Baltics","CEB",20.4277222398844,20.2495367756915,20.065642617733,19.8687247775462,19.6790483876044,19.436326240809
"Chad","TCD",174.794,171.368,167.942,164.516,161.09,157.9144
"Channel Islands","CHI",8.3832,8.0034,7.6236,7.2438,6.864,6.6386
"Chile","CHL",51.252,48.702,46.152,43.602,41.052,40.1384
"China","CHN",7.4286,7.4802,7.5318,7.5834,7.635,7.643
"Colombia","COL",71.9846,70.6512,69.3178,67.9844,66.651,65.482
"Comoros","COM",72.627,70.808,68.989,67.17,65.351,64.0606
"Congo, Dem. Rep.","COD",128.3192,127.2944,126.2696,125.2448,124.22,122.6056
"Congo, Rep.","COG",117.1226,115.8992,114.6758,113.4524,112.229,110.9356
"Costa Rica","CRI",58.5056,57.2442,55.9828,54.7214,53.46,52.5186
"Cote d'Ivoire","CIV",123.0558,121.6986,120.3414,118.9842,117.627,116.1584
"Croatia","HRV",10.6738,10.1756,9.6774,9.1792,8.681,8.2652
"Cuba","CUB",53.3208,52.8886,52.4564,52.0242,51.592,51.5156
"Curacao","CUW",33.6572,32.2284,30.7996,29.3708,27.942,27.6142
"Cyprus","CYP",5.0452,4.9294,4.8136,4.6978,4.582,4.4586
"Czech Republic","CZE",10.996,11.24,11.484,11.728,11.972,11.9314
"Denmark","DNK",4.3734,4.3108,4.2482,4.1856,4.123,4.169
"Djibouti","DJI",21.1378,20.5636,19.9894,19.4152,18.841,18.4434
"Dominican Republic","DOM",96.9224,96.2568,95.5912,94.9256,94.26,93.0342
"Early-demographic dividend","EAR",43.6742528112343,42.0340394148093,40.376319873109,38.6744208616535,36.9715957408467,36.1710595879943
"East Asia & Pacific","EAS",20.9115905223091,20.8373777809131,20.7927291470796,20.7303920630287,20.6689835926567,20.6900901276043
"East Asia & Pacific (excluding high income)","EAP",22.4064728336471,22.3335510166547,22.2894996016783,22.2201150255543,22.1412092598616,22.1499738848994
"East Asia & Pacific (IDA & IBRD countries)","TEA",22.7181206093489,22.6436757294686,22.5997360957555,22.5308061456868,22.4528778969089,22.4636763165749
"Ecuador","ECU",82.0474,81.3508,80.6542,79.9576,79.261,78.7626
"Egypt, Arab Rep.","EGY",55.371,54.983,54.595,54.207,53.819,53.086
"El Salvador","SLV",72.7038,71.8926,71.0814,70.2702,69.459,68.6136
"Equatorial Guinea","GNQ",164.5452,162.3144,160.0836,157.8528,155.622,153.4524
"Eritrea","ERI",58.7642,57.2114,55.6586,54.1058,52.553,50.7028
"Estonia","EST",14.4444,12.7578,11.0712,9.3846,7.698,7.0988
"Eswatini","SWZ",79.187,78.564,77.941,77.318,76.695,75.3554
"Ethiopia","ETH",75.7278,73.4776,71.2274,68.9772,66.727,65.0748
"Euro area","EMU",7.55489410947224,7.3324122048042,7.11462779991487,6.89446022065145,6.67313914952731,6.50251284828963
"Europe & Central Asia","ECS",19.3561871781597,18.7726859069412,18.2086803071959,17.6388596528956,17.0886924276063,16.6254477998961
"Europe & Central Asia (excluding high income)","ECA",28.8657917825294,28.1983323218305,27.5119970496611,26.7986667370017,26.0508822709809,25.344814607303
"Europe & Central Asia (IDA & IBRD countries)","TEC",27.8420937947441,27.2134702436278,26.5735023225247,25.9096301802673,25.2205898536429,24.5723113884776
"European Union","EUU",10.2445804722251,9.960835462893,9.68721175420961,9.41033085316418,9.14403881659427,8.92918203368894
"Fiji","FJI",46.593,47.283,47.973,48.663,49.353,49.1406
"Finland","FIN",7.101,6.779,6.457,6.135,5.813,5.6588
"Fragile and conflict affected situations","FCS",99.1429000545372,97.5509243241838,95.9626863643144,94.3841649270033,92.8097344189617,91.4756329325182
"France","FRA",6.2638,5.8796,5.4954,5.1112,4.727,4.7362
"French Polynesia","PYF",40.6648,40.1706,39.6764,39.1822,38.688,38.487
"Gabon","GAB",104.1782,102.1904,100.2026,98.2148,96.227,93.5644
"Gambia, The","GMB",88.3514,85.8098,83.2682,80.7266,78.185,75.7058
"Georgia","GEO",50.6,49.552,48.504,47.456,46.408,45.1848
"Germany","DEU",8.0694,8.0758,8.0822,8.0886,8.095,7.8568
"Ghana","GHA",70.743,69.71,68.677,67.644,66.611,65.7842
"Greece","GRC",8.2758,8.0126,7.7494,7.4862,7.223,6.9376
"Grenada","GRD",34.1218,32.8856,31.6494,30.4132,29.177,28.1938
"Guam","GUM",37.301,35.904,34.507,33.11,31.713,30.6066
"Guatemala","GTM",77.0428,75.5146,73.9864,72.4582,70.93,69.756
"Guinea","GIN",143.7572,141.6414,139.5256,137.4098,135.294,133.365
"Guinea-Bissau","GNB",107.2046,106.6092,106.0138,105.4184,104.823,103.2252
"Guyana","GUY",81.326,79.59,77.854,76.118,74.382,72.8682
"Haiti","HTI",56.388,55.21,54.032,52.854,51.676,50.9536
"Heavily indebted poor countries (HIPC)","HPC",109.614069072364,107.567551713092,105.551869767907,103.56265983767,101.610832387371,99.9112808155785
"High income","HIC",15.9009289497107,15.127991885013,14.3689077863741,13.6188566186563,12.8783665850579,12.3229638899511
"Honduras","HND",78.6576,77.2212,75.7848,74.3484,72.912,71.8464
"Hong Kong SAR, China","HKG",2.9578,2.8946,2.8314,2.7682,2.705,2.6462
"Hungary","HUN",21.0478,21.7806,22.5134,23.2462,23.979,24.2756
"IBRD only","IBD",33.031300392096,31.867864895419,30.6927352554749,29.4767964036294,28.2381267108873,27.6703026962103
"Iceland","ISL",8.7418,8.1236,7.5054,6.8872,6.269,5.9066
"IDA & IBRD total","IBT",50.0881045170745,49.190238396187,48.2887697566242,47.3342223460704,46.3608736048904,45.9150472169481
"IDA blend","IDB",75.893385483715,74.9241949219775,73.9693876126276,72.9890657086332,72.0280387271374,71.2762027892254
"IDA only","IDX",96.3827336839029,94.9487399876342,93.5189687189795,92.0977825050342,90.6900295571425,89.551325635571
