"country","countryiso3","latest.year_SP.ADO.TFRT","latest.value_SP.ADO.TFRT"
"Afghanistan","AFG",2018,65.141
"Albania","ALB",2018,19.5724
"Algeria","DZA",2018,9.8338
"Angola","AGO",2018,147.958
"Antigua and Barbuda","ATG",2018,41.831
"Arab World","ARB",2018,46.0050491125204
"Argentina","ARG",2018,62.5654
"Armenia","ARM",2018,20.886
"Aruba","ABW",2018,21.1736
"Australia","AUS",2018,11.3258
"Austria","AUT",2018,7.0444
"Azerbaijan","AZE",2018,56.4976
"Bahamas, The","BHS",2018,29.2254
"Bahrain","BHR",2018,13.239
"Bangladesh","BGD",2018,82.3128
"Barbados","BRB",2018,31.1302
"Belarus","BLR",2018,13.7516
"Belgium","BEL",2018,4.5704
"Belize","BLZ",2018,68.049
"Benin","BEN",2018,84.0364
"Bhutan","BTN",2018,18.895
"Bolivia","BOL",2018,63.9042
"Bosnia and Herzegovina","BIH",2018,9.149
"Botswana","BWA",2018,45.358
"Brazil","BRA",2018,57.8858
"Brunei Darussalam","BRN",2018,9.7116
"Bulgaria","BGR",2018,39.3266
"Burkina Faso","BFA",2018,102.0658
"Burundi","BDI",2018,54.7516
"Cabo Verde","CPV",2018,72.6946
"Cambodia","KHM",2018,50.7204
"Cameroon","CMR",2018,103.4938
"Canada","CAN",2018,8.0346
"Caribbean small states","CSS",2018,50.2154165238706
"Central African Republic","CAF",2018,126.9636
"Central Europe and the Baltics","CEB",2018,19.436326240809
"Chad","TCD",2018,157.9144
"Channel Islands","CHI",2018,6.6386
"Chile","CHL",2018,40.1384
"China","CHN",2018,7.643
"Colombia","COL",2018,65.482
"Comoros","COM",2018,64.0606
"Congo, Dem. Rep.","COD",2018,122.6056
"Congo, Rep.","COG",2018,110.9356
"Costa Rica","CRI",2018,52.5186
"Cote d'Ivoire","CIV",2018,116.1584
"Croatia","HRV",2018,8.2652
"Cuba","CUB",2018,51.5156
"Curacao","CUW",2018,27.6142
"Cyprus","CYP",2018,4.4586
"Czech Republic","CZE",2018,11.9314
"Denmark","DNK",2018,4.169
"Djibouti","DJI",2018,18.4434
"Dominican Republic","DOM",2018,93.0342
"Early-demographic dividend","EAR",2018,36.1710595879943
"East Asia & Pacific","EAS",2018,20.6900901276043
"East Asia & Pacific (excluding high income)","EAP",2018,22.1499738848994
"East Asia & Pacific (IDA & IBRD countries)","TEA",2018,22.4636763165749
"Ecuador","ECU",2018,78.7626
