"country","countryiso3","SP.DYN.LE00.IN_2013","SP.DYN.LE00.IN_2014","SP.DYN.LE00.IN_2015","SP.DYN.LE00.IN_2016","SP.DYN.LE00.IN_2017","SP.DYN.LE00.IN_2018"
"Afghanistan","AFG",62.525,62.966,63.377,63.763,64.13,64.486
"Albania","ALB",77.554,77.813,78.025,78.194,78.333,78.458
"Algeria","DZA",75.661,75.878,76.09,76.298,76.499,76.693
"Angola","AGO",58.054,58.776,59.398,59.925,60.379,60.782
"Antigua and Barbuda","ATG",76.218,76.349,76.483,76.617,76.752,76.885
"Arab World","ARB",70.8822537209942,71.0642924201872,71.249571410287,71.4364968537757,71.6225263455783,71.8068251623605
"Argentina","ARG",75.756,75.913,76.068,76.221,76.372,76.52
"Armenia","ARM",74.056,74.273,74.467,74.64,74.797,74.945
"Aruba","ABW",75.441,75.583,75.725,75.868,76.01,76.152
"Australia","AUS",82.1487804878049,82.3,82.4,82.4487804878049,82.5,82.7487804878049
"Austria","AUT",81.1365853658537,81.490243902439,81.190243902439,81.6414634146342,81.6439024390244,81.6926829268293
"Azerbaijan","AZE",71.768,72.022,72.266,72.493,72.693,72.864
"Bahamas, The","BHS",72.62,72.847,73.088,73.329,73.554,73.752
"Bahrain","BHR",76.484,76.624,76.762,76.899,77.032,77.163
"Bangladesh","BGD",70.93,71.231,71.514,71.785,72.052,72.32
"Barbados","BRB",78.633,78.717,78.801,78.888,78.981,79.081
"Belarus","BLR",72.4707317073171,72.9707317073171,73.6243902439025,73.8268292682927,74.1292682926829,74.1756097560976
"Belgium","BEL",80.5878048780488,81.2878048780488,80.9926829268293,81.4390243902439,81.4926829268293,81.5951219512195
"Belize","BLZ",73.452,73.782,74.034,74.219,74.365,74.496
"Benin","BEN",60.092,60.345,60.608,60.885,61.174,61.47
"Bermuda","BMU",80.5724390243902,80.7973170731707,81.0121951219512,81.2270731707317,81.4419512195122,81.6517073170732
"Bhutan","BTN",69.662,70.046,70.419,70.781,71.129,71.46
"Bolivia","BOL",69.468,69.891,70.277,70.626,70.945,71.239
"Bosnia and Herzegovina","BIH",76.569,76.723,76.865,76.998,77.128,77.262
"Botswana","BWA",64.976,66.265,67.338,68.178,68.812,69.275
"Brazil","BRA",74.483,74.745,74.994,75.23,75.456,75.672
"Brunei Darussalam","BRN",75.075,75.193,75.318,75.45,75.585,75.722
"Bulgaria","BGR",74.8609756097561,74.4658536585366,74.6146341463415,74.8121951219512,74.8146341463415,74.9634146341464
"Burkina Faso","BFA",58.937,59.45,59.919,60.354,60.768,61.174
"Burundi","BDI",59.148,59.665,60.123,60.528,60.898,61.247
"Cabo Verde","CPV",71.661,71.886,72.117,72.347,72.57,72.782
"Cambodia","KHM",67.888,68.273,68.637,68.977,69.289,69.57
"Cameroon","CMR",56.576,57.083,57.583,58.063,58.511,58.921
"Canada","CAN",81.7487804878049,81.8,81.9,81.9,81.9487804878049,81.9487804878049
"Caribbean small states","CSS",73.0301451501253,73.1505846181052,73.273015980955,73.3959563927788,73.5174924941114,73.6371077650151
"Cayman Islands","CYM",NA,NA,NA,NA,NA,NA
"Central African Republic","CAF",49.371,50.129,50.881,51.593,52.24,52.805
"Central Europe and the Baltics","CEB",76.3551629869808,76.6756236113045,76.5718777647788,76.9698114171911,76.9474653545225,76.97684517184
"Chad","TCD",52.386,52.789,53.137,53.438,53.712,53.977
"Channel Islands","CHI",82.071,82.252,82.429,82.6,82.766,82.928
"Chile","CHL",79.349,79.504,79.646,79.779,79.909,80.042
"China","CHN",75.321,75.629,75.928,76.21,76.47,76.704
"Colombia","COL",76.105,76.322,76.531,76.732,76.925,77.109
"Comoros","COM",62.922,63.214,63.471,63.7,63.912,64.118
"Congo, Dem. Rep.","COD",58.381,58.828,59.254,59.655,60.026,60.368
"Congo, Rep.","COG",62.022,62.582,63.097,63.556,63.954,64.29
"Costa Rica","CRI",79.234,79.398,79.565,79.738,79.914,80.095
"Cote d'Ivoire","CIV",54.906,55.508,56.065,56.567,57.017,57.422
"Croatia","HRV",77.1268292682927,77.4780487804878,77.2756097560976,78.0219512195122,77.8268292682927,78.0707317073171
"Cuba","CUB",78.485,78.521,78.561,78.607,78.662,78.726
"Curacao","CUW",77.8268292682927,77.9756097560976,78.0756097560976,77.719512195122,78.0170731707317,NA
"Cyprus","CYP",79.999,80.178,80.35,80.513,80.672,80.828
"Czech Republic","CZE",78.1756097560976,78.8243902439024,78.5780487804878,79.0268292682927,78.9780487804878,79.0292682926829
"Denmark","DNK",80.3,80.7,80.7024390243902,80.8536585365854,81.1024390243903,80.9536585365854
"Djibouti","DJI",62.239,63.171,64.136,65.064,65.893,66.582
"Dominica","DMA",NA,NA,NA,NA,NA,NA
"Dominican Republic","DOM",72.763,73.003,73.241,73.471,73.689,73.892
"Early-demographic dividend","EAR",69.1451710894504,69.4609245541244,69.7485061534442,70.0112233946236,70.2542044815924,70.4831906825217
"East Asia & Pacific","EAS",74.8482143887022,75.1251702917927,75.392556877146,75.6355408677985,75.8659539130049,76.0683364250093
