"country","countryiso3","SP.POP.1564.TO.ZS_2013","SP.POP.1564.TO.ZS_2014","SP.POP.1564.TO.ZS_2015","SP.POP.1564.TO.ZS_2016","SP.POP.1564.TO.ZS_2017","SP.POP.1564.TO.ZS_2018","SP.POP.1564.TO.ZS_2019"
"Afghanistan","AFG",51.1931217965001,51.9078359358186,52.6442988256708,53.2079642015981,53.7632225246819,54.3248975483403,54.9119343971364
"Albania","ALB",68.3729539670568,68.5990253098344,68.7047247322534,68.660092473838,68.6426142157412,68.5823903647225,68.3978052821376
"Algeria","DZA",66.4464122345876,66.0025981091413,65.4288452547037,64.8575664184352,64.1832049427207,63.4888248687945,62.8968435084768
"Angola","AGO",50.4717924862605,50.5197967810515,50.6151669639,50.6856291078069,50.8077871356001,50.9747016426956,51.17863322241
"Antigua and Barbuda","ATG",68.9562480877661,69.1460858667704,69.2687514695509,69.2320712600633,69.1928824429401,69.1190827326922,68.9903004592352
"Arab World","ARB",62.5559263930238,62.6416126509913,62.714050957459,62.6594559433802,62.6496278095128,62.6616874900514,62.672706140335
"Argentina","ARG",63.9826922106179,64.0154698523561,64.0600197569769,64.0605666116429,64.0835225051061,64.1212772887989,64.1613658498285
"Armenia","ARM",69.5219955355972,69.2929118128669,69.0425707549991,68.7610582999534,68.4489663273217,68.11276041799,67.7503802746092
"Aruba","ABW",69.1088513847556,69.1811050937614,69.1597742018957,69.1376153787474,68.9463394263804,68.6466058859653,68.3211994657336
"Australia","AUS",66.8267948368588,66.5514444053048,66.2580494091257,65.9065730162399,65.5309417025767,65.1529077338752,64.8033515429272
"Austria","AUT",67.2728360722279,67.1662479887325,67.0395429709195,66.9201962982639,66.812507305921,66.7004859083869,66.5625360827828
"Azerbaijan","AZE",71.6759569155209,71.5542023446756,71.3895878982556,71.0271411085592,70.7226479179956,70.4352473888986,70.11169103273
"Bahamas, The","BHS",68.3728746163211,68.8843141328484,69.3177020143985,69.7719154340751,70.0653560529659,70.2575219701429,70.4409959895451
"Bahrain","BHR",77.2344771366085,77.0301816889022,76.826054724602,77.267581807164,77.7862036469363,78.3193560020542,78.7624941200557
"Bangladesh","BGD",64.63338144714,65.1132097229035,65.6185771379833,66.1113230721407,66.625937004745,67.1355868778783,67.6052832669884
"Barbados","BRB",67.0772715761038,67.0581337377908,67.0318655283117,67.006186230738,66.9488387042679,66.8543578901832,66.7185785210348
"Belarus","BLR",70.2928931121814,69.8574440439643,69.4136283541907,69.0701098908777,68.7169869180976,68.2889087752101,67.7628384969718
"Belgium","BEL",65.2584286062527,65.0459829229075,64.8535339486213,64.6114376604001,64.3794416479243,64.1558335012748,63.935230890395
"Belize","BLZ",62.2397061163097,62.8569245484851,63.4804797566307,63.9657980456026,64.4805718406787,64.9837758535624,65.4282149746512
"Benin","BEN",53.3357435601315,53.529916464175,53.735190931275,53.8983079844184,54.0874712018525,54.2987123079372,54.5295963080211
"Bhutan","BTN",65.7163735485479,66.3295575442769,66.8780121888893,67.4147694880468,67.8557009937457,68.2256345541021,68.5668307360056
"Bolivia","BOL",60.2377148910535,60.5287508533354,60.8389076821595,61.1159325202546,61.4195037816536,61.7345048621782,62.0361066958508
"Bosnia and Herzegovina","BIH",70.4012244093755,70.4249584662151,70.2778739246174,70.0003779974757,69.4545318921983,68.7634648796227,68.1050893668585
"Botswana","BWA",61.4748359795748,61.3487961896335,61.2468147550167,61.3285078616083,61.4743229270593,61.6631796378814,61.8691173361775
"Brazil","BRA",69.1753242574889,69.3906196906341,69.5661340906186,69.6487895917995,69.7106712029254,69.7430902567055,69.7391982309441
"Brunei Darussalam","BRN",71.480462191627,71.6471963472103,71.8373032992936,71.815864697475,71.9362597856636,72.1003909428086,72.1746656357824
"Bulgaria","BGR",66.8134870251223,66.2442796680931,65.7074330868291,65.254273902527,64.7976668313048,64.3826202477506,64.0616538090281
"Burkina Faso","BFA",51.6236571830548,51.8094817306692,52.0181855688683,52.2026259606635,52.4098388004856,52.6449378491703,52.9148909094649
"Burundi","BDI",52.5666355460226,52.4739547224236,52.3834673716515,52.3029616242189,52.2577451836004,52.2513787905443,52.2872570156922
"Cabo Verde","CPV",64.6193048140882,65.1147758605054,65.5488496273414,65.9289536210383,66.2843396626592,66.6129058953559,66.8951785210979
"Cambodia","KHM",63.9578241715942,64.1725756968983,64.2786401979817,64.3530387487432,64.3167339906176,64.2299052197099,64.1830348656498
"Cameroon","CMR",53.7254022164129,53.8695781984646,54.0539964000912,54.2049039997449,54.401275287263,54.6395427998918,54.9142190677367
"Canada","CAN",68.6308948007577,68.3150902258466,67.9548843196081,67.6469556724162,67.28747162393,66.8977424466943,66.506203368219
"Caribbean small states","CSS",66.7950477502575,67.0142991380516,67.2026328532558,67.3113898597688,67.4127657231561,67.4904170002725,67.526272030783
"Central African Republic","CAF",52.1183270292971,52.0115362860999,51.9641811905626,52.2123831397765,52.522169710639,52.879905742539,53.2651940862158
"Central Europe and the Baltics","CEB",68.9677142145382,68.5720974056905,68.0963279583076,67.625108873995,67.0400863789951,66.4039248054466,65.8101233948188
"Chad","TCD",49.1902194126319,49.4410244002188,49.7186268135263,49.9074968101164,50.1327084490236,50.393181066809,50.687413635122
"Channel Islands","CHI",68.2656803935279,68.1224862888483,68.0333766665659,67.8366672058374,67.6749770254647,67.5141789687916,67.3311699243581
"Chile","CHL",68.8837502668382,68.8894151960146,68.8365630081395,68.8222483435176,68.7839092508846,68.7162958723189,68.624187013555
"China","CHN",73.0809292040303,72.8992407406556,72.61433377299,72.2027527736548,71.7175184402221,71.2021137123803,70.7232986329292
"Colombia","COL",67.2568779946048,67.5305512111984,67.7756374926303,68.0179463013345,68.2439989221801,68.4440570001664,68.6133853328492
"Comoros","COM",56.565363686017,56.7630598243327,56.9647965588919,57.0991161298756,57.2646002172278,57.4545668623441,57.658722790127
"Congo, Dem. Rep.","COD",50.5952965273088,50.5924408635153,50.6382174703543,50.6335131749842,50.6967685651836,50.8165172919176,50.9816614056687
"Congo, Rep.","COG",55.3526657872501,55.2936936982581,55.2762868106987,55.3186952970851,55.4126395725043,55.5547780005145,55.7413352047799
"Costa Rica","CRI",68.9845041455201,69.1008208706851,69.1672146811216,69.1839215242038,69.1721175590723,69.1254082206391,69.0409288763425
"Cote d'Ivoire","CIV",54.1465300923092,54.3856272455939,54.6386328543659,54.7985044860968,54.9927058733985,55.2040848482383,55.4121774683255
"Croatia","HRV",66.4945594605806,66.4022096518586,66.2131450168373,65.9528270908012,65.5395821564065,65.0426269817306,64.5776436794967
"Cuba","CUB",69.5233854451625,69.4168182554659,69.2786023853353,69.0380873435303,68.8156204984913,68.6025495906116,68.3926909318168
"Curacao","CUW",65.5981733994923,65.2289454747447,64.9083185796418,64.6542731540124,64.5061328296203,64.4311590640975,64.336939494811
"Cyprus","CYP",70.5651710952157,70.4267607406154,70.2714505355366,70.0034268027247,69.7480159840227,69.4930902700408,69.2446446822268
