"country","countryiso3","latest.year_SP.POP.1564.TO.ZS","latest.value_SP.POP.1564.TO.ZS"
"Afghanistan","AFG",2019,54.9119343971364
"Albania","ALB",2019,68.3978052821376
"Algeria","DZA",2019,62.8968435084768
"Angola","AGO",2019,51.17863322241
"Antigua and Barbuda","ATG",2019,68.9903004592352
"Arab World","ARB",2019,62.672706140335
"Argentina","ARG",2019,64.1613658498285
"Armenia","ARM",2019,67.7503802746092
"Aruba","ABW",2019,68.3211994657336
"Australia","AUS",2019,64.8033515429272
"Austria","AUT",2019,66.5625360827828
"Azerbaijan","AZE",2019,70.11169103273
"Bahamas, The","BHS",2019,70.4409959895451
"Bahrain","BHR",2019,78.7624941200557
"Bangladesh","BGD",2019,67.6052832669884
"Barbados","BRB",2019,66.7185785210348
"Belarus","BLR",2019,67.7628384969718
"Belgium","BEL",2019,63.935230890395
"Belize","BLZ",2019,65.4282149746512
"Benin","BEN",2019,54.5295963080211
"Bhutan","BTN",2019,68.5668307360056
"Bolivia","BOL",2019,62.0361066958508
"Bosnia and Herzegovina","BIH",2019,68.1050893668585
"Botswana","BWA",2019,61.8691173361775
"Brazil","BRA",2019,69.7391982309441
"Brunei Darussalam","BRN",2019,72.1746656357824
"Bulgaria","BGR",2019,64.0616538090281
"Burkina Faso","BFA",2019,52.9148909094649
"Burundi","BDI",2019,52.2872570156922
"Cabo Verde","CPV",2019,66.8951785210979
"Cambodia","KHM",2019,64.1830348656498
"Cameroon","CMR",2019,54.9142190677367
"Canada","CAN",2019,66.506203368219
"Caribbean small states","CSS",2019,67.526272030783
"Central African Republic","CAF",2019,53.2651940862158
"Central Europe and the Baltics","CEB",2019,65.8101233948188
"Chad","TCD",2019,50.687413635122
"Channel Islands","CHI",2019,67.3311699243581
"Chile","CHL",2019,68.624187013555
"China","CHN",2019,70.7232986329292
"Colombia","COL",2019,68.6133853328492
"Comoros","COM",2019,57.658722790127
"Congo, Dem. Rep.","COD",2019,50.9816614056687
"Congo, Rep.","COG",2019,55.7413352047799
"Costa Rica","CRI",2019,69.0409288763425
"Cote d'Ivoire","CIV",2019,55.4121774683255
"Croatia","HRV",2019,64.5776436794967
"Cuba","CUB",2019,68.3926909318168
"Curacao","CUW",2019,64.336939494811
"Cyprus","CYP",2019,69.2446446822268
"Czech Republic","CZE",2019,64.4763050287444
"Denmark","DNK",2019,63.6337821533242
"Djibouti","DJI",2019,66.1859566950162
"Dominican Republic","DOM",2019,64.9929164449661
