"country","countryiso3","latest.year_SP.RUR.TOTL.ZS","latest.value_SP.RUR.TOTL.ZS"
"Afghanistan","AFG",2018,74.505
"Albania","ALB",2018,39.681
"Algeria","DZA",2018,27.371
"American Samoa","ASM",2018,12.847
"Andorra","AND",2018,11.938
"Angola","AGO",2018,34.486
"Antigua and Barbuda","ATG",2018,75.401
"Arab World","ARB",2018,41.0745814068609
"Argentina","ARG",2018,8.13
"Armenia","ARM",2018,36.851
"Aruba","ABW",2018,56.589
"Australia","AUS",2018,13.988
"Austria","AUT",2018,41.703
"Azerbaijan","AZE",2018,44.32
"Bahamas, The","BHS",2018,16.975
"Bahrain","BHR",2018,10.713
"Bangladesh","BGD",2018,63.368
"Barbados","BRB",2018,68.853
"Belarus","BLR",2018,21.405
"Belgium","BEL",2018,1.999
"Belize","BLZ",2018,54.276
"Benin","BEN",2018,52.688
"Bermuda","BMU",2018,0
"Bhutan","BTN",2018,59.105
"Bolivia","BOL",2018,30.575
"Bosnia and Herzegovina","BIH",2018,51.755
"Botswana","BWA",2018,30.554
"Brazil","BRA",2018,13.431
"British Virgin Islands","VGB",2018,52.277
"Brunei Darussalam","BRN",2018,22.371
"Bulgaria","BGR",2018,24.992
"Burkina Faso","BFA",2018,70.642
"Burundi","BDI",2018,86.968
"Cabo Verde","CPV",2018,34.268
"Cambodia","KHM",2018,76.612
"Cameroon","CMR",2018,43.626
"Canada","CAN",2018,18.589
"Caribbean small states","CSS",2018,48.8006384223868
"Cayman Islands","CYM",2018,0
"Central African Republic","CAF",2018,58.636
"Central Europe and the Baltics","CEB",2018,37.6679239372373
"Chad","TCD",2018,76.941
"Channel Islands","CHI",2018,69.086
"Chile","CHL",2018,12.436
"China","CHN",2018,40.848
"Colombia","COL",2018,19.222
"Comoros","COM",2018,71.035
"Congo, Dem. Rep.","COD",2018,55.54
"Congo, Rep.","COG",2018,33.084
"Costa Rica","CRI",2018,20.66
"Cote d'Ivoire","CIV",2018,49.221
"Croatia","HRV",2018,43.053
"Cuba","CUB",2018,22.963
"Curacao","CUW",2018,10.855
"Cyprus","CYP",2018,33.19
"Czech Republic","CZE",2018,26.208
"Denmark","DNK",2018,12.126
"Djibouti","DJI",2018,22.223
"Dominica","DMA",2018,29.517
"Dominican Republic","DOM",2018,18.926
"Early-demographic dividend","EAR",2018,54.8687433013281
"East Asia & Pacific","EAS",2018,40.9472113285627
"East Asia & Pacific (excluding high income)","EAP",2018,44.3664117617363
"East Asia & Pacific (IDA & IBRD countries)","TEA",2018,44.4449079814641
"Ecuador","ECU",2018,36.179
"Egypt, Arab Rep.","EGY",2018,57.296
"El Salvador","SLV",2018,27.977
"Equatorial Guinea","GNQ",2018,27.857
"Eritrea","ERI",NA,NA
"Estonia","EST",2018,31.12
"Eswatini","SWZ",2018,76.201
"Ethiopia","ETH",2018,79.237
"Euro area","EMU",2018,23.0082672893716
"Europe & Central Asia","ECS",2018,27.8164894989411
"Europe & Central Asia (excluding high income)","ECA",2018,33.0526194856177
"Europe & Central Asia (IDA & IBRD countries)","TEC",2018,33.7131676874065
"European Union","EUU",2018,25.484300925756
"Faroe Islands","FRO",2018,57.936
"Fiji","FJI",2018,43.752
"Finland","FIN",2018,14.618
"Fragile and conflict affected situations","FCS",2018,55.0633790380055
"France","FRA",2018,19.556
"French Polynesia","PYF",2018,38.166
"Gabon","GAB",2018,10.63
"Gambia, The","GMB",2018,38.73
"Georgia","GEO",2018,41.368
"Germany","DEU",2018,22.688
"Ghana","GHA",2018,43.94
"Gibraltar","GIB",2018,0
"Greece","GRC",2018,20.942
"Greenland","GRL",2018,13.184
"Grenada","GRD",2018,63.728
"Guam","GUM",2018,5.22
"Guatemala","GTM",2018,48.946
"Guinea","GIN",2018,63.86
"Guinea-Bissau","GNB",2018,56.64
"Guyana","GUY",2018,73.394
"Haiti","HTI",2018,44.722
"Heavily indebted poor countries (HIPC)","HPC",2018,63.9915347372492
"High income","HIC",2018,18.6650216352544
"Honduras","HND",2018,42.904
"Hong Kong SAR, China","HKG",2018,0
"Hungary","HUN",2018,28.649
"IBRD only","IBD",2018,44.9875720003326
"Iceland","ISL",2018,6.187
"IDA & IBRD total","IBT",2018,49.5777982251743
"IDA blend","IDB",2018,57.6195749763581
"IDA only","IDX",2018,65.6840300826165
"IDA total","IDA",2018,62.9481349399785
"India","IND",2018,65.97
"Indonesia","IDN",2018,44.675
"Iran, Islamic Rep.","IRN",2018,25.102
"Iraq","IRQ",2018,29.527
"Ireland","IRL",2018,36.83
"Isle of Man","IMN",2018,47.412
"Israel","ISR",2018,7.58199999999999
"Italy","ITA",2018,29.562
"Jamaica","JAM",2018,44.326
"Japan","JPN",2018,8.384
"Jordan","JOR",2018,9.021
"Kazakhstan","KAZ",2018,42.572
"Kenya","KEN",2018,72.97
"Kiribati","KIR",2018,45.943
"Korea, Dem. People’s Rep.","PRK",2018,38.101
"Korea, Rep.","KOR",2018,18.541
"Kuwait","KWT",2018,0
"Kyrgyz Republic","KGZ",2018,63.649
"Lao PDR","LAO",2018,64.996
"Late-demographic dividend","LTE",2018,37.5549009753745
"Latin America & Caribbean","LCN",2018,19.4167090136329
"Latin America & Caribbean (excluding high income)","LAC",2018,19.5983744030001
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",2018,19.3985876835712
"Latvia","LVA",2018,31.858
"Least developed countries: UN classification","LDC",2018,66.431939917901
"Lebanon","LBN",2018,11.407
"Lesotho","LSO",2018,71.847
"Liberia","LBR",2018,48.849
"Libya","LBY",2018,19.898
"Liechtenstein","LIE",2018,85.662
"Lithuania","LTU",2018,32.321
"Low & middle income","LMY",2018,49.6721557601845
"Low income","LIC",2018,67.4277961100788
"Lower middle income","LMC",2018,59.4921102235817
"Luxembourg","LUX",2018,9.01900000000001
"Macao SAR, China","MAC",2018,0
"Madagascar","MDG",2018,62.809
"Malawi","MWI",2018,83.063
"Malaysia","MYS",2018,23.964
"Maldives","MDV",2018,60.192
"Mali","MLI",2018,57.644
"Malta","MLT",2018,5.38800000000001
"Marshall Islands","MHL",2018,22.969
"Mauritania","MRT",2018,46.328
"Mauritius","MUS",2018,59.207
"Mexico","MEX",2018,19.844
"Micronesia, Fed. Sts.","FSM",2018,77.297
"Middle East & North Africa","MEA",2018,34.6280256768853
"Middle East & North Africa (excluding high income)","MNA",2018,38.4094524824717
"Middle East & North Africa (IDA & IBRD countries)","TMN",2018,38.5854570017155
"Middle income","MIC",2018,47.4657425301464
"Moldova","MDA",2018,57.371
"Monaco","MCO",2018,0
"Mongolia","MNG",2018,31.555
"Montenegro","MNE",2018,33.187
"Morocco","MAR",2018,37.547
"Mozambique","MOZ",2018,64.012
"Myanmar","MMR",2018,69.421
"Namibia","NAM",2018,49.968
"Nauru","NRU",2018,0
"Nepal","NPL",2018,80.26
"Netherlands","NLD",2018,8.51000000000001
"New Caledonia","NCL",2018,29.317
"New Zealand","NZL",2018,13.462
"Nicaragua","NIC",2018,41.478
"Niger","NER",2018,83.575
"Nigeria","NGA",2018,49.656
"North America","NAC",2018,17.8268451611462
"North Macedonia","MKD",2018,42.037
"Northern Mariana Islands","MNP",2018,8.38200000000001
"Norway","NOR",2018,17.752
"OECD members","OED",2018,19.4066924289496
"Oman","OMN",2018,15.461
"Other small states","OSS",2018,37.8819618525498
"Pacific island small states","PSS",2018,61.2186558820884
"Pakistan","PAK",2018,63.334
"Palau","PLW",2018,20.07
"Panama","PAN",2018,32.291
"Papua New Guinea","PNG",2018,86.831
"Paraguay","PRY",2018,38.415
"Peru","PER",2018,22.093
"Philippines","PHL",2018,53.093
"Poland","POL",2018,39.942
"Portugal","PRT",2018,34.789
"Post-demographic dividend","PST",2018,18.7193052155021
"Pre-demographic dividend","PRE",2018,58.7730484857523
"Puerto Rico","PRI",2018,6.422
"Qatar","QAT",2018,0.864999999999995
"Romania","ROU",2018,46.002
"Russian Federation","RUS",2018,25.567
"Rwanda","RWA",2018,82.789
"Samoa","WSM",2018,81.757
"San Marino","SMR",2018,2.774
"Sao Tome and Principe","STP",2018,27.197
"Saudi Arabia","SAU",2018,16.156
"Senegal","SEN",2018,52.808
"Serbia","SRB",2018,43.908
"Seychelles","SYC",2018,43.309
"Sierra Leone","SLE",2018,57.945
"Singapore","SGP",2018,0
"Sint Maarten (Dutch part)","SXM",2018,0
"Slovak Republic","SVK",2018,46.274
"Slovenia","SVN",2018,45.459
"Small states","SST",2018,41.2755759294671
"Solomon Islands","SLB",2018,76.251
"Somalia","SOM",2018,55.029
"South Africa","ZAF",2018,33.645
"South Asia","SAS",2018,66.0076387543573
"South Asia (IDA & IBRD)","TSA",2018,66.0076387543573
"South Sudan","SSD",2018,80.385
"Spain","ESP",2018,19.679
"Sri Lanka","LKA",2018,81.524
"St. Kitts and Nevis","KNA",2018,69.224
"St. Lucia","LCA",2018,81.322
"St. Vincent and the Grenadines","VCT",2018,47.802
"Sub-Saharan Africa","SSF",2018,59.8231766270485
"Sub-Saharan Africa (excluding high income)","SSA",2018,59.824658662197
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",2018,59.8231766270485
"Sudan","SDN",2018,65.358
"Suriname","SUR",2018,33.94
"Sweden","SWE",2018,12.569
"Switzerland","CHE",2018,26.203
"Syrian Arab Republic","SYR",2018,45.838
"Tajikistan","TJK",2018,72.866
"Tanzania","TZA",2018,66.224
"Thailand","THA",2018,50.051
"Timor-Leste","TLS",2018,69.422
"Togo","TGO",2018,58.298
"Tonga","TON",2018,76.869
"Trinidad and Tobago","TTO",2018,46.816
"Tunisia","TUN",2018,31.055
"Turkey","TUR",2018,24.857
"Turkmenistan","TKM",2018,48.407
"Turks and Caicos Islands","TCA",2018,6.902
"Tuvalu","TUV",2018,37.613
"Uganda","UGA",2018,76.226
"Ukraine","UKR",2018,30.648
"United Arab Emirates","ARE",2018,13.478
"United Kingdom","GBR",2018,16.602
"United States","USA",2018,17.744
"Upper middle income","UMC",2018,33.7666317019147
"Uruguay","URY",2018,4.666
"Uzbekistan","UZB",2018,49.522
"Vanuatu","VUT",2018,74.726
"Venezuela, RB","VEN",2018,11.792
"Vietnam","VNM",2018,64.081
"Virgin Islands (U.S.)","VIR",2018,4.279
"West Bank and Gaza","PSE",2018,23.836
"World","WLD",2018,44.7294214513868
"Yemen, Rep.","YEM",2018,63.358
"Zambia","ZMB",2018,56.479
"Zimbabwe","ZWE",2018,67.791
