"country","countryiso3","SP.RUR.TOTL.ZS_2013","SP.RUR.TOTL.ZS_2014","SP.RUR.TOTL.ZS_2015","SP.RUR.TOTL.ZS_2016","SP.RUR.TOTL.ZS_2017","SP.RUR.TOTL.ZS_2018","SP.RUR.TOTL.ZS_2019"
"Afghanistan","AFG",75.627,75.413,75.197,74.98,74.75,74.505,74.246
"Albania","ALB",44.613,43.577,42.566,41.579,40.617,39.681,38.771
"Algeria","DZA",30.424,29.779,29.152,28.541,27.948,27.371,26.811
"American Samoa","ASM",12.652,12.712,12.762,12.802,12.83,12.847,12.853
"Andorra","AND",11.463,11.559,11.655,11.752,11.85,11.938,12.016
"Angola","AGO",37.998,37.269,36.554,35.851,35.161,34.486,33.823
"Antigua and Barbuda","ATG",74.65,74.825,75,75.154,75.287,75.401,75.494
"Arab World","ARB",42.599061512171,42.3075198735281,41.9685333240976,41.6547245177312,41.3585163064466,41.0745811133247,40.7983531267269
"Argentina","ARG",8.751,8.623,8.497,8.373,8.251,8.13,8.009
"Armenia","ARM",36.836,36.888,36.915,36.918,36.897,36.851,36.781
"Aruba","ABW",57.01,56.959,56.892,56.808,56.707,56.589,56.454
"Australia","AUS",14.498,14.398,14.299,14.2,14.096,13.988,13.876
"Austria","AUT",42.664,42.474,42.285,42.095,41.906,41.703,41.485
"Azerbaijan","AZE",45.855,45.578,45.286,44.979,44.657,44.32,43.969
"Bahamas, The","BHS",17.404,17.332,17.254,17.168,17.075,16.975,16.868
"Bahrain","BHR",11.165,11.085,11.001,10.91,10.814,10.713,10.606
"Bangladesh","BGD",67.238,66.465,65.692,64.917,64.142,63.368,62.595
"Barbados","BRB",68.571,68.672,68.751,68.807,68.841,68.853,68.842
"Belarus","BLR",23.801,23.307,22.819,22.339,21.866,21.405,20.956
"Belgium","BEL",2.211,2.167,2.124,2.081,2.039,1.999,1.959
"Belize","BLZ",54.718,54.665,54.594,54.505,54.399,54.276,54.134
"Benin","BEN",55.358,54.834,54.305,53.771,53.232,52.688,52.139
"Bermuda","BMU",0,0,0,0,0,0,0
"Bhutan","BTN",62.851,62.082,61.322,60.572,59.833,59.105,58.388
"Bolivia","BOL",32.301,31.953,31.607,31.262,30.92,30.575,30.227
"Bosnia and Herzegovina","BIH",53.481,53.16,52.827,52.482,52.124,51.755,51.374
"Botswana","BWA",34.428,33.632,32.845,32.067,31.3,30.554,29.828
"Brazil","BRA",14.791,14.508,14.23,13.958,13.691,13.431,13.176
"British Virgin Islands","VGB",54.144,53.784,53.417,53.043,52.663,52.277,51.884
"Brunei Darussalam","BRN",24.003,23.668,23.337,23.01,22.688,22.371,22.058
"Bulgaria","BGR",26.687,26.349,26.01,25.671,25.331,24.992,24.653
"Burkina Faso","BFA",73.654,73.066,72.47,71.866,71.257,70.642,70.02
"Burundi","BDI",88.518,88.224,87.922,87.612,87.294,86.968,86.634
"Cabo Verde","CPV",36.683,36.19,35.7,35.216,34.739,34.268,33.805
"Cambodia","KHM",78.585,78.201,77.812,77.418,77.02,76.612,76.195
"Cameroon","CMR",46.627,46.024,45.422,44.821,44.223,43.626,43.032
"Canada","CAN",18.822,18.782,18.741,18.7,18.65,18.589,18.518
"Caribbean small states","CSS",49.4086853414947,49.3198638215862,49.2153159727241,49.0936074079709,48.9553783184939,48.8006384223868,48.6299609466125
"Cayman Islands","CYM",0,0,0,0,0,0,0
"Central African Republic","CAF",60.337,60.041,59.723,59.382,59.02,58.636,58.23
"Central Europe and the Baltics","CEB",37.9031862633206,37.8863548572262,37.8593275417918,37.8155156770068,37.7514299757853,37.666217552165,37.5616437014329
"Chad","TCD",77.752,77.628,77.485,77.323,77.142,76.941,76.721
"Channel Islands","CHI",68.973,69.005,69.038,69.07,69.086,69.086,69.069
"Chile","CHL",12.754,12.697,12.64,12.578,12.51,12.436,12.357
"China","CHN",46.987,45.741,44.5,43.264,42.04,40.848,39.692
"Colombia","COL",20.939,20.585,20.236,19.892,19.554,19.222,18.896
"Comoros","COM",71.777,71.662,71.53,71.381,71.216,71.035,70.836
"Congo, Dem. Rep.","COD",58.373,57.82,57.26,56.693,56.12,55.54,54.954
"Congo, Rep.","COG",35.373,34.915,34.457,33.999,33.541,33.084,32.627
"Costa Rica","CRI",25.03,24.059,23.138,22.265,21.44,20.66,19.924
"Cote d'Ivoire","CIV",51.407,50.986,50.556,50.119,49.674,49.221,48.761
"Croatia","HRV",44.294,44.077,43.845,43.597,43.333,43.053,42.758
"Cuba","CUB",23.173,23.139,23.104,23.07,23.023,22.963,22.891
"Curacao","CUW",10.456,10.557,10.648,10.728,10.797,10.855,10.902
"Cyprus","CYP",32.863,32.969,33.054,33.119,33.164,33.19,33.195
"Czech Republic","CZE",26.71,26.616,26.523,26.43,26.325,26.208,26.079
"Denmark","DNK",12.708,12.59,12.474,12.358,12.243,12.126,12.006
"Djibouti","DJI",22.778,22.686,22.583,22.472,22.352,22.223,22.085
"Dominica","DMA",31.018,30.72,30.421,30.12,29.819,29.517,29.214
"Dominican Republic","DOM",23.251,22.33,21.434,20.564,19.723,18.926,18.172
"Early-demographic dividend","EAR",56.857529684529,56.4692377520801,56.0713466443012,55.6736623489507,55.2745010616866,54.8703993026394,54.459203808892
"East Asia & Pacific","EAS",45.3363498561553,44.4476245530863,43.5615790420591,42.6788351346645,41.8044864750229,40.9481242542379,40.1134672629216
