"country","countryiso3","latest.year_SP.URB.TOTL.IN.ZS","latest.value_SP.URB.TOTL.IN.ZS"
"Afghanistan","AFG",2019,25.754
"Albania","ALB",2019,61.229
"Algeria","DZA",2019,73.189
"American Samoa","ASM",2019,87.147
"Andorra","AND",2019,87.984
"Angola","AGO",2019,66.177
"Antigua and Barbuda","ATG",2019,24.506
"Arab World","ARB",2019,59.2016468732731
"Argentina","ARG",2019,91.991
"Armenia","ARM",2019,63.219
"Aruba","ABW",2019,43.546
"Australia","AUS",2019,86.124
"Austria","AUT",2019,58.515
"Azerbaijan","AZE",2019,56.031
"Bahamas, The","BHS",2019,83.132
"Bahrain","BHR",2019,89.394
"Bangladesh","BGD",2019,37.405
"Barbados","BRB",2019,31.158
"Belarus","BLR",2019,79.044
"Belgium","BEL",2019,98.041
"Belize","BLZ",2019,45.866
"Benin","BEN",2019,47.861
"Bermuda","BMU",2019,100
"Bhutan","BTN",2019,41.612
"Bolivia","BOL",2019,69.773
"Bosnia and Herzegovina","BIH",2019,48.626
"Botswana","BWA",2019,70.172
"Brazil","BRA",2019,86.824
"British Virgin Islands","VGB",2019,48.116
"Brunei Darussalam","BRN",2019,77.942
"Bulgaria","BGR",2019,75.347
"Burkina Faso","BFA",2019,29.98
"Burundi","BDI",2019,13.366
"Cabo Verde","CPV",2019,66.195
"Cambodia","KHM",2019,23.805
"Cameroon","CMR",2019,56.968
"Canada","CAN",2019,81.482
"Caribbean small states","CSS",2019,51.3700390533875
"Cayman Islands","CYM",2019,100
"Central African Republic","CAF",2019,41.77
"Central Europe and the Baltics","CEB",2019,62.4383562985671
"Chad","TCD",2019,23.279
"Channel Islands","CHI",2019,30.931
"Chile","CHL",2019,87.643
"China","CHN",2019,60.308
"Colombia","COL",2019,81.104
"Comoros","COM",2019,29.164
"Congo, Dem. Rep.","COD",2019,45.046
"Congo, Rep.","COG",2019,67.373
"Costa Rica","CRI",2019,80.076
"Cote d'Ivoire","CIV",2019,51.239
"Croatia","HRV",2019,57.242
"Cuba","CUB",2019,77.109
"Curacao","CUW",2019,89.098
"Cyprus","CYP",2019,66.805
"Czech Republic","CZE",2019,73.921
"Denmark","DNK",2019,87.994
"Djibouti","DJI",2019,77.915
"Dominica","DMA",2019,70.786
"Dominican Republic","DOM",2019,81.828
"Early-demographic dividend","EAR",2019,45.540796191108
"East Asia & Pacific","EAS",2019,59.8865327370784
"East Asia & Pacific (excluding high income)","EAP",2019,56.5700036160616
"East Asia & Pacific (IDA & IBRD countries)","TEA",2019,56.5006022536374
"Ecuador","ECU",2019,63.986
"Egypt, Arab Rep.","EGY",2019,42.73
"El Salvador","SLV",2019,72.746
"Equatorial Guinea","GNQ",2019,72.627
"Eritrea","ERI",NA,NA
"Estonia","EST",2019,69.051
"Eswatini","SWZ",2019,23.981
"Ethiopia","ETH",2019,21.225
"Euro area","EMU",2019,77.2176857209648
"Europe & Central Asia","ECS",2019,72.409148758918
"Europe & Central Asia (excluding high income)","ECA",2019,67.8187580290587
"Europe & Central Asia (IDA & IBRD countries)","TEC",2019,66.5020877822473
"European Union","EUU",2019,74.7295213215101
"Faroe Islands","FRO",2019,42.225
"Fiji","FJI",2019,56.75
"Finland","FIN",2019,85.446
"Fragile and conflict affected situations","FCS",2019,45.3750202669513
"France","FRA",2019,80.709
"French Polynesia","PYF",2019,61.897
"Gabon","GAB",2019,89.741
"Gambia, The","GMB",2019,61.931
"Georgia","GEO",2019,59.039
"Germany","DEU",2019,77.376
"Ghana","GHA",2019,56.707
"Gibraltar","GIB",2019,100
"Greece","GRC",2019,79.388
"Greenland","GRL",2019,87.052
"Grenada","GRD",2019,36.396
"Guam","GUM",2019,94.859
"Guatemala","GTM",2019,51.439
"Guinea","GIN",2019,36.5
"Guinea-Bissau","GNB",2019,43.777
"Guyana","GUY",2019,26.689
"Haiti","HTI",2019,56.192
"Heavily indebted poor countries (HIPC)","HPC",2019,36.4812814139963
"High income","HIC",2019,81.047440101991
"Honduras","HND",2019,57.73
"Hong Kong SAR, China","HKG",2019,100
"Hungary","HUN",2019,71.644
"IBRD only","IBD",2019,55.6162724512813
"Iceland","ISL",2019,93.855
"IDA & IBRD total","IBT",2019,50.9487702560582
"IDA blend","IDB",2019,42.7071864597635
"IDA only","IDX",2019,34.8275525372493
"IDA total","IDA",2019,37.4789822444632
"India","IND",2019,34.472
"Indonesia","IDN",2019,55.985
"Iran, Islamic Rep.","IRN",2019,75.391
"Iraq","IRQ",2019,70.678
"Ireland","IRL",2019,63.405
"Isle of Man","IMN",2019,52.735
"Israel","ISR",2019,92.501
"Italy","ITA",2019,70.736
"Jamaica","JAM",2019,55.985
"Japan","JPN",2019,91.698
"Jordan","JOR",2019,91.203
"Kazakhstan","KAZ",2019,57.54
"Kenya","KEN",2019,27.507
"Kiribati","KIR",2019,54.835
"Korea, Dem. People’s Rep.","PRK",2019,62.134
"Korea, Rep.","KOR",2019,81.43
"Kuwait","KWT",2019,100
"Kyrgyz Republic","KGZ",2019,36.591
"Lao PDR","LAO",2019,35.645
"Late-demographic dividend","LTE",2019,63.2931502422037
"Latin America & Caribbean","LCN",2019,80.8705590286188
"Latin America & Caribbean (excluding high income)","LAC",2019,80.6991177643297
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",2019,80.8943503672615
"Latvia","LVA",2019,68.222
"Least developed countries: UN classification","LDC",2019,34.1013508108868
"Lebanon","LBN",2019,88.758
"Lesotho","LSO",2019,28.585
"Liberia","LBR",2019,51.615
"Libya","LBY",2019,80.393
"Liechtenstein","LIE",2019,14.371
"Lithuania","LTU",2019,67.855
"Low & middle income","LMY",2019,50.8498286596221
"Low income","LIC",2019,33.3182661742934
"Lower middle income","LMC",2019,39.6858508422573
"Luxembourg","LUX",2019,91.223
"Macao SAR, China","MAC",2019,100
"Madagascar","MDG",2019,37.861
"Malawi","MWI",2019,17.174
"Malaysia","MYS",2019,76.607
"Maldives","MDV",2019,40.238
"Mali","MLI",2019,43.136
"Malta","MLT",2019,94.678
"Marshall Islands","MHL",2019,77.417
"Mauritania","MRT",2019,54.507
"Mauritius","MUS",2019,40.766
"Mexico","MEX",2019,80.444
"Micronesia, Fed. Sts.","FSM",2019,22.812
"Middle East & North Africa","MEA",2019,65.6786148250796
"Middle East & North Africa (excluding high income)","MNA",2019,61.9034003740813
"Middle East & North Africa (IDA & IBRD countries)","TMN",2019,61.7263904659042
"Middle income","MIC",2019,52.8817659456963
"Moldova","MDA",2019,42.726
"Monaco","MCO",2019,100
"Mongolia","MNG",2019,68.543
"Montenegro","MNE",2019,67.15
"Morocco","MAR",2019,62.994
"Mozambique","MOZ",2019,36.528
"Myanmar","MMR",2019,30.852
"Namibia","NAM",2019,51.042
"Nauru","NRU",2019,100
"Nepal","NPL",2019,20.153
"Netherlands","NLD",2019,91.876
"New Caledonia","NCL",2019,71.104
"New Zealand","NZL",2019,86.615
"Nicaragua","NIC",2019,58.76
"Niger","NER",2019,16.517
"Nigeria","NGA",2019,51.157
"North America","NAC",2019,82.3616940875178
"North Macedonia","MKD",2019,58.208
"Northern Mariana Islands","MNP",2019,91.708
"Norway","NOR",2019,82.616
"OECD members","OED",2019,80.8045728533655
"Oman","OMN",2019,85.443
"Other small states","OSS",2019,62.5965028738945
"Pacific island small states","PSS",2019,39.0383906719183
"Pakistan","PAK",2019,36.907
"Palau","PLW",2019,80.47
"Panama","PAN",2019,68.059
"Papua New Guinea","PNG",2019,13.25
"Paraguay","PRY",2019,61.879
"Peru","PER",2019,78.099
"Philippines","PHL",2019,47.149
"Poland","POL",2019,60.037
"Portugal","PRT",2019,65.764
"Post-demographic dividend","PST",2019,81.4657268032803
"Pre-demographic dividend","PRE",2019,41.7764539359743
"Puerto Rico","PRI",2019,93.576
"Qatar","QAT",2019,99.188
"Romania","ROU",2019,54.084
"Russian Federation","RUS",2019,74.587
"Rwanda","RWA",2019,17.313
"Samoa","WSM",2019,18.056
"San Marino","SMR",2019,97.368
"Sao Tome and Principe","STP",2019,73.598
"Saudi Arabia","SAU",2019,84.065
"Senegal","SEN",2019,47.653
"Serbia","SRB",2019,56.26
"Seychelles","SYC",2019,57.119
"Sierra Leone","SLE",2019,42.484
"Singapore","SGP",2019,100
"Sint Maarten (Dutch part)","SXM",2019,100
"Slovak Republic","SVK",2019,53.729
"Slovenia","SVN",2019,54.822
"Small states","SST",2019,59.1584604021613
"Solomon Islands","SLB",2019,24.21
"Somalia","SOM",2019,45.554
"South Africa","ZAF",2019,66.856
"South Asia","SAS",2019,34.4318973569298
"South Asia (IDA & IBRD)","TSA",2019,34.4318973569298
"South Sudan","SSD",2019,19.899
"Spain","ESP",2019,80.565
"Sri Lanka","LKA",2019,18.585
"St. Kitts and Nevis","KNA",2019,30.799
"St. Lucia","LCA",2019,18.754
"St. Vincent and the Grenadines","VCT",2019,52.614
"Sub-Saharan Africa","SSF",2019,40.7127787953052
"Sub-Saharan Africa (excluding high income)","SSA",2019,40.7112691822276
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",2019,40.7127787953052
"Sudan","SDN",2019,34.936
"Suriname","SUR",2019,66.095
"Sweden","SWE",2019,87.708
"Switzerland","CHE",2019,73.849
"Syrian Arab Republic","SYR",2019,54.821
"Tajikistan","TJK",2019,27.309
"Tanzania","TZA",2019,34.5
"Thailand","THA",2019,50.692
"Timor-Leste","TLS",2019,30.947
"Togo","TGO",2019,42.248
"Tonga","TON",2019,23.107
"Trinidad and Tobago","TTO",2019,53.187
"Tunisia","TUN",2019,69.254
"Turkey","TUR",2019,75.63
"Turkmenistan","TKM",2019,52.048
"Turks and Caicos Islands","TCA",2019,93.36
"Tuvalu","TUV",2019,63.215
"Uganda","UGA",2019,24.361
"Ukraine","UKR",2019,69.473
"United Arab Emirates","ARE",2019,86.789
"United Kingdom","GBR",2019,83.652
"United States","USA",2019,82.459
"Upper middle income","UMC",2019,66.3518334723973
"Uruguay","URY",2019,95.426
"Uzbekistan","UZB",2019,50.433
"Vanuatu","VUT",2019,25.394
"Venezuela, RB","VEN",2019,88.24
"Vietnam","VNM",2019,36.628
"Virgin Islands (U.S.)","VIR",2019,95.832
"West Bank and Gaza","PSE",2019,76.44
"World","WLD",2019,55.7142847154475
"Yemen, Rep.","YEM",2019,37.273
"Zambia","ZMB",2019,44.072
"Zimbabwe","ZWE",2019,32.21
