"country","countryiso3","SP.URB.TOTL.IN.ZS_2013","SP.URB.TOTL.IN.ZS_2014","SP.URB.TOTL.IN.ZS_2015","SP.URB.TOTL.IN.ZS_2016","SP.URB.TOTL.IN.ZS_2017","SP.URB.TOTL.IN.ZS_2018","SP.URB.TOTL.IN.ZS_2019"
"Afghanistan","AFG",24.373,24.587,24.803,25.02,25.25,25.495,25.754
"Albania","ALB",55.387,56.423,57.434,58.421,59.383,60.319,61.229
"Algeria","DZA",69.576,70.221,70.848,71.459,72.052,72.629,73.189
"American Samoa","ASM",87.348,87.288,87.238,87.198,87.17,87.153,87.147
"Andorra","AND",88.537,88.441,88.345,88.248,88.15,88.062,87.984
"Angola","AGO",62.002,62.731,63.446,64.149,64.839,65.514,66.177
"Antigua and Barbuda","ATG",25.35,25.175,25,24.846,24.713,24.599,24.506
"Arab World","ARB",57.400938487829,57.6924801264719,58.0314666759024,58.3452754822688,58.6414836935534,58.9254188866753,59.2016468732731
"Argentina","ARG",91.249,91.377,91.503,91.627,91.749,91.87,91.991
"Armenia","ARM",63.164,63.112,63.085,63.082,63.103,63.149,63.219
"Aruba","ABW",42.99,43.041,43.108,43.192,43.293,43.411,43.546
"Australia","AUS",85.502,85.602,85.701,85.8,85.904,86.012,86.124
"Austria","AUT",57.336,57.526,57.715,57.905,58.094,58.297,58.515
"Azerbaijan","AZE",54.145,54.422,54.714,55.021,55.343,55.68,56.031
"Bahamas, The","BHS",82.596,82.668,82.746,82.832,82.925,83.025,83.132
"Bahrain","BHR",88.835,88.915,88.999,89.09,89.186,89.287,89.394
"Bangladesh","BGD",32.762,33.535,34.308,35.083,35.858,36.632,37.405
"Barbados","BRB",31.429,31.328,31.249,31.193,31.159,31.147,31.158
"Belarus","BLR",76.199,76.693,77.181,77.661,78.134,78.595,79.044
"Belgium","BEL",97.789,97.833,97.876,97.919,97.961,98.001,98.041
"Belize","BLZ",45.282,45.335,45.406,45.495,45.601,45.724,45.866
"Benin","BEN",44.642,45.166,45.695,46.229,46.768,47.312,47.861
"Bermuda","BMU",100,100,100,100,100,100,100
"Bhutan","BTN",37.149,37.918,38.678,39.428,40.167,40.895,41.612
"Bolivia","BOL",67.699,68.047,68.393,68.738,69.08,69.425,69.773
"Bosnia and Herzegovina","BIH",46.519,46.84,47.173,47.518,47.876,48.245,48.626
"Botswana","BWA",65.572,66.368,67.155,67.933,68.7,69.446,70.172
"Brazil","BRA",85.209,85.492,85.77,86.042,86.309,86.569,86.824
"British Virgin Islands","VGB",45.856,46.216,46.583,46.957,47.337,47.723,48.116
"Brunei Darussalam","BRN",75.997,76.332,76.663,76.99,77.312,77.629,77.942
"Bulgaria","BGR",73.313,73.651,73.99,74.329,74.669,75.008,75.347
"Burkina Faso","BFA",26.346,26.934,27.53,28.134,28.743,29.358,29.98
"Burundi","BDI",11.482,11.776,12.078,12.388,12.706,13.032,13.366
"Cabo Verde","CPV",63.317,63.81,64.3,64.784,65.261,65.732,66.195
"Cambodia","KHM",21.415,21.799,22.188,22.582,22.98,23.388,23.805
"Cameroon","CMR",53.373,53.976,54.578,55.179,55.777,56.374,56.968
"Canada","CAN",81.178,81.218,81.259,81.3,81.35,81.411,81.482
"Caribbean small states","CSS",50.5913146585053,50.6801361784138,50.7846840272759,50.9063925920291,51.0446216815061,51.1993615776132,51.3700390533875
"Cayman Islands","CYM",100,100,100,100,100,100,100
"Central African Republic","CAF",39.663,39.959,40.277,40.618,40.98,41.364,41.77
"Central Europe and the Baltics","CEB",62.0968137366794,62.1136451427738,62.1406724582082,62.1844843229932,62.2485700242147,62.333782447835,62.4383562985671
"Chad","TCD",22.248,22.372,22.515,22.677,22.858,23.059,23.279
"Channel Islands","CHI",31.027,30.995,30.962,30.93,30.914,30.914,30.931
"Chile","CHL",87.246,87.303,87.36,87.422,87.49,87.564,87.643
"China","CHN",53.013,54.259,55.5,56.736,57.96,59.152,60.308
"Colombia","COL",79.061,79.415,79.764,80.108,80.446,80.778,81.104
"Comoros","COM",28.223,28.338,28.47,28.619,28.784,28.965,29.164
"Congo, Dem. Rep.","COD",41.627,42.18,42.74,43.307,43.88,44.46,45.046
"Congo, Rep.","COG",64.627,65.085,65.543,66.001,66.459,66.916,67.373
"Costa Rica","CRI",74.97,75.941,76.862,77.735,78.56,79.34,80.076
"Cote d'Ivoire","CIV",48.593,49.014,49.444,49.881,50.326,50.779,51.239
"Croatia","HRV",55.706,55.923,56.155,56.403,56.667,56.947,57.242
"Cuba","CUB",76.827,76.861,76.896,76.93,76.977,77.037,77.109
"Curacao","CUW",89.544,89.443,89.352,89.272,89.203,89.145,89.098
"Cyprus","CYP",67.137,67.031,66.946,66.881,66.836,66.81,66.805
"Czech Republic","CZE",73.29,73.384,73.477,73.57,73.675,73.792,73.921
"Denmark","DNK",87.292,87.41,87.526,87.642,87.757,87.874,87.994
"Djibouti","DJI",77.222,77.314,77.417,77.528,77.648,77.777,77.915
"Dominica","DMA",68.982,69.28,69.579,69.88,70.181,70.483,70.786
"Dominican Republic","DOM",76.749,77.67,78.566,79.436,80.277,81.074,81.828
"Early-demographic dividend","EAR",43.142470315471,43.5307622479199,43.9286533556988,44.3263376510493,44.7254989383134,45.1296006973606,45.540796191108
"East Asia & Pacific","EAS",54.6636501438447,55.5523754469137,56.4384209579409,57.3211648653355,58.1955135249771,59.0518757457621,59.8865327370784
"East Asia & Pacific (excluding high income)","EAP",50.6816448786706,51.6855546253635,52.6850351561394,53.6813053543495,54.669252656612,55.6333174752405,56.5700036160616
"East Asia & Pacific (IDA & IBRD countries)","TEA",50.5524919038507,51.5670600273284,52.5771022562816,53.5836815868044,54.581614905368,55.5550920185359,56.5006022536374
"Ecuador","ECU",63.125,63.261,63.398,63.534,63.67,63.821,63.986
"Egypt, Arab Rep.","EGY",42.893,42.839,42.785,42.732,42.705,42.704,42.73
"El Salvador","SLV",68.036,68.874,69.7,70.501,71.275,72.023,72.746
"Equatorial Guinea","GNQ",69.544,70.083,70.616,71.138,71.646,72.143,72.627
"Eritrea","ERI",NA,NA,NA,NA,NA,NA,NA
"Estonia","EST",68.122,68.269,68.416,68.563,68.717,68.88,69.051
"Eswatini","SWZ",22.999,23.149,23.3,23.459,23.625,23.799,23.981
"Ethiopia","ETH",18.575,18.998,19.428,19.866,20.31,20.763,21.225
"Euro area","EMU",75.9291216578059,76.1280997904901,76.3392616677396,76.5529692817313,76.7699112193732,76.9917128514049,77.2176857209648
"Europe & Central Asia","ECS",71.2937122434165,71.4655311324816,71.6445332827122,71.8287450808371,72.0166676388257,72.2101923266272,72.409148758918
"Europe & Central Asia (excluding high income)","ECA",66.7856762002375,66.9466644051624,67.1120140220879,67.2820072238663,67.4566915281038,67.6359306029436,67.8187580290587
"Europe & Central Asia (IDA & IBRD countries)","TEC",65.5693804869803,65.707388664074,65.8518499817016,66.0041141311702,66.1637779361872,66.3300142415404,66.5020877822473
"European Union","EUU",73.5394058583084,73.7178487591467,73.9081841044899,74.1050733574125,74.306868613472,74.5149579509874,74.7295213215101
"Faroe Islands","FRO",41.363,41.501,41.638,41.777,41.914,42.064,42.225
"Fiji","FJI",53.706,54.216,54.726,55.235,55.742,56.248,56.75
"Finland","FIN",85.125,85.175,85.225,85.275,85.325,85.382,85.446
"Fragile and conflict affected situations","FCS",42.840224825355,43.2409912434745,43.6789961384569,44.1021124039759,44.5169971864979,44.9366209619945,45.3750202669513
"France","FRA",79.135,79.394,79.655,79.917,80.18,80.444,80.709
