"country","countryiso3","ST.INT.XPND.MP.ZS_2013","ST.INT.XPND.MP.ZS_2014","ST.INT.XPND.MP.ZS_2015","ST.INT.XPND.MP.ZS_2016","ST.INT.XPND.MP.ZS_2017","ST.INT.XPND.MP.ZS_2018"
"Afghanistan","AFG",1.37250239634978,1.69766312411754,1.78451461171227,1.21460632498981,1.63389324656947,2.83071572441668
"Albania","ALB",26.077673872918,27.070708154652,25.856664140266,24.5892114234726,24.0589869528204,25.5314674703334
"Algeria","DZA",0.808631766179065,0.952784991230104,1.20397720165126,0.923644158656214,1.05109301248615,NA
"Angola","AGO",0.639765830697099,0.943256700156265,1.02452634658014,3.20769786123003,4.30342893395539,2.94352197094216
"Antigua and Barbuda","ATG",7.00378771428337,9.62971082599452,11.1481392746266,10.9403124616895,10.920043283727,10.134036918054
"Arab World","ARB",7.93116763477456,8.73165752372344,9.81362408193965,10.3869523102846,10.6582096790849,10.6803882715431
"Argentina","ARG",9.32539540339701,9.68288399543666,12.2000260949546,16.2728419653326,15.8684836312874,15.093929189436
"Armenia","ARM",18.3880040543734,20.0646823330097,23.9239656379071,24.7745361364918,23.1512340852509,21.933781319289
"Aruba","ABW",15.0708049177075,15.5196770645618,16.8339793043146,16.5113569180105,17.7607200931077,15.9527998724182
"Australia","AUS",11.1850592516106,11.6456342568167,12.577842439378,13.676229017858,13.7149680150395,13.6525023236232
"Austria","AUT",4.73184076569382,5.0058412986842,6.0146803990869,6.0474842171807,6.05161005757337,6.01142300861459
"Azerbaijan","AZE",15.5544268221932,16.0405933001135,14.8700456672493,15.6894958613433,16.386956193334,13.8546875412132
"Bahamas, The","BHS",7.55077163880112,6.46679718493207,8.19963855548934,9.84966144163229,11.2568075863374,10.4405650141285
"Bahrain","BHR",3.53318438691024,2.8551049847732,22.1461332061296,9.10943234415004,20.505664160401,14.7975308883519
"Bangladesh","BGD",3.14662114582846,1.73098368046026,1.81456130186139,1.7501253552406,1.98538101281744,1.84356842877916
"Barbados","BRB",3.24154574024527,NA,NA,NA,NA,NA
"Belarus","BLR",2.87209585431385,2.98495881989151,3.04690770956277,2.97074268567142,2.96476532594608,2.80366823339873
"Belgium","BEL",5.74233264328992,6.07103125213551,4.48946224182485,4.43837145394548,4.3720947726355,4.63716627947216
"Belize","BLZ",3.87561796706108,4.43430811203548,4.22789220693256,4.85946954503044,4.87768552477641,4.43403657873265
"Benin","BEN",1.17712055978172,1.30175302112232,4.0363043582418,2.33947784203836,3.68355656427994,NA
