"country","countryiso3","latest.year_ST.INT.XPND.MP.ZS","latest.value_ST.INT.XPND.MP.ZS"
"Afghanistan","AFG",2018,2.83035333921324
"Albania","ALB",2018,25.5314674703334
"Algeria","DZA",2017,1.05109301248615
"Angola","AGO",2018,2.94352197094216
"Antigua and Barbuda","ATG",2018,10.134036918054
"Arab World","ARB",2018,10.7419709402064
"Argentina","ARG",2018,15.1346704633444
"Armenia","ARM",2018,21.933781319289
"Aruba","ABW",2016,16.5265871916396
"Australia","AUS",2018,13.6625909532642
"Austria","AUT",2018,6.01142300861459
"Azerbaijan","AZE",2018,13.8546875412132
"Bahamas, The","BHS",2018,10.4405650141285
"Bahrain","BHR",2018,14.7975308883519
"Bangladesh","BGD",2018,1.84356842877916
"Barbados","BRB",2013,3.26671582149068
"Belarus","BLR",2018,2.8044416160746
"Belgium","BEL",2018,4.63702852308325
"Belize","BLZ",2018,4.43403657873265
"Benin","BEN",2017,4.05680341864693
"Bermuda","BMU",2018,16.0281381701015
"Bhutan","BTN",2018,6.26530993376602
"Bolivia","BOL",2018,8.57247022443529
"Bosnia and Herzegovina","BIH",2018,3.17729110607052
"Botswana","BWA",2018,3.681548740744
"Brazil","BRA",2018,8.62714428399348
"Brunei Darussalam","BRN",2018,10.2962198251364
"Bulgaria","BGR",2018,5.41494713377715
"Burkina Faso","BFA",2017,3.91948038268442
"Burundi","BDI",2018,2.54060975902162
"Cabo Verde","CPV",2018,7.22106468714003
"Cambodia","KHM",2018,4.93803121314257
"Cameroon","CMR",2018,10.8635393414282
"Canada","CAN",2018,5.77826805574899
"Caribbean small states","CSS",2018,5.51129297720608
"Cayman Islands","CYM",2016,8.6283547951234
"Central Europe and the Baltics","CEB",2018,3.66323761554327
"Chile","CHL",2018,3.62835496442146
"China","CHN",2018,10.8844351156334
"Colombia","COL",2018,8.93981287881651
"Comoros","COM",2018,12.8369347477558
"Congo, Dem. Rep.","COD",2018,0.646996731516002
"Congo, Rep.","COG",2016,6.27224574841038
"Costa Rica","CRI",2018,5.90941790624206
"Cote d'Ivoire","CIV",2017,4.76325434163068
"Croatia","HRV",2018,5.64641393224952
"Curacao","CUW",2018,18.9350200491937
"Cyprus","CYP",2018,8.61809977457805
"Czech Republic","CZE",2018,3.44022042992777
"Denmark","DNK",2018,5.9414777290166
"Djibouti","DJI",2017,4.04321096606343
"Dominica","DMA",2018,6.95363495546831
"Dominican Republic","DOM",2018,4.05381363470776
"Early-demographic dividend","EAR",2018,5.20574989909624
"East Asia & Pacific","EAS",2018,7.25603605913776
"East Asia & Pacific (excluding high income)","EAP",2018,9.13469260494069
"East Asia & Pacific (IDA & IBRD countries)","TEA",2018,9.13469260494069
"Ecuador","ECU",2018,4.0684950486967
"Egypt, Arab Rep.","EGY",2018,3.79545671908511
"El Salvador","SLV",2018,3.86789820108477
"Equatorial Guinea","GNQ",NA,NA
"Estonia","EST",2018,7.59774586816587
"Eswatini","SWZ",2018,2.08087997275661
"Ethiopia","ETH",2018,3.0744322898584
"Euro area","EMU",2018,5.42988772005732
"Europe & Central Asia","ECS",2018,5.90935007447484
"Europe & Central Asia (excluding high income)","ECA",2018,7.43823827235191
"Europe & Central Asia (IDA & IBRD countries)","TEC",2018,6.50830614556289
"European Union","EUU",2018,5.3188822705595
"Fiji","FJI",2018,5.16960165314811
"Finland","FIN",2018,6.66518349258762
"Fragile and conflict affected situations","FCS",2018,9.68087797548778
"France","FRA",2018,6.18840249891611
"French Polynesia","PYF",2016,12.0740405782992
"Gabon","GAB",2015,10.0806794879083
"Gambia, The","GMB",2018,1.67432277078687
"Georgia","GEO",2018,8.91481277731131
"Germany","DEU",2018,6.38673994407597
"Ghana","GHA",2018,5.72353595699859
"Greece","GRC",2018,4.55695193033916
"Grenada","GRD",2018,6.35955589379954
"Guatemala","GTM",2018,5.13450008473528
"Guinea","GIN",2018,9.93625035529261
"Guinea-Bissau","GNB",2018,16.2559757349751
"Guyana","GUY",2018,2.63362399948619
"Haiti","HTI",2018,10.5625286767651
"Heavily indebted poor countries (HIPC)","HPC",2018,4.84454213920975
"High income","HIC",2018,5.85926625694462
"Honduras","HND",2018,4.46381183124831
"Hong Kong SAR, China","HKG",2018,3.88172788860204
"Hungary","HUN",2018,2.57859219349514
"IBRD only","IBD",2018,7.5409825636315
"Iceland","ISL",2018,15.9619688394254
"IDA & IBRD total","IBT",2018,7.494895175639
"IDA blend","IDB",2018,11.1233892310014
"IDA only","IDX",2018,4.21524984388954
"IDA total","IDA",2018,6.83704235981049
"India","IND",2018,4.0111352655606
"Indonesia","IDN",2018,5.37795613606031
"Iran, Islamic Rep.","IRN",NA,NA
"Iraq","IRQ",2018,13.8107461846825
"Ireland","IRL",2018,2.17136602578505
"Israel","ISR",2018,9.10212839733564
"Italy","ITA",2018,6.23859550712916
"Jamaica","JAM",2018,6.32732336588992
"Japan","JPN",2018,3.03615914975781
"Jordan","JOR",2018,6.55918569395459
"Kazakhstan","KAZ",2018,6.16982969184371
"Kenya","KEN",2017,1.37274975633007
"Kiribati","KIR",2017,7.12073643738703
"Korea, Rep.","KOR",2018,5.41265395644938
"Kuwait","KWT",2018,20.992662623811
"Kyrgyz Republic","KGZ",2018,8.26084076428752
"Lao PDR","LAO",2018,12.9676847934516
"Late-demographic dividend","LTE",2018,8.59168840634326
"Latin America & Caribbean","LCN",2018,5.82211547473091
"Latin America & Caribbean (excluding high income)","LAC",2018,5.94200583064326
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",2018,5.77163930063621
"Latvia","LVA",2018,3.68059042893868
"Least developed countries: UN classification","LDC",2018,3.8492021830389
"Lebanon","LBN",2018,19.4679123290367
"Lesotho","LSO",2018,14.032389173839
"Liberia","LBR",2018,0.618232004984871
"Libya","LBY",2016,7.03896103896104
"Lithuania","LTU",2018,2.81919579242839
"Low & middle income","LMY",2018,7.73011015269488
"Low income","LIC",2018,4.6891444821092
"Lower middle income","LMC",2018,5.39116300540567
"Luxembourg","LUX",2018,2.92664286776237
"Macao SAR, China","MAC",2018,7.87549059270803
"Madagascar","MDG",2018,6.38436038582579
"Malawi","MWI",2018,4.62032197696521
"Malaysia","MYS",2018,5.98545872369598
"Maldives","MDV",2018,10.5671939455279
"Mali","MLI",2017,3.92884962968265
"Malta","MLT",2018,2.85446482680587
"Marshall Islands","MHL",2018,17.971392264776
"Mauritania","MRT",2018,1.15714816396614
"Mauritius","MUS",2018,9.54918584596861
"Mexico","MEX",2018,2.80036910958545
"Micronesia, Fed. Sts.","FSM",2014,12.539792219967
"Middle East & North Africa","MEA",2018,10.4933375611742
"Middle East & North Africa (excluding high income)","MNA",2018,8.41896207018743
"Middle East & North Africa (IDA & IBRD countries)","TMN",2018,8.41154433539359
"Middle income","MIC",2018,7.78132978179515
"Moldova","MDA",2018,6.86098721838949
"Mongolia","MNG",2018,9.69597228683613
"Montenegro","MNE",2018,1.99151112504161
"Morocco","MAR",2018,5.45204134123441
"Mozambique","MOZ",2018,1.28352669775177
"Myanmar","MMR",2018,0.625447844166508
"Namibia","NAM",2018,1.07388948740041
"Nauru","NRU",2018,7.48977675029448
"Nepal","NPL",2018,6.26698468458562
"Netherlands","NLD",2018,3.85310378322941
"New Caledonia","NCL",2016,7.46403951813906
"New Zealand","NZL",2018,8.02396606849385
"Nicaragua","NIC",2018,5.1855814091706
"Niger","NER",2017,4.09486622813206
"Nigeria","NGA",2018,18.4512656559857
"North America","NAC",2018,5.93784363792908
"North Macedonia","MKD",2018,3.05771361935185
