"variable","description"
"Value.3524","Value WEF Travel & Tourism Competitiveness Index, 1-7 (best)"
"Rank.3525","Rank WEF Travel & Tourism Competitiveness Index, 1-7 (best)"
"Value.3526","Value WEF Enabling environment subindex, 1-7 (best)"
"Rank.3527","Rank WEF Enabling environment subindex, 1-7 (best)"
"Value.3528","Value WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)"
"Rank.3529","Rank WEF Travel and Tourism policy and enabling conditions subindex, 1-7 (best)"
"Value.3530","Value WEF Infrastructure subindex, 1-7 (best)"
"Rank.3531","Rank WEF Infrastructure subindex, 1-7 (best)"
"Value.3532","Value WEF Natural and cultural resources subindex, 1-7 (best)"
"Rank.3533","Rank WEF Natural and cultural resources subindex, 1-7 (best)"
"Value.3534","Value WEF Business environment, 1-7 (best)"
"Rank.3535","Rank WEF Business environment, 1-7 (best)"
"Value.3536","Value WEF Safety and security pillar, 1-7 (best)"
"Rank.3537","Rank WEF Safety and security pillar, 1-7 (best)"
"Value.3538","Value WEF Health and hygiene, 1-7 (best)"
"Rank.3539","Rank WEF Health and hygiene, 1-7 (best)"
"Value.3540","Value WEF Human resources and labour market, 1-7 (best)"
"Rank.3541","Rank WEF Human resources and labour market, 1-7 (best)"
"Value.3546","Value WEF Travel and Tourism ICT readiness, 1-7 (best)"
"Rank.3547","Rank WEF Travel and Tourism ICT readiness, 1-7 (best)"
"Value.3548","Value WEF Government Prioritization of Travel & Tourism, 1-7 (best)"
"Rank.3549","Rank WEF Government Prioritization of Travel & Tourism, 1-7 (best)"
"Value.3550","Value WEF International Openness and Travel Facilitation pillar,  1-7 (best)"
"Rank.3551","Rank WEF International Openness and Travel Facilitation pillar,  1-7 (best)"
"Value.3552","Value WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)"
"Rank.3553","Rank WEF Price competitiveness in the Travel and Tourism Industry pillar, 1-7 (best)"
"Value.3554","Value WEF Environmental sustainability, 1-7 (best)"
"Rank.3555","Rank WEF Environmental sustainability, 1-7 (best)"
"Value.3556","Value WEF Air transport infrastructure, 1-7 (best)"
"Rank.3557","Rank WEF Air transport infrastructure, 1-7 (best)"
"Value.3558","Value WEF Ground and port infrastructure, 1-7 (best)"
"Rank.3559","Rank WEF Ground and port infrastructure, 1-7 (best)"
"Value.3560","Value WEF Tourist service infrastructure pillar, 1-7 (best)"
"Rank.3561","Rank WEF Tourist service infrastructure pillar, 1-7 (best)"
"Value.3562","Value WEF Natural resources pillar, 1-7 (best)"
"Rank.3563","Rank WEF Natural resources pillar, 1-7 (best)"
"Value.3564","Value WEF Cultural resources and business travel, 1-7 (best)"
"Rank.3565","Rank WEF Cultural resources and business travel, 1-7 (best)"
