"country","countryiso3","latest.year_value_country_rank_and_va.24717","latest.value_value_country_rank_and_va.24717","latest.year_rank_country_rank_and_val.24718","latest.value_rank_country_rank_and_val.24718"
"Afghanistan","AFG",2016,17,2017,132
"Angola","AGO",2016,29,2017,113
"Albania","ALB",2016,62,2017,59
"United Arab Emirates","ARE",2016,87,2017,23
"Argentina","ARG",2016,45,2017,81
"Armenia","ARM",2016,47,2017,78
"Australia","AUS",2016,92,2017,14
"Austria","AUT",2016,91,2017,17
"Azerbaijan","AZE",2016,58,2017,68
"Burundi","BDI",2016,10,2017,140
"Belgium","BEL",2016,88,2017,22
"Benin","BEN",2016,15,2017,138
"Burkina Faso","BFA",2016,18,2017,128
"Bangladesh","BGD",2016,35,2017,103
"Bulgaria","BGR",2016,66,2017,50
"Bahrain","BHR",2015,66.5,2016,32
"Bosnia and Herzegovina","BIH",2016,66,2017,52
"Belarus","BLR",2016,71,2017,44
"Belize","BLZ",2016,49,2017,77
"Bolivia","BOL",2015,30.8,2016,97
"Brazil","BRA",2016,62,2017,62
"Bhutan","BTN",2016,36,2017,100
"Botswana","BWA",2016,43,2017,87
"Canada","CAN",2016,92,2017,15
"Switzerland","CHE",2016,96.43,2017,2
"Chile","CHL",2016,64,2017,54
"China","CHN",2016,60,2017,65
"Cote d'Ivoire","CIV",2015,15.4,2016,122
"Cameroon","CMR",2016,35,2017,107
"Congo, Rep.","COG",2016,16,2017,135
"Colombia","COL",2016,55,2017,71
"Comoros","COM",2016,8,2017,141
"Costa Rica","CRI",2016,62,2017,61
"Cyprus","CYP",2016,86,2017,27
"Czech Republic","CZE",2016,84,2017,29
"Germany","DEU",2016,93.5,2017,9
"Djibouti","DJI",2016,18,2017,129
"Denmark","DNK",2016,93,2017,13
"Dominican Republic","DOM",2016,42,2017,88
"Algeria","DZA",2016,38,2017,97
"Ecuador","ECU",2016,41,2017,91
"Egypt, Arab Rep.","EGY",2016,29,2017,116
"Spain","ESP",2016,80,2017,33
"Estonia","EST",2016,90,2017,21
"Ethiopia","ETH",2016,16,2017,133
"Finland","FIN",2016,93,2017,12
"France","FRA",2016,90,2017,20
"Gabon","GAB",2016,32,2017,110
"United Kingdom","GBR",2016,95.1,2017,6
"Georgia","GEO",2016,57,2017,70
"Ghana","GHA",2016,35,2017,105
"Guinea","GIN",2016,7,2017,142
"Greece","GRC",2016,80,2017,34
"Guatemala","GTM",2015,21.4,2016,111
"Hong Kong SAR, China","HKG",2015,81.1,2016,14
"Honduras","HND",2016,37,2017,98
"Croatia","HRV",2016,81,2017,32
"Haiti","HTI",2016,16,2017,134
"Hungary","HUN",2016,79,2017,36
"Indonesia","IDN",2016,36,2017,101
"India","IND",2016,44,2017,83
"Ireland","IRL",2016,90,2017,19
"Iran, Islamic Rep.","IRN",2015,42.6,2016,77
"Iraq","IRQ",2016,14,2017,139
"Iceland","ISL",2016,93,2017,11
"Israel","ISR",2016,81,2017,31
"Italy","ITA",2016,74,2017,40
"Jamaica","JAM",2016,65,2017,53
