"country","countryiso3","value_country_rank_and_va.24717_2015","value_country_rank_and_va.24717_2016","rank_country_rank_and_val.24718_2016","rank_country_rank_and_val.24718_2017"
"Afghanistan","AFG",14.1,17,130,132
"Angola","AGO",21.1,29,113,113
"Albania","ALB",51,62,59,59
"United Arab Emirates","ARE",73.4,87,25,23
"Argentina","ARG",51.9,45,57,81
"Armenia","ARM",36.6,47,87,78
"Australia","AUS",81.4,92,12,14
"Austria","AUT",76,91,21,17
"Azerbaijan","AZE",50.5,58,60,68
"Burundi","BDI",10.6,10,135,140
"Belgium","BEL",76,88,22,22
"Benin","BEN",15.3,15,123,138
"Burkina Faso","BFA",14.9,18,125,128
"Bangladesh","BGD",16.7,35,121,103
"Bulgaria","BGR",56.4,66,50,50
"Bahrain","BHR",66.5,NA,32,NA
"Bosnia and Herzegovina","BIH",40.7,66,81,52
"Belarus","BLR",50,71,62,44
"Belize","BLZ",NA,49,NA,77
"Bolivia","BOL",30.8,NA,97,NA
"Brazil","BRA",56.2,62,51,62
"Bhutan","BTN",27.8,36,104,100
"Botswana","BWA",38.6,43,85,87
"Canada","CAN",86.3,92,4,15
"Switzerland","CHE",83.3,96.43,9,2
"Chile","CHL",60.3,64,43,54
"China","CHN",49.1,60,64,65
"Cote d'Ivoire","CIV",15.4,NA,122,NA
"Cameroon","CMR",20,35,116,107
"Congo, Rep.","COG",NA,16,NA,135
"Colombia","COL",44.6,55,72,71
"Comoros","COM",NA,8,NA,141
"Costa Rica","CRI",52.4,62,55,61
"Cyprus","CYP",64.8,86,36,27
"Czech Republic","CZE",71.7,84,29,29
"Germany","DEU",78,93.5,17,9
"Djibouti","DJI",NA,18,NA,129
"Denmark","DNK",78.7,93,16,13
"Dominican Republic","DOM",39.9,42,83,88
"Algeria","DZA",32.3,38,95,97
"Ecuador","ECU",45,41,71,91
"Egypt, Arab Rep.","EGY",39.9,29,82,116
"Spain","ESP",75,80,24,33
"Estonia","EST",72.3,90,27,21
"Ethiopia","ETH",21.2,16,112,133
"Finland","FIN",84.3,93,6,12
"France","FRA",76.2,90,19,20
"Gabon","GAB",NA,32,NA,110
"United Kingdom","GBR",83.7,95.1,8,6
"Georgia","GEO",39.2,57,84,70
"Ghana","GHA",30.5,35,99,105
"Guinea","GIN",7.9,7,136,142
"Greece","GRC",58.6,80,46,34
"Guatemala","GTM",21.4,NA,111,NA
"Hong Kong SAR, China","HKG",81.1,NA,14,NA
"Honduras","HND",30.5,37,98,98
"Croatia","HRV",69.6,81,30,32
"Haiti","HTI",NA,16,NA,134
"Hungary","HUN",64.5,79,37,36
"Indonesia","IDN",33,36,93,101
"India","IND",34,44,90,83
"Ireland","IRL",77.7,90,18,19
"Iran, Islamic Rep.","IRN",42.6,NA,77,NA
"Iraq","IRQ",14.3,14,127,139
"Iceland","ISL",89,93,2,11
"Israel","ISR",76.1,81,20,31
"Italy","ITA",63.5,74,38,40
"Jamaica","JAM",47.6,65,66,53
"Jordan","JOR",41.3,50,80,75
"Japan","JPN",86.1,93.6,5,8
"Kazakhstan","KAZ",36.5,66,88,51
"Kenya","KEN",37.9,45,86,82
"Kyrgyz Republic","KGZ",23.8,29,109,117
"Cambodia","KHM",19.5,29,119,115
"Korea, Rep.","KOR",84.3,NA,7,NA
"Kuwait","KWT",61.9,63,40,57
"Lao PDR","LAO",20.3,NA,115,NA
"Lebanon","LBN",57.4,63,48,56
"Liberia","LBR",15.1,18,124,130
"Sri Lanka","LKA",33.2,52,92,73
"Lesotho","LSO",14.5,22,126,125
"Lithuania","LTU",61.3,79,41,35
"Luxembourg","LUX",89.7,96.5,1,1
"Latvia","LVA",66.2,87,34,24
"Morocco","MAR",41.5,43,79,85
"Moldova","MDA",51.4,59,58,66
"Madagascar","MDG",11.7,29,134,118
"Mexico","MEX",49.1,42,63,90
"Macedonia, FYR","MKD",60,NA,45,NA
"Mali","MLI",13.5,23,131,124
"Malta","MLT",66.3,85,33,28
"Myanmar","MMR",12,23,133,123
"Montenegro","MNE",41.5,57,78,69
"Mongolia","MNG",29.8,64,101,55
"Mauritania","MRT",NA,21,NA,126
"Mauritius","MUS",45.9,76,70,39
"Malawi","MWI",14.2,17,129,131
"Malaysia","MYS",60.1,77,44,38
"Namibia","NAM",NA,42,NA,89
"Niger","NER",6.5,3,137,144
"Nigeria","NGA",30.4,46,100,80
"Nicaragua","NIC",20.7,23,114,122
"Netherlands","NLD",79.5,95.9,15,4
"Norway","NOR",87.1,96.39,3,3
"Nepal","NPL",19.9,35,118,108
"New Zealand","NZL",82.9,93,10,10
"Oman","OMN",48.8,60,65,64
"Pakistan","PAK",27.7,24,105,120
"Panama","PAN",47.2,43,68,84
"Peru","PER",43.1,41,76,94
"Philippines","PHL",35.7,40,89,96
"Poland","POL",65.2,78,35,37
"Portugal","PRT",60.4,68,42,48
"Paraguay","PRY",43.8,41,74,93
"Qatar","QAT",72.4,62,26,58
"Romania","ROU",55,69,53,45
"Russian Federation","RUS",57.6,71,47,43
"Rwanda","RWA",19.9,37,117,99
"Saudi Arabia","SAU",52.2,69,56,46
"Sudan","SDN",12.4,15,132,137
"Senegal","SEN",33.4,30,91,112
"Singapore","SGP",75.8,90,23,18
"Sierra Leone","SLE",14.3,16,128,136
"El Salvador","SLV",31.7,49,96,76
"Serbia","SRB",55.9,73,52,41
"Slovak Republic","SVK",68.2,82,31,30
"Slovenia","SVN",71.9,87,28,25
"Sweden","SWE",81.4,94.6,13,7
"Swaziland","SWZ",26.8,29,106,114
"Syrian Arab Republic","SYR",NA,21,NA,127
"Chad","TCD",NA,6,NA,143
"Togo","TGO",18.4,32,120,111
"Thailand","THA",47.2,68,69,49
"Trinidad and Tobago","TTO",47.5,NA,67,NA
"Tunisia","TUN",44.5,47,73,79
"Turkey","TUR",56.5,62,49,60
"Tanzania","TZA",26.5,27,107,119
"Uganda","UGA",29.7,43,102,86
"Ukraine","UKR",54.6,60,54,63
