"country","countryiso3","latest.year_TX.VAL.TRVL.ZS.WT","latest.value_TX.VAL.TRVL.ZS.WT"
"Afghanistan","AFG",2019,14.5568195394113
"Albania","ALB",2019,62.3360662403228
"Algeria","DZA",2017,4.82084914372753
"Angola","AGO",2019,84.482964558018
"Antigua and Barbuda","ATG",2018,79.197620494959
"Arab World","ARB",2017,45.8522597818054
"Argentina","ARG",2019,37.4558763546299
"Armenia","ARM",2019,64.8530544888647
"Aruba","ABW",2018,87.0473806055722
"Australia","AUS",2019,65.3691866024879
"Austria","AUT",2019,30.8078901787738
"Azerbaijan","AZE",2019,48.0739669214582
"Bahamas, The","BHS",2018,90.6924141212745
"Bahrain","BHR",2018,35.9979700807555
"Bangladesh","BGD",2019,12.096671590289
"Barbados","BRB",2016,74.5015890578721
"Belarus","BLR",2019,9.43113148572619
"Belgium","BEL",2019,7.52107627683516
"Belize","BLZ",2018,83.0834891529299
"Benin","BEN",2018,33.5106623555356
"Bermuda","BMU",2018,38.6908669562374
"Bhutan","BTN",2019,64.3341967367315
"Bolivia","BOL",2019,56.2193484433085
"Bosnia and Herzegovina","BIH",2019,50.4439148901187
"Botswana","BWA",2018,64.3392013220115
"Brazil","BRA",2019,17.7604190715413
"Brunei Darussalam","BRN",2019,36.1627359400672
"Bulgaria","BGR",2019,40.5833195706028
"Burkina Faso","BFA",2018,23.8659408339557
"Burundi","BDI",2018,16.1109932479797
"Cabo Verde","CPV",2019,71.1141362741778
"Cambodia","KHM",2019,81.5256287897649
"Cameroon","CMR",2018,28.9665665964953
"Canada","CAN",2019,26.9464101326742
"Caribbean small states","CSS",2018,55.517695104664
"Cayman Islands","CYM",2017,23.6810933371092
"Central African Republic","CAF",NA,NA
"Central Europe and the Baltics","CEB",2019,23.4319090975777
"Chad","TCD",NA,NA
"Chile","CHL",2018,29.9616451894308
"China","CHN",2019,14.7594263231093
"Colombia","COL",2019,57.6153202171605
"Comoros","COM",2018,72.9965539198801
"Congo, Dem. Rep.","COD",2018,68.080563848052
"Congo, Rep.","COG",2016,18.2873860023584
"Costa Rica","CRI",2019,41.983445122105
"Cote d'Ivoire","CIV",2018,42.8837670715207
"Croatia","HRV",2019,69.8257221502407
"Curacao","CUW",2018,43.4386140113207
"Cyprus","CYP",2019,23.9029916403429
"Czech Republic","CZE",2019,24.2776586678986
"Denmark","DNK",2019,11.9009319291677
"Djibouti","DJI",2018,7.97523297858096
"Dominica","DMA",2018,80.0809705362717
"Dominican Republic","DOM",2019,82.691306899339
"Early-demographic dividend","EAR",2019,51.2378159037683
"East Asia & Pacific","EAS",2019,25.0816592264164
"East Asia & Pacific (excluding high income)","EAP",2019,24.1744478238008
"East Asia & Pacific (IDA & IBRD countries)","TEA",2019,24.1744478238008
"Ecuador","ECU",2019,72.5845251285349
"Egypt, Arab Rep.","EGY",2019,53.7261062457737
"El Salvador","SLV",2019,42.0591800703614
"Eritrea","ERI",NA,NA
"Estonia","EST",2019,22.1669294284924
"Eswatini","SWZ",2019,16.5568732668456
"Ethiopia","ETH",2018,21.4592111230388
"Euro area","EMU",2019,19.8275599462661
"Europe & Central Asia","ECS",2019,19.7445321412245
"Europe & Central Asia (excluding high income)","ECA",2019,25.4442593622638
"Europe & Central Asia (IDA & IBRD countries)","TEC",2019,24.2696855022459
"European Union","EUU",2019,20.0019477191759
"Faroe Islands","FRO",NA,NA
"Fiji","FJI",2019,63.6721999660729
"Finland","FIN",2019,10.3262466690613
"Fragile and conflict affected situations","FCS",2016,39.8520479906298
"France","FRA",2019,22.7684928083855
"French Polynesia","PYF",2016,56.7371380655924
"Gabon","GAB",2015,9.20286762295337
"Gambia, The","GMB",2018,78.1743278416326
"Georgia","GEO",2019,72.4806722830042
"Germany","DEU",2019,12.2027594318849
"Ghana","GHA",2018,12.4815530358788
"Greece","GRC",2019,45.339331356983
"Grenada","GRD",2018,90.7810840225906
"Guatemala","GTM",2019,34.6318888379311
"Guinea","GIN",2018,6.18269230769231
"Guinea-Bissau","GNB",2018,52.6706540192677
"Guyana","GUY",2018,17.6795523288545
"Haiti","HTI",2018,93.5317779802538
"Heavily indebted poor countries (HIPC)","HPC",2018,45.1652094392311
"High income","HIC",2019,23.1623314541315
"Honduras","HND",2019,24.2409947799942
"Hong Kong SAR, China","HKG",2019,28.6570225594646
"Hungary","HUN",2019,24.1775024871287
"IBRD only","IBD",2019,30.6190817793934
"Iceland","ISL",2019,48.0052353361547
"IDA & IBRD total","IBT",2019,30.6646092602312
"IDA blend","IDB",2018,36.4308214584796
"IDA only","IDX",2018,38.8756603072469
"IDA total","IDA",2018,37.6770290040946
"India","IND",2019,14.373415567993
"Indonesia","IDN",2019,54.7072536893452
"Iran, Islamic Rep.","IRN",NA,NA
"Iraq","IRQ",2019,51.3882332746857
"Ireland","IRL",2019,2.44509252961063
"Israel","ISR",2019,13.6017923044017
"Italy","ITA",2019,41.015593944137
"Jamaica","JAM",2018,81.6448875079982
"Japan","JPN",2019,22.7053876028713
"Jordan","JOR",2018,74.7592681752528
"Kazakhstan","KAZ",2019,32.8648213941095
"Kenya","KEN",2017,24.194917737549
"Kiribati","KIR",2018,43.9717226668901
"Korea, Rep.","KOR",2019,20.2138258736971
"Kosovo","XKX",2019,80.3576923474242
"Kuwait","KWT",2018,6.05101138476391
"Kyrgyz Republic","KGZ",2018,56.5154061663099
"Lao PDR","LAO",2018,80.311632766436
"Late-demographic dividend","LTE",2019,21.2689040222863
"Latin America & Caribbean","LCN",2019,53.3864735043874
"Latin America & Caribbean (excluding high income)","LAC",2019,53.8043605150719
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",2019,53.3864735043874
"Latvia","LVA",2019,16.2500484019784
"Least developed countries: UN classification","LDC",2018,56.2576973155238
"Lebanon","LBN",2018,54.0872688302315
"Lesotho","LSO",2019,79.6624732806453
"Liberia","LBR",NA,NA
"Libya","LBY",NA,NA
"Lithuania","LTU",2019,11.5194956457779
"Low & middle income","LMY",2019,31.2125660188019
"Low income","LIC",2016,34.2096911716127
"Lower middle income","LMC",2018,30.94597200187
"Luxembourg","LUX",2019,4.48887737219031
"Macao SAR, China","MAC",2018,93.3340099180218
"Madagascar","MDG",2018,54.4496892149164
"Malawi","MWI",2018,23.4107771686051
"Malaysia","MYS",2018,48.9234916587409
"Maldives","MDV",2018,90.5133848041113
"Mali","MLI",2018,46.6462327955677
"Malta","MLT",2019,11.1280035091124
"Marshall Islands","MHL",2018,22.9290641334057
"Mauritania","MRT",2018,3.75257889369003
"Mauritius","MUS",2018,59.4533143813388
"Mexico","MEX",2019,81.7321760848595
"Micronesia, Fed. Sts.","FSM",2014,75.7164016097904
"Middle East & North Africa (excluding high income)","MNA",NA,NA
"Middle East & North Africa (IDA & IBRD countries)","TMN",NA,NA
"Middle income","MIC",2019,31.2068679223961
"Moldova","MDA",2019,26.3627050543486
"Mongolia","MNG",2019,41.7908148521763
"Montenegro","MNE",2019,64.6243331142534
