"country","countryiso3","TX.VAL.TRVL.ZS.WT_2013","TX.VAL.TRVL.ZS.WT_2014","TX.VAL.TRVL.ZS.WT_2015","TX.VAL.TRVL.ZS.WT_2016","TX.VAL.TRVL.ZS.WT_2017","TX.VAL.TRVL.ZS.WT_2018","TX.VAL.TRVL.ZS.WT_2019"
"Afghanistan","AFG",16.4772145710079,8.49479789993841,10.1878528445153,11.0500819537391,0.512371434422906,4.49735697731182,14.5568195394113
"Albania","ALB",65.7025105609657,69.2425031725337,67.964052878188,64.8408990541582,60.8218048371736,61.1505070564218,62.3360662403228
"Algeria","DZA",6.74371549893263,7.41471167367754,9.16903450150878,6.64263443483275,4.82084914372753,NA,NA
"Angola","AGO",93.7687846455282,94.5094245798125,92.5607686977239,87.6105259843542,89.4194792236393,86.1846306203231,84.482964558018
"Antigua and Barbuda","ATG",66.0033179212338,76.3705398591104,74.9294018912316,75.9072479437225,77.4090209076374,79.197620494959,NA
"Arab World","ARB",46.0495511245169,46.4336461485439,48.0980215437615,45.9405920638028,45.8522597818054,NA,NA
"Argentina","ARG",33.5478258836858,37.6050496187836,37.8835088463031,37.5077681577999,35.1549220193131,37.6080308456687,37.4558763546299
"Armenia","ARM",58.9870525820768,60.595248988225,63.0819267641863,61.3236113119555,59.4221839836932,59.6360870004902,64.8530544888647
"Aruba","ABW",80.4434193918703,79.5442688549249,79.2538760579163,86.5064571092336,86.37533063277,87.0473806055722,NA
"Australia","AUS",58.6908208863022,60.3643211605667,63.3304044658712,64.7057018127764,64.9295943222643,65.7670796496465,65.3691866024879
"Austria","AUT",31.6352504465594,30.7617410246646,31.2309035118623,31.5898428094318,30.6205643778683,31.3400799788096,30.8078901787738
"Azerbaijan","AZE",57.5942166205434,56.9597604606943,52.2145606204925,62.5159584736443,64.6197744451403,56.5133869869781,48.0739669214582
"Bahamas, The","BHS",86.8470509526054,86.4489146057563,89.0231884526455,91.4097413595305,92.8265993703178,90.6924141212745,NA
"Bahrain","BHR",13.8226644139916,14.0933349882091,17.2781134168053,34.9689245725618,32.0719454788168,35.9979700807555,NA
"Bangladesh","BGD",8.43042251164241,9.34935801029912,8.92299212832948,10.6365011965469,14.9866993551406,11.8544967884309,12.096671590289
"Barbados","BRB",68.7938642466798,66.0075556292314,68.3522234287981,74.5015890578721,NA,NA,NA
"Belarus","BLR",10.5082855321861,10.9598039463379,10.9375,10.3619236489836,10.1589355251976,10.0183740132474,9.43113148572619
"Belgium","BEL",11.9727746711619,11.2676769054029,7.3438412703554,7.16495249235304,7.29028203759417,7.35775432503541,7.52107627683516
"Belize","BLZ",83.2711998775479,81.6179598299836,79.366447849513,77.1243941693006,78.4320481112732,83.0834891529299,NA
"Benin","BEN",37.861232959731,33.1210017180309,42.1292930600226,38.9245942045642,46.3930843648371,33.5106623555356,NA
"Bermuda","BMU",33.3666635345256,31.6322977617836,31.3470119968513,35.4466990632723,38.8101095518548,38.6908669562374,NA
"Bhutan","BTN",68.6742811749546,68.3465433363888,75.9214871602735,63.4983442451363,65.7355396361525,57.2514956732759,64.3341967367315
"Bolivia","BOL",47.9521670964631,56.0508964176692,57.283710475076,58.44337711046,55.9874957563955,56.8151793000017,56.2193484433085
"Bosnia and Herzegovina","BIH",42.3013802667508,42.5618555113444,44.8815794390572,46.5021408143105,46.4121947403456,46.7773388993228,50.4439148901187
"Botswana","BWA",61.9165433841963,60.1284794103439,63.5475095490964,63.0390777354484,63.0932997225243,64.3392013220115,NA
"Brazil","BRA",17.813934532359,17.5242272163011,17.6986151167129,18.4962342214412,17.250002480772,17.0901793317012,17.7604190715413
"Brunei Darussalam","BRN",NA,14.1552243101446,23.4235307613931,28.3445830339699,33.2796170072163,34.5024160100307,36.1627359400672
"Bulgaria","BGR",49.0731472236712,43.5427586749862,38.8363037181533,40.917027584299,43.8447479338623,41.7784037646269,40.5833195706028
"Burkina Faso","BFA",33.3976758742514,31.5993571662218,29.6806104236351,28.4348422388447,25.6483073658423,23.8659408339557,NA
"Burundi","BDI",8.15264269355449,13.5363586530987,11.3392062785162,10.7600337469714,17.4120832481934,16.1109932479797,NA
"Cabo Verde","CPV",67.7095130659397,67.0272523571713,72.2453678217379,67.4860745215816,73.15613153236,74.2372564023099,71.1141362741778
"Cambodia","KHM",79.3196146391409,79.5239813426694,82.9033685108675,83.4921354855469,82.8894775651133,83.1013192020498,81.5256287897649
"Cameroon","CMR",30.9660591015624,30.6711395411831,31.2195694257055,32.1175692821704,28.4823249825711,28.9665665964953,NA
"Canada","CAN",22.6532430972403,23.5962196998749,24.2474193816094,26.2840616276351,26.952534680561,26.9880647309487,26.9464101326742
"Caribbean small states","CSS",45.9295835509057,44.3245906180968,54.5645202040093,55.4139243300225,52.2785191038621,55.517695104664,NA
"Cayman Islands","CYM",NA,NA,NA,23.0192854300144,23.6810933371092,NA,NA
"Central African Republic","CAF",NA,NA,NA,NA,NA,NA,NA
"Central Europe and the Baltics","CEB",27.1874916370493,25.9939092090428,25.4961758182722,24.9866588894526,24.7201036030259,23.7305700701788,23.4319090975777
"Chad","TCD",NA,NA,NA,NA,NA,NA,NA
"Chile","CHL",18.6953622677657,22.0167015627727,27.1369808046622,29.2721453745916,34.6483035990288,29.9616451894308,NA
"China","CHN",25.1066475449085,20.1955134969825,20.786625958366,21.444630433564,18.2429875536931,17.4218487459128,14.7594263231093
"Colombia","COL",52.0648621017004,54.1181376291393,57.8853602878314,59.2332863416669,59.2433707821716,58.6105024888009,57.6153202171605
"Comoros","COM",NA,68.4633143103969,66.5831853237806,67.3686175648213,70.2130943487154,72.9965539198801,NA
"Congo, Dem. Rep.","COD",5.04457247647229,19.4273082042282,0.0866638936533314,5.0279343718433,10.1454991350844,68.080563848052,NA
"Congo, Rep.","COG",9.31550868081371,8.82307825366105,11.7876809090392,18.2873860023584,NA,NA,NA
"Costa Rica","CRI",42.298044711246,42.3553637390382,42.5933233993265,42.8809753792672,42.512671840304,41.6091733422593,41.983445122105
"Cote d'Ivoire","CIV",22.9160741420427,24.3247529543104,24.5125734880067,48.0337788140893,45.5617318307534,42.8837670715207,NA
"Croatia","HRV",73.0846581006864,69.904906318816,68.5432116364472,69.1614256086231,69.7818456988689,68.4024744135248,69.8257221502407
"Curacao","CUW",38.0317192041788,38.930233195595,39.5075860815843,40.8116836629175,41.8496908547358,43.4386140113207,NA
"Cyprus","CYP",27.0515403113698,25.4028881405628,24.0863897679938,24.4379703346714,24.5703595533734,25.1333001288174,23.9029916403429
"Czech Republic","CZE",29.4046615417591,27.236366069003,26.5434045962149,26.0437939577002,25.5227586662702,24.5233991945678,24.2776586678986
"Denmark","DNK",10.0356032454249,10.4428388373993,10.424210969199,11.9012378197024,12.3337090124551,11.6382082838005,11.9009319291677
"Djibouti","DJI",3.60424625261636,4.07839278088272,6.41679784327561,5.89923359796544,5.40924489126871,7.97523297858096,NA
"Dominica","DMA",71.2762189891006,92.4550311176272,91.672724479528,85.9640625913318,84.937911900842,80.0809705362717,NA
"Dominican Republic","DOM",82.9441591047078,83.5889593324524,84.1552687343479,84.1159166301559,84.1062083660161,84.3197608930822,82.691306899339
"Early-demographic dividend","EAR",45.8454441853162,46.507645555612,47.4006383065922,46.6139295273235,47.4888074159317,50.234736568958,51.2378159037683
"East Asia & Pacific","EAS",27.2740752761847,25.8753763654998,26.8805917750846,27.8089371814811,26.5804093483567,27.0958924128273,25.0816592264164
"East Asia & Pacific (excluding high income)","EAP",32.5302699617614,29.4362970418818,30.2761933981423,30.6357697651562,28.8711800455401,28.1350648211392,24.1744478238008
