"variable","description"
"Local currency in bn (Real prices).24637","Local currency in bn (Real prices) Business Tourism Spending"
"Local currency  _in bn (Nominal prices).24638","Local currency  _in bn (Nominal prices) Business Tourism Spending"
"% share.24639","% share Business Tourism Spending"
"US$ in bn (Nominal prices).24640","US$ in bn (Nominal prices) Business Tourism Spending"
"US$ in bn (Real prices).24641","US$ in bn (Real prices) Business Tourism Spending"
"% growth.24642","% growth Business Tourism Spending"
"Thousands of jobs.24643","Thousands of jobs Travel and Tourism direct contribution to employment"
"% share of total employment.24644","% share of total employment Travel and Tourism direct contribution to employment"
"% growth.24645","% growth Travel and Tourism direct contribution to employment"
"Local currency  _in bn (Nominal prices).24646","Local currency  _in bn (Nominal prices) Travel and Tourism direct contribution to GDP"
"Local currency in bn (Real prices).24647","Local currency in bn (Real prices) Travel and Tourism direct contribution to GDP"
"Percentage share of total GDP.24648","Percentage share of total GDP Travel and Tourism direct contribution to GDP"
"US$ in bn (Nominal prices).24649","US$ in bn (Nominal prices) Travel and Tourism direct contribution to GDP"
"US$ in bn (Real prices).24650","US$ in bn (Real prices) Travel and Tourism direct contribution to GDP"
"% growth.24651","% growth Travel and Tourism direct contribution to GDP"
"Local currency  _in bn (Nominal prices).24652","Local currency  _in bn (Nominal prices) Domestic Tourism Spending"
"Local currency in bn (Real prices).24653","Local currency in bn (Real prices) Domestic Tourism Spending"
"% share.24654","% share Domestic Tourism Spending"
"US$ in bn (Nominal prices).24655","US$ in bn (Nominal prices) Domestic Tourism Spending"
"US$ in bn (Real prices).24656","US$ in bn (Real prices) Domestic Tourism Spending"
"% growth.24657","% growth Domestic Tourism Spending"
"Local currency  _in bn (Nominal prices).24658","Local currency  _in bn (Nominal prices) Government spending on travel and Tourism service"
"Local currency in bn (Real prices).24659","Local currency in bn (Real prices) Government spending on travel and Tourism service"
"US$ in bn (Nominal prices).24660","US$ in bn (Nominal prices) Government spending on travel and Tourism service"
"US$ in bn (Real prices).24661","US$ in bn (Real prices) Government spending on travel and Tourism service"
"% growth.24662","% growth Government spending on travel and Tourism service"
"% share of total tourism expenditure.24663","% share of total tourism expenditure Government spending on travel and Tourism service"
"Local currency  _in bn (Nominal prices).24664","Local currency  _in bn (Nominal prices) Internal Travel and Tourism consumption"
"Local currency in bn (Real prices).24665","Local currency in bn (Real prices) Internal Travel and Tourism consumption"
"% share.24666","% share Internal Travel and Tourism consumption"
"US$ in bn (Nominal prices).24667","US$ in bn (Nominal prices) Internal Travel and Tourism consumption"
"US$ in bn (Real prices).24668","US$ in bn (Real prices) Internal Travel and Tourism consumption"
"% growth.24669","% growth Internal Travel and Tourism consumption"
"Local currency  _in bn (Nominal prices).24670","Local currency  _in bn (Nominal prices) Capital investment in Travel and Tourism"
"Local currency in bn (Real prices).24671","Local currency in bn (Real prices) Capital investment in Travel and Tourism"
"% exports.24672","% exports Capital investment in Travel and Tourism"
"US$ in bn (Nominal prices).24673","US$ in bn (Nominal prices) Capital investment in Travel and Tourism"
"US$ in bn (Real prices).24674","US$ in bn (Real prices) Capital investment in Travel and Tourism"
"% growth.24675","% growth Capital investment in Travel and Tourism"
"Local currency  _in bn (Nominal prices).24676","Local currency  _in bn (Nominal prices) Leisure Tourism Spending"
"Local currency in bn (Real prices).24677","Local currency in bn (Real prices) Leisure Tourism Spending"
"% share.24678","% share Leisure Tourism Spending"
"US$ in bn (Nominal prices).24679","US$ in bn (Nominal prices) Leisure Tourism Spending"
"US$ in bn (Real prices).24680","US$ in bn (Real prices) Leisure Tourism Spending"
"% growth.24681","% growth Leisure Tourism Spending"
"Local currency  _in bn (Nominal prices).24682","Local currency  _in bn (Nominal prices) Outbound Travel & Tourism Expenditure"
"Local currency in bn (Real prices).24683","Local currency in bn (Real prices) Outbound Travel & Tourism Expenditure"
"US$ in bn (Nominal prices).24684","US$ in bn (Nominal prices) Outbound Travel & Tourism Expenditure"
"US$ in bn (Real prices).24685","US$ in bn (Real prices) Outbound Travel & Tourism Expenditure"
"Percentage share of total GDP.24686","Percentage share of total GDP Outbound Travel & Tourism Expenditure"
"% growth.24687","% growth Outbound Travel & Tourism Expenditure"
"% share of total employment.24688","% share of total employment Travel and Tourism total contribution to employment"
"Thousands of jobs.24689","Thousands of jobs Travel and Tourism total contribution to employment"
"% growth.24690","% growth Travel and Tourism total contribution to employment"
"Local currency  _in bn (Nominal prices).24691","Local currency  _in bn (Nominal prices) Travel and Tourism total contribution to GDP"
"Local currency in bn (Real prices).24692","Local currency in bn (Real prices) Travel and Tourism total contribution to GDP"
"Percentage share of total GDP.24693","Percentage share of total GDP Travel and Tourism total contribution to GDP"
"US$ in bn (Nominal prices).24694","US$ in bn (Nominal prices) Travel and Tourism total contribution to GDP"
"US$ in bn (Real prices).24695","US$ in bn (Real prices) Travel and Tourism total contribution to GDP"
"% growth.24696","% growth Travel and Tourism total contribution to GDP"
"Local currency  _in bn (Nominal prices).24697","Local currency  _in bn (Nominal prices) Visitor Exports (Foreign spending)"
"Local currency in bn (Real prices).24698","Local currency in bn (Real prices) Visitor Exports (Foreign spending)"
"% exports.24699","% exports Visitor Exports (Foreign spending)"
"US$ in bn (Nominal prices).24700","US$ in bn (Nominal prices) Visitor Exports (Foreign spending)"
"US$ in bn (Real prices).24701","US$ in bn (Real prices) Visitor Exports (Foreign spending)"
"% growth.24702","% growth Visitor Exports (Foreign spending)"
