country,countryiso3,hospital_data_yr_rec,hospitals_per_1mil,total_n_of_hospitals,total_n_of_hospital_beds,hospital_beds_per_1000,doctors_data_yr_rec,doctors_per_10k,total_n_of_doctors,nurses_data_yr_rec,nurses_and_midwifery_per_10k,total_n_of_nurses_and_midwifery,total_n_of_nurses,total_n_of_midwifery,che_perc_of_gdp_2017,che_perc_of_gdp_2016,world_pop_2016_thousands
Afghanistan,AFG,2013,3.7,128,NA,NA,2016,2.782,9842,2017,1.755,6370,6370,NA,11.8,11,34656
Angola,AGO,NA,NA,NA,NA,NA,2017,2.146,6400,2018,4.075,12554,12554,NA,2.8,2.7,28813
Albania,ALB,2013,13.600000000000001,39,NA,NA,2016,12.164,3511,2016,36.495,10534,10534,NA,NA,NA,2926
Andorra,AND,NA,NA,NA,NA,NA,2015,33.333,260,2015,40.128,313,296,17,10.3,10.3,77
United Arab Emirates,ARE,NA,NA,NA,NA,NA,2018,25.278,24345,2018,57.271,55158,55158,NA,3.3,3.4,9270
Argentina,ARG,NA,NA,NA,NA,NA,2017,39.901,175313,2017,25.996,114219,114219,NA,9.1,7.5,43847
Armenia,ARM,2013,40.300000000000004,117,NA,NA,2017,44.023,12964,2017,61.07,17984,16796,1188,10.4,10,2925
Antigua and Barbuda,ATG,2013,11.100000000000001,1,NA,NA,2017,29.56,282,2018,45.171,435,435,NA,4.5,4.4,101
Australia,AUS,2016,55.89,1352,92826,3.84,2017,36.778,90417,2017,125.508,308556,287405,21151,9.2,9.2,24126
Austria,AUT,2017,30.8,271,64805,7.37,2017,51.697,45596,2018,2.63,2338,NA,2338,10.4,10.4,8712
Azerbaijan,AZE,2013,79.7,775,NA,NA,2014,34.46,32756,2014,64.338,61157,56148,5009,6.7,6.7,9725
Burundi,BDI,2013,5,52,NA,NA,2017,1.001,1084,2017,8.526,9231,9071,160,7.5,7.5,10524
Belgium,BEL,2018,15.27,174,64248,5.64,2017,30.709,35069,2018,194.614,223460,210507,12953,10.3,10.3,11358
Benin,BEN,2013,4.1,44,NA,NA,2018,0.791,908,2018,3.888,4465,3410,1055,3.7,3.9,10872
Burkina Faso,BFA,2013,3.1,57,NA,NA,2017,0.847,1626,2017,8.829,16945,10376,6569,6.9,7,18646
Bangladesh,BGD,2013,1.7000000000000002,277,NA,NA,2018,5.809,93741,2018,4.124,66544,57211,9333,2.3,2.3,162952
Bulgaria,BGR,NA,NA,NA,NA,NA,2015,40.332,29038,2015,48.156,34671,31397,3274,8.1,8.2,7131
Bahrain,BHR,NA,NA,NA,NA,NA,2015,9.257,1270,2015,24.944,3422,3422,NA,4.7,4.9,1425
Bahamas,BHS,2013,10.600000000000001,4,NA,NA,2017,20.068,766,2018,45.669,1761,1761,NA,5.8,6.1,391
Bosnia and Herzegovina,BIH,2013,10.2,35,NA,NA,2015,21.616,7413,2018,57.333,19057,19057,NA,8.9,9.2,3517
Belarus,BLR,2013,74.5,706,NA,NA,2015,51.905,48995,2015,110.027,103859,98875,4984,5.9,5.9,9480
Belize,BLZ,2013,21.099999999999998,7,NA,NA,2017,11.229,422,2018,23.414,897,897,NA,5.6,6.1,367
Bolivia,BOL,2013,10.700000000000001,116,NA,NA,2016,15.901,17542,2017,15.589,17449,17449,NA,6.4,6.9,10888
Brazil,BRA,NA,NA,NA,456291,2.3,2018,21.643,453351,2018,101.19,2119620,2119620,NA,9.5,9.2,207653
Barbados,BRB,2013,10.5,2,NA,NA,2017,24.843,711,2018,30.6,877,877,NA,6.8,6.9,285
Brunei,BRN,2013,14.399999999999999,6,NA,NA,2017,16.09,683,2018,58.974,2530,2530,NA,2.4,2.5,423
Bhutan,BTN,2013,17.2,13,NA,NA,2018,4.242,320,2018,18.518,1397,1397,NA,3.2,3.5,798
Botswana,BWA,2013,12.9,29,NA,NA,2016,5.269,1138,2018,54.03,12179,12179,NA,6.1,5.6,2250
Central African Republic,CAF,2013,4.8,22,NA,NA,2015,0.721,324,2015,2.063,927,322,605,5.8,4.3,4595
Canada,CAN,2017,19.67,722,92466,2.5,2016,23.105,84063,2018,99.438,368664,368664,NA,10.6,10.7,36290
Switzerland,CHE,2017,33.25,281,38263,4.53,2017,42.957,36324,2017,175.357,148278,145602,2676,12.3,12.2,8402
Chile,CHL,2017,19.48,358,38853,2.11,2018,25.912,48531,2018,133.248,249563,236427,13136,9,8.5,17910
China,CHN,NA,NA,NA,6120500,4.34,2017,19.798,2828999,2017,26.621,3804021,3804021,NA,5.2,5,1411415
Côte d'Ivoire,CIV,2013,17.1,405,NA,NA,2014,2.314,5240,2018,6.048,15163,15163,NA,4.5,4.5,23696
Cameroon,CMR,2013,7.9,185,NA,NA,2011,0.881,1842,2013,0.058,127,NA,127,4.7,4.7,23439
Congo (Democratic Republic),COD,2013,4.5,354,NA,NA,2016,0.74,5832,2018,11.101,93326,93326,NA,4,3.9,78736
Congo,COG,NA,NA,NA,NA,NA,2011,1.645,723,2018,6.271,3289,3289,NA,2.9,3.5,5126
Cook Islands,COK,NA,NA,NA,NA,NA,2014,14.124,25,2018,67.429,118,118,NA,3.3,3.5,17
Colombia,COL,NA,NA,NA,85021,1.71,2018,21.848,108499,2018,13.309,66095,66095,NA,7.2,7.2,48653
Comoros,COM,2013,6.800000000000001,5,NA,NA,2016,2.715,216,2016,6.285,500,NA,500,7.4,7.5,796
Cabo Verde,CPV,2013,10,5,NA,NA,2015,7.814,410,2018,12.983,706,706,NA,5.2,4.8,540
Costa Rica,CRI,2013,8.4,40,5614,1.13,2018,28.939,14468,2018,34.144,17070,17070,NA,7.3,7.5,4857
Cuba,CUB,2013,20.4,234,NA,NA,2018,84.218,95487,2018,75.614,85732,85732,NA,11.7,12.2,11476
Cyprus,CYP,2013,75.4,88,NA,NA,2016,19.509,2283,2016,52.512,6145,6145,NA,6.7,6.8,1170
Czech Republic,CZE,2017,24.35,258,70214,6.63,2018,41.208,43951,2017,83.955,89337,85372,3965,7.2,7.1,10611
Germany,DEU,2017,37.31,3084,661448,8,2017,42.488,351195,2017,132.352,1094000,1070000,24000,11.2,11.1,81915
Djibouti,DJI,NA,NA,NA,NA,NA,2014,2.237,201,2014,7.288,655,488,167,3.3,3.7,942
Dominica,DMA,2013,55.599999999999994,4,NA,NA,2017,11.189,80,2018,64.385,461,461,NA,5.9,5.2,74
Denmark,DNK,2013,10.1,57,14429,2.5,2016,40.099,22902,2016,103.195,58938,56991,1947,10.1,10.2,5712
Dominican Republic,DOM,NA,NA,NA,NA,NA,2011,15.268,14983,2018,13.802,14668,14668,NA,6.1,6.1,10649
Algeria,DZA,NA,NA,NA,NA,NA,2018,17.193,72604,2018,15.477,65359,56411,8948,6.4,6.6,40606
Ecuador,ECU,2013,3.3000000000000003,54,NA,NA,2016,20.368,33589,2018,25.059,42811,42811,NA,8.3,8.3,16385
Egypt,EGY,2013,6.2,593,NA,NA,2018,4.521,44502,2018,19.262,189579,189579,NA,5.3,5.4,95689
Eritrea,ERI,2013,3.5999999999999996,17,NA,NA,2016,0.628,212,2018,14.397,4971,4971,NA,2.9,2.9,4955
Spain,ESP,2017,16.68,777,138511,2.97,2017,38.723,180633,2017,57.295,267266,267266,NA,8.9,9,46348
Estonia,EST,2017,22.77,30,6185,4.69,2018,44.833,5931,2018,111.558,14758,13786,972,6.4,6.5,1312
Ethiopia,ETH,2013,2.2,225,NA,NA,2018,0.769,8395,2018,7.135,77931,61772,16159,3.5,3.9,102403
Finland,FIN,2017,44.84,247,18071.9,3.28,2016,38.118,20956,2016,147.374,81022,81022,NA,9.2,9.4,5503
Fiji,FJI,2013,0,0,NA,NA,2015,8.6,747,2018,33.752,2982,2982,NA,3.5,3.5,899
France,FRA,2017,45.55,3046,399865,5.98,2018,32.672,212337,2018,114.707,745485,722572,22913,11.3,11.5,64721
Micronesia (Federated States of),FSM,2013,48.3,5,NA,NA,2009,1.942,20,2018,20.426,230,230,NA,12.4,12.6,105
Gabon,GAB,2013,35.3,69,NA,NA,2017,6.819,1408,2017,29.46,6083,5350,733,2.8,3.1,1980
United Kingdom,GBR,2018,28.82,1910,167589,2.54,2018,28.117,188783,2018,81.723,548700,517200,31500,9.6,9.7,65789
Georgia,GEO,2013,22.1,86,NA,NA,2018,71.201,28501,2018,47.293,18931,18440,491,7.6,8.4,3925
Ghana,GHA,2013,13.600000000000001,383,NA,NA,2017,1.359,3957,2018,42.001,125024,125024,NA,3.3,3.5,28207
Guinea,GIN,2013,3.7,45,NA,NA,2016,0.832,977,2016,1.238,1453,1010,443,4.1,5.3,12396
Gambia,GMB,2013,7,14,NA,NA,2015,1.021,213,2015,15.447,3222,2372,850,3.3,3,2039
Guinea-Bissau,GNB,2013,564.5,1025,NA,NA,2016,1.274,227,2018,6.851,1284,1284,NA,7.2,8,1816
Equatorial Guinea,GNQ,NA,NA,NA,NA,NA,2017,4.017,507,2017,5.024,634,634,NA,3.1,3.2,1221
Greece,GRC,2017,25.76,277,45267,4.21,2017,54.789,57909,2017,36.331,38400,35592,2808,8,8.3,11184
Grenada,GRD,2013,9.399999999999999,1,NA,NA,2017,14.067,156,2018,62.837,700,700,NA,4.8,4.7,107
Guatemala,GTM,2013,3.4000000000000004,56,NA,NA,2018,3.549,6122,2018,0.737,1271,1271,NA,5.8,6,16582
Guyana,GUY,2013,33.8,26,NA,NA,2018,8.023,625,2018,10.398,810,731,79,4.9,5.1,773
Honduras,HND,2013,3.5999999999999996,32,NA,NA,2017,3.089,2913,2018,7.357,7054,7054,NA,7.9,8.2,9113
Croatia,HRV,2013,15.4,64,NA,NA,2016,29.996,12624,2016,81.224,34184,34184,NA,6.8,6.8,4213
Haiti,HTI,2013,2.4,26,NA,NA,2018,2.343,2606,2018,6.798,7561,7364,197,8,8.4,10847
Hungary,HUN,2017,16.86,165,68702,7.02,2018,34.075,33078,2018,69.157,67134,64695,2439,6.9,7.1,9753
