country,countryiso3,t.pm2.5.c.2016,u.pm2.5.c.2016,r.pm2.5.c.2016,t.ap.d.2016.total,t.ap.d.2016.lri,t.ap.d.2016.tblc,t.ap.d.2016.ihd,t.ap.d.2016.stroke,t.ap.d.2016.copd,ap.d.100k.2016.total,ap.d.100k.2016.lri,ap.d.100k.2016.tblc,ap.d.100k.2016.ihd,ap.d.100k.2016.stroke,ap.d.100k.2016.copd,ap.d.100k.as.2016.total,ap.d.100k.as.2016.lri,ap.d.100k.as.2016.tblc,ap.d.100k.as.2016.ihd,ap.d.100k.as.2016.stroke,ap.d.100k.as.2016.copd,t.ap.dal.2016.total,t.ap.dal.2016.lri,t.ap.dal.2016.tblc,t.ap.dal.2016.ihd,t.ap.dal.2016.stroke,t.ap.dal.2016.copd,ap.dal.100k.2016.total,ap.dal.100k.2016.lri,ap.dal.100k.2016.tblc,ap.dal.100k.2016.ihd,ap.dal.100k.2016.stroke,ap.dal.100k.2016.copd,ap.dal.100k.as.2016.total,ap.dal.100k.as.2016.lri,ap.dal.100k.as.2016.tblc,ap.dal.100k.as.2016.ihd,ap.dal.100k.as.2016.stroke,ap.dal.100k.as.2016.copd,t.ap.yll.2016.total,t.ap.yll.2016.lri,t.ap.yll.2016.tblc,t.ap.yll.2016.ihd,t.ap.yll.2016.stroke,t.ap.yll.2016.copd,t.hap.d.2016.total,t.hap.d.2016.lri,t.hap.d.2016.tblc,t.hap.d.2016.ihd,t.hap.d.2016.stroke,t.hap.d.2016.copd,hap.d.100k.2016.total,hap.d.100k.2016.lri,hap.d.100k.2016.tblc,hap.d.100k.2016.ihd,hap.d.100k.2016.stroke,hap.d.100k.2016.copd,hap.d.100k.as.2016.total,hap.d.100k.as.2016.lri,hap.d.100k.as.2016.tblc,hap.d.100k.as.2016.ihd,hap.d.100k.as.2016.stroke,hap.d.100k.as.2016.copd,t.hap.dal.2016.total,t.hap.dal.2016.lri,t.hap.dal.2016.tblc,t.hap.dal.2016.ihd,t.hap.dal.2016.stroke,t.hap.dal.2016.copd,hap.dal.100k.2016.total,hap.dal.100k.2016.lri,hap.dal.100k.2016.tblc,hap.dal.100k.2016.ihd,hap.dal.100k.2016.stroke,hap.dal.100k.2016.copd,hap.dal.100k.as.2016.total,hap.dal.100k.as.2016.lri,hap.dal.100k.as.2016.tblc,hap.dal.100k.as.2016.ihd,hap.dal.100k.as.2016.stroke,hap.dal.100k.as.2016.copd
Afghanistan,AFG,53.2,59.9,48.7,17143,5639,245,7271,2744,1244,49,16,1,21,8,4,112,17,2,58,23,12,810565,450872,8103,226647,88053,36891,2339,1301,23,654,254,106,3333,906,53,1511,580,282,799381,449573,7989,225600,85358,30860,21141,7789,414,7899,3359,1680,61,22,1,23,10,5,133,23,3,63,28,16,1049295,624386,13731,247364,106684,49855,3028,1802,40,714,308,144,4121,1250,90,1643,696,381
Angola,AGO,27.9,28.4,27.7,8706,5514,30,1620,1053,489,30,19,0,6,4,2,56,21,0,18,11,6,506561,416998,905,43715,29840,15104,1758,1447,3,152,104,52,1783,966,8,397,266,146,500971,416465,877,43456,28899,11275,13384,9474,69,1726,1332,784,46,33,0,6,5,3,78,36,1,19,14,9,833034,718873,2082,46996,37507,24031,2891,2495,7,163,130,83,2699,1656,18,423,331,232
Albania,ALB,17.9,18.2,16.9,1855,71,123,994,560,107,63,2,4,34,19,4,41,2,3,22,12,2,37856,1965,3003,20409,10387,2091,1294,67,103,697,355,71,918,69,71,491,241,47,36723,1921,2980,20271,9846,1705,1381,91,214,581,381,113,47,3,7,20,13,4,31,2,5,13,8,2,29612,2538,5224,12275,7159,2214,1012,87,179,419,245,76,733,90,123,298,168,50
Andorra,AND,9.9,11.5,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,ARE,39.4,37.2,40.2,1432,98,39,874,295,126,15,1,0,9,3,1,53,6,1,30,10,5,56693,3626,1314,32248,12020,7484,612,39,14,348,130,81,1256,118,37,701,251,150,52212,3529,1299,31905,10981,4499,58,6,3,31,12,7,1,0,0,0,0,0,2,0,0,1,0,0,2359,218,98,1183,473,382,25,2,1,13,5,4,50,7,3,24,9,8
Argentina,ARG,11.8,11.7,12.3,14820,3891,763,5538,1885,2741,34,9,2,13,4,6,24,6,1,9,3,4,290515,66887,18948,111393,43909,49379,663,153,43,254,100,113,548,122,38,214,85,88,281754,66577,18757,110673,39887,45861,1560,626,169,292,122,351,4,1,0,1,0,1,3,1,0,1,0,1,30515,10676,4199,6146,2864,6261,70,24,10,14,7,14,57,19,8,12,6,11
Armenia,ARM,30.5,32.9,23.7,2192,79,220,1380,277,237,75,3,8,47,9,8,51,2,5,32,7,5,45541,2692,5830,26654,6192,4174,1557,92,199,911,212,143,1191,95,151,684,160,101,43969,2629,5787,26445,5507,3602,194,11,36,94,22,31,7,0,1,3,1,1,5,0,1,2,1,1,4274,372,956,1885,466,529,146,13,33,64,16,18,113,13,25,49,12,13
Antigua and Barbuda,ATG,17.9,18,14.9,27,5,0,13,6,2,27,5,0,13,6,2,29,6,0,14,6,2,616,111,13,299,146,48,610,110,13,296,145,48,630,115,12,307,145,51,600,110,13,296,140,42,2,1,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0,35,10,2,12,7,4,34,10,2,12,7,4,35,11,2,12,7,4
Australia,AUS,7.2,7.3,6.1,4061,278,373,1954,688,768,17,1,2,8,3,3,8,1,1,4,1,2,69729,3754,7986,33118,11005,13867,289,16,33,137,46,57,175,9,21,86,26,33,65013,3646,7843,32703,9333,11488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,AUT,12.4,13.1,10.9,3375,135,306,2057,404,473,39,2,4,24,5,5,15,1,2,9,2,2,55752,1832,7191,30788,7172,8769,640,21,83,353,82,101,311,10,46,168,40,48,52543,1807,7096,30443,5824,7374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
