"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2000","2000",1265,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2001","2001",1283,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2002","2002",1284,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2003","2003",1286,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2004","2004",1291,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2005","2005",1302,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2006","2006",1315,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2007","2007",1314,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2008","2008",1320,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2009","2009",1334,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2010","2010",1345,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2011","2011",1345,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2012","2012",1347,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2013","2013",1359,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2014","2014",1322,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2015","2015",1331,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2016","2016",1352,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2000","2000",1021,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2001","2001",1019,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2002","2002",1013,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2003","2003",1020,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2004","2004",1017,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2005","2005",1018,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2006","2006",1018,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2008","2008",1005,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2009","2009",1012,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2010","2010",986,"B","Break"
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2011","2011",988,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2012","2012",983,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2013","2013",985,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2014","2014",928,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2015","2015",937,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2016","2016",938,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2000","2000",749,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2001","2001",746,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2002","2002",748,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2003","2003",761,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2004","2004",759,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2005","2005",755,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2006","2006",758,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2007","2007",762,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2008","2008",756,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2009","2009",753,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2010","2010",752,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2011","2011",753,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2012","2012",746,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2013","2013",747,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2014","2014",698,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2015","2015",701,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2016","2016",695,,
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2000","2000",117,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2001","2001",118,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2002","2002",116,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2003","2003",117,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2004","2004",118,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2005","2005",123,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2006","2006",124,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2008","2008",116,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2009","2009",117,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2010","2010",115,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2011","2011",115,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2012","2012",110,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2013","2013",109,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2014","2014",107,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2015","2015",107,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2016","2016",114,"E","Estimated value"
"HOSPFRHO","For-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2000","2000",399,"E","Estimated value"
"HOSPFRHO","For-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2001","2001",419,"E","Estimated value"
"HOSPFRHO","For-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2002","2002",420,"E","Estimated value"
"HOSPFRHO","For-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2003","2003",408,"E","Estimated value"
"HOSPFRHO","For-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2004","2004",414,"E","Estimated value"
