country,year,hospitals_per_1mil,total_number_of_hospitals,total_number_of_hospital_beds,hospital_beds_per_1000,year_of_doctors_records,doctors_per_10k,total_number_of_doctors,year_of_nurses_records,nurses_and_midwifery_per_10k,total_nurses_and_midwifery,total_number_of_nurses,total_number_of_midwifery,total_PM2.5_concentration_2016,urban_pm2.5_concentration_2016,rural_pm2.5_concentration_2016,CHE_as_percentage_of_GDP_2017,CHE_as_percentage_of_GDP_2016,total_air_pol_deaths_2016_Total,total_air_pol_deaths_2016_lower_respiratory_infections,total_air_pol_deaths_2016_trachea_bronchus_lung_cancers,total_air_pol_deaths_2016_ischaemic_heart_disease,total_air_pol_deaths_2016_Stroke,total_air_pol_deaths_2016_chronic_obstructive_pulmonary_disease,air_pol_deaths_per_100k_2016_Total,air_pol_deaths_per_100k_2016_lower_respiratory_infections,air_pol_deaths_per_100k_2016_trachea_bronchus_lung_cancers,air_pol_deaths_per_100k_2016_ischaemic_heart_disease,air_pol_deaths_per_100k_2016_Stroke,air_pol_deaths_per_100k_2016_chronic_obstructive_pulmonary_disease,air_pol_deaths_per_100k_age_standardised_2016_Total,air_pol_deaths_per_100k_age_standardised_2016_lower_respiratory_infections,air_pol_deaths_per_100k_age_standardised_2016_trachea_bronchus_lung_cancers,air_pol_deaths_per_100k_age_standardised_2016_ischaemic_heart_disease,air_pol_deaths_per_100k_age_standardised_2016_Stroke,air_pol_deaths_per_100k_age_standardised_2016_chronic_obstructive_pulmonary_disease,total_air_pol_DALYs_2016_Total,total_air_pol_DALYs_2016_lower_respiratory_infections,total_air_pol_DALYs_2016_trachea_bronchus_lung_cancers,total_air_pol_DALYs_2016_ischaemic_heart_disease,total_air_pol_DALYs_2016_Stroke,total_air_pol_DALYs_2016_chronic_obstructive_pulmonary_disease,air_pol_DALYs_per_100k_2016_Total,air_pol_DALYs_per_100k_2016_lower_respiratory_infections,air_pol_DALYs_per_100k_2016_trachea_bronchus_lung_cancers,air_pol_DALYs_per_100k_2016_ischaemic_heart_disease,air_pol_DALYs_per_100k_2016_Stroke,air_pol_DALYs_per_100k_2016_chronic_obstructive_pulmonary_disease,air_pol_DALYs_per_100k_age_standardised_2016_Total,air_pol_DALYs_per_100k_age_standardised_2016_lower_respiratory_infections,air_pol_DALYs_per_100k_age_standardised_2016_trachea_bronchus_lung_cancers,air_pol_DALYs_per_100k_age_standardised_2016_ischaemic_heart_disease,air_pol_DALYs_per_100k_age_standardised_2016_Stroke,air_pol_DALYs_per_100k_age_standardised_2016_chronic_obstructive_pulmonary_disease,total_air_pol_YYLss_2016_Total,total_air_pol_YYLss_2016_lower_respiratory_infections,total_air_pol_YYLss_2016_trachea_bronchus_lung_cancers,total_air_pol_YYLss_2016_ischaemic_heart_disease,total_air_pol_YYLss_2016_Stroke,total_air_pol_YYLss_2016_chronic_obstructive_pulmonary_disease,total_household_air_pol_deaths_2016_Total,total_household_air_pol_deaths_2016_lower_respiratory_infections,total_household_air_pol_deaths_2016_trachea_bronchus_lung_cancers,total_household_air_pol_deaths_2016_ischaemic_heart_disease,total_household_air_pol_deaths_2016_Stroke,total_household_air_pol_deaths_2016_chronic_obstructive_pulmonary_disease,household_air_pol_deaths_per_100k_2016_Total,household_air_pol_deaths_per_100k_2016_lower_respiratory_infections,household_air_pol_deaths_per_100k_2016_trachea_bronchus_lung_cancers,household_air_pol_deaths_per_100k_2016_ischaemic_heart_disease,household_air_pol_deaths_per_100k_2016_Stroke,household_air_pol_deaths_per_100k_2016_chronic_obstructive_pulmonary_disease,household_air_pol_deaths_per_100k_age_standardised_2016_Total,household_air_pol_deaths_per_100k_age_standardised_2016_lower_respiratory_infections,household_air_pol_deaths_per_100k_age_standardised_2016_trachea_bronchus_lung_cancers,household_air_pol_deaths_per_100k_age_standardised_2016_ischaemic_heart_disease,household_air_pol_deaths_per_100k_age_standardised_2016_Stroke,household_air_pol_deaths_per_100k_age_standardised_2016_chronic_obstructive_pulmonary_disease,total_household_air_pol_DALYs_2016_Total,total_household_air_pol_DALYs_2016_lower_respiratory_infections,total_household_air_pol_DALYs_2016_trachea_bronchus_lung_cancers,total_household_air_pol_DALYs_2016_ischaemic_heart_disease,total_household_air_pol_DALYs_2016_Stroke,total_household_air_pol_DALYs_2016_chronic_obstructive_pulmonary_disease,household_air_pol_DALYs_per_100k_2016_Total,household_air_pol_DALYs_per_100k_2016_lower_respiratory_infections,household_air_pol_DALYs_per_100k_2016_trachea_bronchus_lung_cancers,household_air_pol_DALYs_per_100k_2016_ischaemic_heart_disease,household_air_pol_DALYs_per_100k_2016_Stroke,household_air_pol_DALYs_per_100k_2016_chronic_obstructive_pulmonary_disease,household_air_pol_DALYs_per_100k_age_standardised_2016_Total,household_air_pol_DALYs_per_100k_age_standardised_2016_lower_respiratory_infections,household_air_pol_DALYs_per_100k_age_standardised_2016_trachea_bronchus_lung_cancers,household_air_pol_DALYs_per_100k_age_standardised_2016_ischaemic_heart_disease,household_air_pol_DALYs_per_100k_age_standardised_2016_Stroke,household_air_pol_DALYs_per_100k_age_standardised_2016_chronic_obstructive_pulmonary_disease
Afghanistan,2013,3.7,NA,NA,NA,2016,2.782,9842,2017,1.755,6370,6370,NA,53.2 [40.1-75.8],59.9 [45.6-80.0],48.7 [36.5-74.6],11.8,11,17143 [15433–19031],5639 [4369–6931],245 [160–333],7271 [6229–8333],2744 [2330–3186],1244 [751–1776],49 [45–55],16 [13–20],1 [0–1],21 [18–24],8 [7–9],4 [2–5],112 [100–124],17 [13–20],2 [1–2],58 [50–67],23 [19–26],12 [7–17],810565 [704771–924939],450872 [349309–554153],8103 [5292–10992],226647 [195538–259836],88053 [75559–100810],36891 [22275–52699],2339 [2034–2669],1301 [1008–1599],23 [15–32],654 [564–750],254 [218–291],106 [64–152],3333 [2898–3803],906 [702–1114],53 [35–72],1511 [1304–1732],580 [498–664],282 [170–403],799381 [694285-913941],449 573,7989,225 600,85 358,30 860,21141 [17400–24673],7789 [5587–9560],414 [300–518],7899 [6275–9483],3359 [2647–4116],1680 [1001–2273],61 [50–71],22 [16–28],1 [1–1],23 [18–27],10 [8–12],5 [3–7],133 [109–155],23 [16–28],3 [2–4],63 [50–76],28 [22–34],16 [10–22],1049295 [842536–1229814],624386 [446141–766024],13731 [9961–17133],247364 [197786–295475],106684 [85030–128357],49855 [29754–67394],3028 [2431–3549],1802 [1287–2210],40 [29–49],714 [571–853],308 [245–370],144 [86–194],4121 [3309–4830],1250 [893–1534],90 [65–112],1643 [1314–1962],696 [555–837],381 [227–514]
Albania,2013,13.600000000000001,NA,NA,NA,2016,12.164,3511,2016,36.495,10534,10534,NA,17.9 [16.3-20.6],18.2 [16.5-21.0],16.9 [15.3-19.4],NA,NA,1855 [1490–2326],71 [36–113],123 [65–193],994 [733–1262],560 [348–943],107 [51–176],63 [51–79],2 [1–4],4 [2–7],34 [25–43],19 [12–32],4 [2–6],41 [33–52],2 [1–3],3 [1–4],22 [16–28],12 [8–21],2 [1–4],37856 [32019–43749],1965 [1000–3118],3003 [1596–4734],20409 [16286–24251],10387 [7589–14669],2091 [1005–3450],1294 [1094–1495],67 [34–107],103 [55–162],697 [557–829],355 [259–501],71 [34–118],918 [777–1061],69 [35–110],71 [38–111],491 [392–583],241 [176–340],47 [22–77],36723 [31053-42363],1921,2980,20 271,9846,1705,1381 [395–2788],91 [29–176],214 [62–411],581 [158–1200],381 [102–837],113 [30–240],47 [14–95],3 [1–6],7 [2–14],20 [5–41],13 [3–29],4 [1–8],31 [9–63],2 [1–5],5 [1–9],13 [4–27],8 [2–18],2 [1–5],29612 [8607–59218],2538 [812–4947],5224 [1499–10017],12275 [3291–24918],7159 [1941–15291],2214 [578–4695],1012 [294–2024],87 [28–169],179 [51–342],419 [112–852],245 [66–523],76 [20–160],733 [213–1467],90 [29–176],123 [35–236],298 [80–605],168 [45–358],50 [13–105]
Antigua and Barbuda,2013,11.100000000000001,NA,NA,NA,2017,29.56,282,2018,45.171,435,435,NA,17.9 [10.4-34.1],18.0 [10.5-34.2],14.9 [8.2-28.1],4.5,4.4,27 [23–33],5 [3–9],0 [0–1],13 [10–16],6 [4–9],2 [1–4],27 [23–32],5 [3–8],0 [0–1],13 [10–16],6 [4–9],2 [1–4],29 [24–34],6 [3–9],0 [0–1],14 [10–17],6 [4–9],2 [1–4],616 [531–715],111 [56–176],13 [7–20],299 [243–352],146 [109–184],48 [23–80],610 [526–709],110 [55–174],13 [7–20],296 [241–349],145 [108–183],48 [23–79],630 [543–732],115 [58–182],12 [7–20],307 [250–362],145 [109–183],51 [24–84],600 [518-696],110,13,296,140,42,2 [0–5],1 [0–2],0 [0–0],0 [0–2],0 [0–1],0 [0–1],1 [0–5],1 [0–2],0 [0–0],0 [0–2],0 [0–1],0 [0–1],2 [0–5],1 [0–2],0 [0–0],1 [0–2],0 [0–1],0 [0–1],35 [2–112],10 [1–33],2 [0–5],12 [1–38],7 [0–22],4 [0–13],34 [2–111],10 [1–33],2 [0–5],12 [1–38],7 [0–21],4 [0–12],35 [2–114],11 [1–34],2 [0–5],12 [1–39],7 [0–21],4 [0–13]
Armenia,2013,40.300000000000004,NA,NA,NA,2017,44.023,12964,2017,61.07,17984,16796,1188,30.5 [20.1-45.9],32.9 [21.0-49.0],23.7 [16.4-33.0],10.4,10,2192 [1780–2607],79 [54–105],220 [130–322],1380 [1024–1732],277 [197–392],237 [132–361],75 [61–89],3 [2–4],8 [4–11],47 [35–59],9 [7–13],8 [4–12],51 [42–61],2 [1–3],5 [3–8],32 [24–40],7 [5–9],5 [3–8],45541 [39770–51759],2692 [1863–3597],5830 [3442–8511],26654 [21608–31338],6192 [4892–7736],4174 [2320–6363],1557 [1360–1770],92 [64–123],199 [118–291],911 [739–1071],212 [167–264],143 [79–218],1191 [1040–1354],95 [66–127],151 [89–220],684 [555–804],160 [126–200],101 [56–154],43969 [38237-49916],2629,5787,26 445,5507,3602,194 [7–781],11 [0–45],36 [1–147],94 [3–390],22 [1–91],31 [1–131],7 [0–27],0 [0–2],1 [0–5],3 [0–13],1 [0–3],1 [0–4],5 [0–18],0 [0–1],1 [0–4],2 [0–9],1 [0–2],1 [0–3],4274 [155–17288],372 [13–1546],956 [34–3862],1885 [67–7544],466 [16–1866],529 [18–2251],146 [5–591],13 [0–53],33 [1–132],64 [2–258],16 [1–64],18 [1–77],113 [4–458],13 [0–55],25 [1–100],49 [2–196],12 [0–49],13 [0–54]
Australia,2016,55.89,1352,92826,3.84,2017,36.778,90417,2017,125.508,308556,287405,21151,7.2 [7.4-9.7],7.3 [7.6-10.0],6.1 [6.0-7.8],9.2,9.2,4061 [2855–5712],278 [72–612],373 [152–705],1954 [1163–2899],688 [259–1883],768 [233–1512],17 [12–24],1 [0–3],2 [1–3],8 [5–12],3 [1–8],3 [1–6],8 [6–12],1 [0–1],1 [0–2],4 [2–6],1 [0–4],2 [0–3],69729 [52280–89798],3754 [967–8253],7986 [3253–15112],33118 [23738–42910],11005 [6327–22368],13867 [4206–27303],289 [217–372],16 [4–34],33 [13–63],137 [98–178],46 [26–93],57 [17–113],175 [131–226],9 [2–21],21 [9–40],86 [62–111],26 [15–53],33 [10–64],65013 [48735-82977],3646,7843,32 703,9333,11 488,0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [NA–NA],0 [NA–NA],0 [NA–NA],0 [NA–NA],0 [NA–NA],0 [NA–NA],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0,0,0,0,0,0,0,0,0,0,0,0
Austria,2017,30.8,271,64805,7.37,2017,51.697,45596,2018,2.63,2338,NA,2338,12.4 [12.1-12.8],13.1 [12.7-13.5],10.9 [10.6-11.4],10.4,10.4,3375 [2447–4403],135 [49–251],306 [148–512],2057 [1295–2892],404 [190–873],473 [185–838],39 [28–51],2 [1–3],4 [2–6],24 [15–33],5 [2–10],5 [2–10],15 [11–20],1 [0–1],2 [1–3],9 [6–13],2 [1–4],2 [1–4],55752 [44062–67992],1832 [662–3406],7191 [3471–12042],30788 [22342–39315],7172 [4680–12027],8769 [3436–15516],640 [506–780],21 [8–39],83 [40–138],353 [256–451],82 [54–138],101 [39–178],311 [246–380],10 [4–19],46 [22–77],168 [122–214],40 [26–67],48 [19–84],52543 [41460-64167],1807,7096,30 443,5824,7374,0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [NA–NA],0 [NA–NA],0 [NA–NA],0 [NA–NA],0 [NA–NA],0 [NA–NA],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,2013,79.7,NA,NA,NA,2014,34.46,32756,2014,64.338,61157,56148,5009,18.2 [10.8-35.4],18.5 [10.7-38.6],17.8 [10.9-32.3],6.7,6.7,4699 [3865–5512],225 [112–361],119 [63–189],3302 [2537–4036],789 [569–1121],263 [125–436],48 [40–57],2 [1–4],1 [1–2],34 [26–41],8 [6–12],3 [1–4],56 [46–66],2 [1–4],1 [1–2],40 [31–49],10 [7–14],3 [2–5],121450 [104196–139837],13943 [6923–22371],3757 [1985–5949],77538 [62644–91359],19691 [14991–24726],6520 [3092–10796],1249 [1071–1438],143 [71–230],39 [20–61],797 [644–939],202 [154–254],67 [32–111],1354 [1162–1560],144 [71–230],39 [20–61],873 [705–1028],224 [171–282],75 [36–125],118316 [101381-136227],13 804,3715,77 151,18 286,5360,746 [10–2740],72 [1–239],48 [1–181],428 [6–1551],124 [2–457],72 [1–262],8 [0–28],1 [0–2],0 [0–2],4 [0–16],1 [0–5],1 [0–3],9 [0–32],1 [0–3],1 [0–2],5 [0–19],2 [0–6],1 [0–3],21563 [299–77170],4509 [65–15044],1510 [22–5636],10481 [143–38133],3080 [43–11046],1766 [29–6491],222 [3–793],46 [1–155],16 [0–58],108 [1–392],32 [0–114],18 [0–67],236 [3–845],46 [1–155],15 [0–58],116 [2–424],35 [0–125],20 [0–75]
Bahamas,2013,10.600000000000001,NA,NA,NA,2017,20.068,766,2018,45.669,1761,1761,NA,17.6 [8.6-36.1],19.0 [8.9-37.5],15.6 [7.8-31.9],5.8,6.1,84 [71–100],14 [7–23],4 [2–7],43 [33–52],19 [14–28],4 [2–7],22 [18–26],4 [2–6],1 [1–2],11 [8–13],5 [4–7],1 [0–2],20 [17–24],4 [2–6],1 [1–2],10 [8–12],4 [3–7],1 [0–2],2136 [1823–2492],394 [188–640],117 [61–186],1046 [846–1236],467 [355–596],112 [50–187],546 [466–637],101 [48–164],30 [16–48],267 [216–316],119 [91–152],29 [13–48],500 [426–583],104 [49–168],26 [14–42],237 [192–280],107 [81–136],26 [12–43],2064 [1759-2411],389,115,1036,441,82,0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [NA–NA],0 [NA–NA],0 [NA–NA],0 [NA–NA],0 [NA–NA],0 [NA–NA],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,2013,1.7000000000000002,NA,NA,NA,2018,5.809,93741,2018,4.124,66544,57211,9333,58.3 [51.0-68.7],58.6 [51.3-69.0],52.9 [44.9-64.8],2.3,2.3,82396 [72501–93399],10957 [8617–13376],3311 [2187–4445],26043 [21994–29989],21928 [18291–26062],20157 [12331–28534],51 [44–57],7 [5–8],2 [1–3],16 [13–18],13 [11–16],12 [8–18],74 [65–84],8 [6–10],3 [2–4],24 [20–27],20 [17–24],19 [12–27],2580528 [2301579–2872738],667387 [524847–814714],90024 [59461–120870],732725 [629646–839723],612177 [522831–703475],478215 [292549–676948],1584 [1412–1763],410 [322–500],55 [36–74],450 [386–515],376 [321–432],293 [180–415],2087 [1861–2323],415 [326–507],77 [51–104],624 [536–715],528 [451–606],443 [271–628],2491640 [2233574-2763464],664 774,88 448,725 533,594 447,418 438,113202 [98590–127370],16116 [12203–19084],5940 [4548–7186],31982 [27526–36795],30124 [25096–35638],29040 [17160–38725],69 [61–78],10 [7–12],4 [3–4],20 [17–23],18 [15–22],18 [11–24],102 [88–114],12 [9–14],5 [4–6],29 [25–33],28 [23–33],28 [16–37],3601213 [3173583–4001016],987085 [749392–1167857],164151 [126885–197293],897408 [777853–1023034],825546 [704897–966641],692361 [416465–920600],2210 [1948–2455],606 [460–717],101 [78–121],551 [477–628],507 [433–593],425 [256–565],2905 [2560–3227],613 [466–726],140 [108–168],765 [663–872],713 [609–835],642 [386–853]
Barbados,2013,10.5,NA,NA,NA,2017,24.843,711,2018,30.6,877,877,NA,22.2 [13.4-41.1],22.4 [13.5-41.3],20.3 [11.8-37.4],6.8,6.9,159 [129–193],54 [31–79],6 [3–8],52 [38–65],38 [25–59],11 [6–18],56 [45–68],19 [11–28],2 [1–3],18 [13–23],13 [9–21],4 [2–6],30 [25–37],10 [6–15],1 [1–2],10 [7–13],7 [5–11],2 [1–3],2923 [2461–3475],886 [507–1303],130 [71–199],1005 [808–1198],704 [532–944],198 [103–315],1026 [864–1219],311 [178–457],46 [25–70],353 [284–420],247 [187–331],69 [36–111],638 [537–758],197 [113–290],29 [16–44],219 [176–261],152 [115–204],41 [21–65],2842 [2384-3378],878,129,993,673,169,4 [0–14],2 [0–7],0 [0–1],1 [0–3],1 [0–2],0 [0–1],1 [0–5],1 [0–2],0 [0–0],0 [0–1],0 [0–1],0 [0–0],1 [0–3],0 [0–1],0 [0–0],0 [0–1],0 [0–0],0 [0–0],73 [3–258],31 [1–112],6 [0–21],15 [1–53],12 [0–44],6 [0–23],26 [1–90],11 [0–39],2 [0–7],5 [0–19],4 [0–16],2 [0–8],16 [1–57],7 [0–25],1 [0–5],3 [0–12],3 [0–10],1 [0–5]
