"retail_recreation","grocery_pharmacy","parks","transit_stations","workplaces","residential","country","countryiso3"
-38,-21,-13,-34,-33,10,"Afghanistan","AFG"
-61,-40,-39,-57,-11,22,"Angola","AGO"
-46,-21,-30,-67,-48,17,"Antigua and Barbuda","ATG"
-86,-61,-89,-80,-57,27,"Argentina","ARG"
-90,-48,-91,-82,-69,31,"Buenos Aires",NA
-88,-60,-91,-79,-60,26,"Buenos Aires Province",NA
-71,-46,-78,-81,-35,29,"Catamarca Province",NA
-79,-63,-83,-92,-48,24,"Chaco Province",NA
-92,-91,-94,-93,-62,28,"Chubut Province",NA
-88,-66,-90,-91,-57,30,"Cordoba",NA
-80,-63,-88,-89,-47,25,"Corrientes",NA
-87,-65,-93,-90,-54,29,"Entre Rios",NA
-76,-53,-82,-71,-37,21,"Formosa Province","TWN"
-80,-55,-83,-92,-44,27,"Jujuy",NA
-88,-72,-88,-87,-56,28,"La Pampa",NA
-70,-46,-84,-86,-40,26,"La Rioja Province",NA
-81,-56,-84,-72,-49,29,"Mendoza Province",NA
-83,-66,-85,-92,-51,27,"Misiones Province",NA
-96,-95,-95,-92,-72,33,"Neuquen",NA
-90,-72,-92,-96,-55,29,"Río Negro",NA
-82,-55,-84,-76,-47,26,"Salta Province",NA
-76,-50,-80,-87,-46,28,"San Juan Province",NA
-85,-60,-89,-91,-56,29,"San Luis Province",NA
-83,-62,-88,-91,-56,24,"Santa Cruz Province",NA
-87,-63,-89,-77,-57,29,"Santa Fe Province",NA
-75,-49,-75,-90,-46,25,"Santiago del Estero Province",NA
-87,-63,-89,-92,-59,24,"Tierra del Fuego Province",NA
-81,-53,-78,-90,-51,28,"Tucumán",NA
-88,-66,-80,-88,-72,20,"Aruba","ABW"
-45,-19,-35,-58,-33,13,"Australia","AUS"
-40,-3,38,-52,-31,11,"Australian Capital Territory","AUS"
-44,-13,-27,-57,-35,14,"New South Wales",NA
-35,-13,-20,-55,-23,12,"Northern Territory",NA
-40,-19,-33,-57,-30,12,"Queensland",NA
-43,-15,-33,-55,-28,12,"South Australia","AUS"
-50,-30,-70,-62,-28,13,"Tasmania",NA
-51,-26,-55,-68,-37,16,"Victoria",NA
-40,-16,-37,-55,-26,13,"Western Australia","AUS"
-87,-64,-43,-71,-51,14,"Austria","AUT"
-83,-36,19,-43,-49,16,"Burgenland",NA
-85,-62,-45,-59,-48,13,"Carinthia",NA
-82,-36,8,-74,-45,13,"Lower Austria","AUT"
-93,-86,-73,-81,-59,15,"Salzburg",NA
-86,-61,-42,-71,-47,13,"Styria",NA
-95,-86,-82,-85,-65,16,"Tyrol",NA
-86,-44,-19,-67,-47,13,"Upper Austria","AUT"
-85,-52,-44,-71,-52,15,"Vienna",NA
-90,-70,-68,-79,-54,14,"Vorarlberg",NA
-45,-22,-40,-38,-25,16,"Bahrain","BHR"
-68,-46,-26,-66,-60,24,"Bangladesh","BGD"
-70,-47,-60,-77,-52,15,"Barbados","BRB"
-81,-57,NA,-83,-51,17,"Christ Church",NA
-35,NA,-53,NA,-29,NA,"Saint George",NA
-76,-50,NA,NA,-56,NA,"Saint James",NA
NA,NA,NA,NA,-36,NA,"Saint John",NA
-70,-48,-70,-73,-55,14,"Saint Michael",NA
-74,-18,NA,NA,-31,NA,"Saint Peter",NA
-72,-49,NA,NA,-49,NA,"Saint Philip",NA
-13,NA,NA,NA,-29,NA,"Saint Thomas",NA
-14,5,41,-7,3,-2,"Belarus","BLR"
-84,-53,-66,-76,-52,17,"Belgium","BEL"
-89,-65,-64,-82,-62,19,"Brussels",NA
-82,-46,-65,-74,-50,17,"Flanders",NA
-84,-62,-72,-77,-52,16,"Wallonia",NA
-63,-49,-38,-68,-42,13,"Belize","BLZ"
-16,0,10,-14,2,5,"Benin","BEN"
-93,-94,-89,-92,-72,35,"Bolivia","BOL"
-76,-50,-22,-59,-50,13,"Bosnia and Herzegovina","BIH"
-12,-2,7,-20,-3,13,"Botswana","BWA"
-71,-35,-70,-62,-34,17,"Brazil","BRA"
-68,-28,-63,-56,-36,20,"Federal District",NA
-68,-20,-56,-75,-22,11,"State of Acre",NA
-77,-43,-79,-76,-35,17,"State of Alagoas",NA
-71,-27,-51,-73,-28,11,"State of Amapá",NA
-64,-28,-62,-46,-26,13,"State of Amazonas",NA
-73,-42,-71,-73,-33,17,"State of Bahia",NA
-76,-34,-71,-68,-33,16,"State of Ceará",NA
-68,-35,-69,-69,-31,16,"State of Espírito Santo",NA
-67,-27,-44,-50,-28,15,"State of Goiás",NA
-63,-27,-48,-66,-20,11,"State of Maranhão",NA
-63,-30,-44,-59,-22,11,"State of Mato Grosso",NA
-68,-33,-56,-68,-26,14,"State of Mato Grosso do Sul",NA
-66,-29,-46,-57,-30,15,"State of Minas Gerais",NA
-75,-42,-70,-64,-34,17,"State of Paraná",NA
-76,-36,-73,-64,-33,17,"State of Paraíba",NA
-61,-25,-53,-64,-19,12,"State of Pará",NA
-74,-35,-72,-59,-35,17,"State of Pernambuco",NA
-71,-39,-49,-76,-27,18,"State of Piauí",NA
-74,-36,-74,-66,-33,19,"State of Rio Grande do Norte",NA
-75,-39,-73,-67,-36,20,"State of Rio Grande do Sul",NA
-72,-32,-74,-61,-37,17,"State of Rio de Janeiro",NA
-63,-27,-42,-71,-23,12,"State of Rondônia",NA
-68,-25,-51,-72,-24,12,"State of Roraima",NA
-80,-49,-84,-76,-40,20,"State of Santa Catarina",NA
-78,-46,-77,-83,-36,18,"State of Sergipe",NA
-72,-36,-71,-62,-37,17,"State of São Paulo",NA
-61,-31,-35,-71,-19,11,"State of Tocantins",NA
-66,-36,-32,-58,-29,11,"Bulgaria","BGR"
-74,-47,-32,-55,-43,10,"Blagoevgrad Province",NA
-65,-38,-40,-51,-35,11,"Burgas",NA
-61,-33,-38,NA,-19,18,"Dobrich Province",NA
-61,-34,-16,NA,-17,17,"Gabrovo",NA
-66,-43,-14,-67,-27,13,"Haskovo Province",NA
-58,-44,-42,NA,-20,14,"Jambol",NA
-71,-48,-27,-76,-39,12,"Kardzhali Province",NA
-57,-39,-35,-46,-24,19,"Kyustendil Province",NA
-64,-32,-16,NA,-21,18,"Lovec",NA
-41,-37,-18,-58,-13,11,"Montana Province",NA
-68,-38,-29,-69,-32,13,"Pazardzhik",NA
-58,-31,-37,NA,-21,21,"Pernik",NA
-64,-37,-16,NA,-22,14,"Pleven Province",NA
-68,-38,-33,-54,-29,12,"Plovdiv Province",NA
-48,-66,NA,NA,-10,11,"Razgrad",NA
-58,-36,-14,-43,-25,11,"Ruse",NA
-63,-29,-26,-70,-20,20,"Shumen Province",NA
-37,-23,NA,NA,-12,-3,"Silistra",NA
-61,-36,-40,-51,-25,19,"Sliven Province",NA
-66,-59,-42,NA,-41,2,"Smoljan",NA
-70,-35,-42,-62,-34,15,"Sofia City Province",NA
-60,-35,-28,NA,-31,14,"Sofia Province",NA
-63,-38,-27,-10,-29,10,"Stara Zagora",NA
-63,-31,NA,NA,-19,2,"Targovishte Province",NA
-72,-36,-54,-76,-34,12,"Varna",NA
-68,-37,-24,-56,-28,13,"Veliko Tarnovo Province",NA
-59,-29,NA,NA,-25,NA,"Vidin",NA
-53,-31,-3,-49,-18,21,"Vraca",NA
-34,-25,-22,-53,-3,15,"Burkina Faso","BFA"
-43,-29,-31,-57,-15,12,"Cambodia","KHM"
-26,-20,-19,-23,-3,9,"Cameroon","CMR"
-59,-35,-16,-66,-44,14,"Canada","CAN"
-60,-48,-57,-88,-40,19,"Cape Verde","CPV"
-73,-55,-72,-64,-42,24,"Chile","CHL"
-86,-68,-80,-82,-58,26,"Colombia","COL"
-68,-41,-71,-68,-39,21,"Costa Rica","CRI"
-82,-57,-45,-74,-50,15,"Croatia","HRV"
-85,-58,-23,-70,-46,20,"Bjelovar Bilogora County",NA
-81,-59,NA,-83,-51,23,"Brod Posavina County",NA
-85,-61,-51,-76,-51,16,"City of Zagreb",NA
-78,-54,-29,-66,-52,22,"Dubrovnik Neretva County",NA
-74,-55,-35,-76,-45,15,"Istria County",NA
-83,-56,-16,-66,-48,30,"Karlovac County",NA
-81,-58,NA,NA,-44,25,"Koprivnica Križevci County",NA
-87,-63,NA,-72,-48,34,"Krapina Zagorje County",NA
-73,-44,-58,-83,-46,NA,"Lika Senj County",NA
-86,-64,NA,-84,-54,27,"Medimurje County",NA
-83,-54,-14,-73,-47,17,"Osijek Baranja County",NA
-83,-58,NA,-75,-49,0,"Požega Slavonia County",NA
-82,-58,-47,-81,-48,15,"Primorje Gorski Kotar County",NA
-76,-61,-51,-71,-43,27,"Sisak Moslavina County",NA
-83,-52,-33,-76,-55,17,"Split Dalmatia County",NA
-86,-61,-62,-83,-50,30,"Varaždin County",NA
-80,-53,NA,-79,-46,1,"Virovitica Podravina County",NA
-81,-52,NA,-70,-48,24,"Vukovar Srijem County",NA
-77,-51,-19,-75,-47,25,"Zadar County",NA
-85,-59,-64,-72,-53,15,"Zagreb County",NA
-78,-47,-12,-67,-48,15,"Šibenik Knin County",NA
-73,-26,-24,-61,-31,11,"Czechia","CZE"
-67,-20,9,-37,-29,11,"Central Bohemian Region","CZE"
-78,-30,-33,-69,-32,11,"Hradec Králové Region",NA
-75,-38,-53,-70,-36,10,"Karlovy Vary Region",NA
-75,-24,-45,-66,-36,10,"Liberec Region",NA
-72,-21,-14,-63,-27,10,"Moravian Silesian Region",NA
-72,-27,-15,-74,-27,10,"Olomouc Region",NA
-74,-27,-1,-73,-28,10,"Pardubice Region",NA
-74,-29,-8,-55,-30,10,"Plzen Region",NA
-77,-30,-58,-71,-38,15,"Prague",NA
-72,-27,-17,-60,-29,9,"South Bohemian Region","CZE"
-70,-24,5,-50,-28,11,"South Moravian Region",NA
-74,-21,27,-55,-28,10,"Vysocina Region",NA
-71,-25,1,-65,-29,9,"Zlin Region",NA
-71,-25,-28,-56,-26,9,"Ústí nad Labem Region",NA
-35,-21,-21,-33,-9,14,"Côte d Ivoire","CIV"
-37,-22,35,-60,-28,9,"Denmark","DNK"
-48,-24,13,-67,-33,10,"Capital Region of Denmark","DNK"
-34,-23,71,-55,-26,9,"Central Denmark Region","DNK"
-34,-16,32,-54,-26,8,"North Denmark Region","DNK"
-28,-17,54,-55,-25,8,"Region Zealand",NA
-30,-22,23,-59,-28,9,"Region of Southern Denmark","DNK"
-80,-63,-73,-84,-56,23,"Dominican Republic","DOM"
-84,-66,-80,-80,-61,26,"Ecuador","ECU"
-50,-24,-40,-52,-35,15,"Egypt","EGY"
-81,-62,-72,-73,-50,23,"El Salvador","SLV"
-60,-28,4,-51,-32,10,"Estonia","EST"
-61,-29,2,-57,-34,11,"Harju County",NA
NA,NA,NA,NA,-68,NA,"Hiiu County",NA
-50,-22,-23,-35,-28,12,"Ida Viru County",NA
-41,-23,NA,NA,-39,NA,"Järva County",NA
-45,-24,NA,NA,-42,NA,"Jõgeva County",NA
-53,-32,NA,NA,-47,NA,"Lääne County",NA
-55,-20,NA,-41,-20,5,"Lääne Viru County",NA
-67,-31,-17,-53,-36,20,"Pärnu County",NA
-77,-24,NA,NA,-48,NA,"Põlva County",NA
-72,-23,NA,NA,-47,NA,"Rapla County",NA
-80,-40,NA,-80,-57,NA,"Saare County",NA
-65,-30,-13,-54,-35,23,"Tartu County",NA
-58,-30,NA,NA,-40,NA,"Valga County",NA
-58,-26,NA,-42,-13,NA,"Viljandi County",NA
-82,-20,NA,NA,-46,NA,"Võru County",NA
-39,-25,-13,-59,-6,12,"Fiji","FJI"
-52,-21,48,-59,-25,9,"Finland","FIN"
-48,-22,60,-70,-23,8,"Central Finland","FIN"
-44,-13,NA,-63,-21,15,"Central Ostrobothnia",NA
-54,-24,44,-64,-21,13,"Kainuu",NA
-52,-21,65,-64,-17,8,"Kymenlaakso",NA
-62,-30,40,-71,-31,7,"Lapland",NA
-54,-20,61,-54,-24,14,"North Karelia",NA
-51,-24,73,-55,-24,8,"Northern Ostrobothnia",NA
-56,-20,47,-53,-22,7,"Northern Savonia",NA
-44,-16,70,-50,-21,8,"Ostrobothnia",NA
-53,-21,42,-53,-26,9,"Pirkanmaa",NA
-56,-22,84,-54,-25,8,"Päijänne Tavastia",NA
-49,-22,34,-48,-19,8,"Satakunta",NA
-55,-26,46,-64,-25,15,"South Karelia",NA
-49,-20,50,-51,-20,9,"Southern Ostrobothnia",NA
-55,-18,59,-66,-23,14,"Southern Savonia",NA
-54,-22,15,-51,-25,9,"Southwest Finland","FIN"
-53,-24,43,-62,-22,9,"Tavastia Proper",NA
-50,-20,39,-64,-28,10,"Uusimaa",NA
-88,-72,-82,-87,-56,18,"France","FRA"
-87,-74,-80,-89,-56,19,"Auvergne Rhône Alpes",NA
-87,-77,-77,-88,-54,18,"Bourgogne Franche Comté",NA
-87,-76,-83,-88,-53,18,"Brittany",NA
