Category,Information,Source,URL,Progress,Folder,License,Reference
Mobility,Google mobility data,Google,https://www.google.com/covid19/mobility/,Done,google_mobility,,
Health,Hospital data per country,WHO Health workforce/facilities database,https://apps.who.int/gho/data/node.main.HWF,Done,WHO_OECD,,
Health,Health infrastructure per country data,OECD Health care resources database,https://stats.oecd.org/index.aspx?queryid=30183,Done,WHO_OECD,,
Policies,Government effectiveness,Worldwide Governance Indicators,www.govindicators.org,Done,WB_GOV,CC-BY 3.0,
Policies,COVID-19 specific regulation policies,Oxford Tracker for Regulation Policies,https://www.bsg.ox.ac.uk/research/research-projects/oxford-covid-19-government-response-tracker,Done,Ox_CGRT,CC-BY 4.0,Hale Thomas and Samuel Webster (2020)
Health,Global Health Security Index,Nuclear Threat Initiative,https://www.ghsindex.org/,Done,GHS,CC BY-NC-ND?4.0,
COVID19,Number of cases and fatalities,CSSE Global Cases,https://systems.jhu.edu/,Done,CSSE,Copyright (academic use permitted),"<a href = ""https://doi.org/10.1016/S1473-3099(20)30120-1"">Dong  Du  & Gardner"
Economics,World Development Indicators,World Bank,https://datacatalog.worldbank.org/dataset/world-development-indicators,Done,WB_WDI,CC-BY 4.0,
Response,Number of tests,Our world in data,,Done,OWID_Tests,,
Economic,Doing Business,World Bank,https://s3.amazonaws.com/datascope-ast-datasets-nov29/datasets/435/data.csv,Done,WB_BUSINESS,CC-BY 4.0,
Mobility,Logistics Performance Index,World Bank,https://s3.amazonaws.com/datascope-ast-datasets-nov29/datasets/50/data.csv,Done,WB_LOGISTICS,CC-BY 4.0,
Policies,Failed States Index,World Bank,https://s3.amazonaws.com/datascope-ast-datasets-nov29/datasets/97/data.csv,Done,WB_FAILED,CC-BY 4.0,
Society,Freedom House,World Bank,https://s3.amazonaws.com/datascope-ast-datasets-nov29/datasets/997/data.csv,Done,WB_FREEDOM,CC-BY 4.0,
Policies,Global Indicators of Regulatory Governance,World Bank,https://s3.amazonaws.com/datascope-ast-datasets-nov29/datasets/50/data.csv,Done,WB_GOVERNANCE,CC-BY 4.0,
Policies,Institutional Profiles Database,World Bank,https://s3.amazonaws.com/datascope-ast-datasets-nov29/datasets/999/data.csv,Done,WB_INSTITUTIONAL,CC-BY 4.0,
Policies,Worldwide Bureaucracy Indicators,World Bank,https://s3.amazonaws.com/datascope-ast-datasets-nov29/datasets/4127/data.csv,Done,WB_BUREAUCRACY,CC-BY 4.0,
Trade,United Nations Conference on Trade and Development,World Bank,https://s3.amazonaws.com/datascope-ast-datasets-nov29/datasets/513/data.csv,Done,WB_TRADE_DEV,CC-BY 4.0,
Society,Press Freedom Index by Reporters without Borders,World Bank,https://s3.amazonaws.com/datascope-ast-datasets-nov29/datasets/1000/data.csv,Done,WB_PRESS_FREE,CC-BY 4.0,
Education,Education Statistics,World Bank,https://s3.amazonaws.com/datascope-ast-datasets-nov29/datasets/748/data.csv,Done,WB_EDUCATION,CC-BY 4.0,
Society,Gender Statistics,World Bank,https://s3.amazonaws.com/datascope-ast-datasets-nov29/datasets/747/data.csv,Done,WB_GENDER,CC-BY 4.0,
Mobility,Travel & Tourism Competitiveness,World Bank,https://s3.amazonaws.com/datascope-ast-datasets-nov29/datasets/78/data.csv,Done,WB_TOURISM,CC-BY 4.0,
Mobility,World Travel & Tourism Counsil,World Bank,https://s3.amazonaws.com/datascope-ast-datasets-nov29/datasets/79/data.csv,Done,WB_WTTC,CC-BY 4.0,
