"Subscale","Items","n","mean","sd","min","max","skew","skew_2se","kurt","kurt_2se","Reliability","Interpret","min_load","max_load"
"disc","3.00","55125.00","0.64","0.77","-2.00","2.00","-0.44","-21.28","0.15","3.54","0.68","Questionable","0.41","0.84"
"jbinsec","4.00","45363.00","-0.42","1.08","-2.00","2.00","0.38","16.59","-0.56","-12.25","0.81","Good","0.63","0.88"
"pfs","3.00","55109.00","0.13","1.05","-2.00","2.00","-0.10","-4.83","-0.66","-15.81","0.85","Good","0.65","0.92"
"fail","3.00","55127.00","-0.01","0.86","-2.00","2.00","-0.02","-0.83","-0.18","-4.34","0.66","Questionable","0.48","0.72"
"lone","3.00","55150.00","2.39","1.02","1.00","5.00","0.43","20.52","-0.51","-12.20","0.82","Good","0.76","0.82"
"probsolving","3.00","55123.00","3.70","0.85","1.00","5.00","-0.49","-23.28","0.15","3.69","0.84","Good","0.77","0.86"
"posrefocus","3.00","55118.00","3.10","0.91","1.00","5.00","-0.16","-7.85","-0.17","-4.13","0.85","Good","0.75","0.85"
"c19proso","4.00","55125.00","0.83","1.23","-3.00","3.00","-0.54","-26.00","0.15","3.64","0.77","Acceptable","0.56","0.80"
"c19perbeh","3.00","55127.00","2.20","1.00","-3.00","3.00","-1.89","-90.62","4.48","107.46","0.75","Acceptable","0.59","0.95"
"c19rca","3.00","55120.00","1.48","1.34","-3.00","3.00","-1.01","-48.36","0.78","18.64","0.71","Acceptable","0.59","0.81"
"ecoproso","4.00","55059.00","0.63","1.33","-3.00","3.00","-0.51","-24.49","0.04","1.02","0.86","Good","0.67","0.84"
"ecorca","3.00","55052.00","-0.11","1.41","-3.00","3.00","-0.15","-7.00","-0.43","-10.33","0.66","Questionable","0.59","0.68"
"bor","3.00","55116.00","1.37","1.29","-3.00","6.00","0.00","0.12","-0.35","-8.49","0.53","Poor","0.07","0.99"
"migrantthreat","5.00","54808.00","5.43","2.32","1.00","10.00","-0.18","-8.78","-0.67","-16.09","0.91","Excellent","0.75","0.89"
"crt","3.00","55107.00","1.96","0.38","1.00","3.00","-0.78","-37.29","-0.30","-7.15","0.27","Unacceptable","0.22","0.47"
"neuro","3.00","55092.00","0.34","0.87","-3.00","3.00","-0.13","-6.23","0.56","13.32","-0.31","Unacceptable","-0.55","0.86"
"para","3.00","55052.00","3.93","2.19","0.00","10.00","0.29","13.81","-0.21","-4.99","0.69","Questionable","0.41","0.91"
"consp","3.00","54861.00","6.57","2.09","0.00","10.00","-0.46","-22.07","-0.02","-0.51","0.73","Acceptable","0.46","0.83"
