"name","missing","unique","median","mode","mode_value","v","range","Items","n","mean","sd","min","max","skew","skew_2se","kurt","kurt_2se","Reliability","Interpret","min_load","max_load","type","label","Description","Importance","rank"
"c19normshould",0.000862844449340016,8,2,2,NA,NA,6,1,54424,2.02436425106571,1.28769312850798,-3,3,-1.69785757170665,-80.8542463072382,2.94103670827406,70.0293355225001,NA,NA,NA,NA,"integer","Should social distance","Injunctive norm (Right now, people in my area...""-...should self-isolate and engage in social distancing.”)",0.153951614048384,1
"c19rca",0.000293734280626388,25,1.66666666666667,1.66666666666667,NA,NA,6,3,55975,1.48,1.34,-3,3,-1.01,-48.75,0.78,18.81,0.71,"Acceptable",0.59,0.81,"numeric","COVID restrictive measures","Support for severe collective virus containment measures (3 items: mandatory quarantines,  mandatory vaccinations, report people suspected to be infected with COVID-19)",0.143067005294863,2
"c19proso",0.000275375888087239,36,1,1,NA,NA,6,4,55979,0.84,1.23,-3,3,-0.55,-26.37,0.16,3.84,0.77,"Acceptable",0.56,0.8,"numeric","COVID prosocial","3-items: attitude towards prosociality (willingness to sacrifice to protect vulnerable groups from covid 19)",0.0609048430588323,3
"isoimmi_inperson",0.0129059499550219,9,0,0,NA,NA,7,1,53768,0.518245052819521,1.47018339078634,0,7,3.09385075745654,146.442723044946,8.80623951828355,208.418856839846,NA,NA,NA,NA,"integer","Contact immigrants","days of in-person (face-to-face) contact with immigrants",0.041293572698522,4
"houseleave",0,4,2,2,NA,NA,3,1,54471,2.36672724936205,1.04446978762601,1,4,0.389363108009188,18.5499956518848,-1.04295334535707,-24.8445920406966,NA,NA,NA,NA,"integer","home.leave.often","How may days in the last week did you leave your home? 0, 1, 2, 3, 4+",0.0348000154832289,5
"isoothppl_inperson",0.0101889078592278,9,1,1,NA,NA,7,1,53916,1.90147637065064,2.18105048545082,0,7,1.04117564977576,49.3502430732777,-0.0490100071157502,-1.16152381116937,NA,NA,NA,NA,"integer","Contact people","in-person (face-to-face) contact with other people in general",0.0343903624705728,6
"c19normdo",0.000771052486644269,8,2,2,NA,NA,6,1,54429,1.30672986826875,1.50908023580704,-3,3,-0.944065414086896,-44.959721511744,0.338613248149204,8.06312612151465,NA,NA,NA,NA,"integer","Do social distance","Descriptive norm (Right now, people in my area...""-...do self-isolate and engage in social distancing.”)",0.0314646400461201,7
"ecoproso",0.0011932955150447,38,0.75,0.75,NA,NA,6,4,55910,0.63,1.33,-3,3,-0.51,-24.82,0.05,1.13,0.86,"Good",0.67,0.84,"numeric","Econ. prosocial","3-item willingness to behave prosocially to protect others from economic consequences of the coronavirus",0.0301653375525991,8
"probsolving",0.00025701749554809,18,3.66666666666667,3.66666666666667,NA,NA,4,3,55976,3.7,0.85,1,5,-0.48,-23.35,0.15,3.63,0.84,"Good",0.77,0.86,"numeric","Problem solving","3-item problem-focused coping",0.016592097636195,9
"csqc19contract",0.00190927282407152,6,4,4,NA,NA,4,1,54367,3.94583111078412,1.22683421185303,1,5,-0.941809877109207,-44.82675342331,-0.175250786026006,-4.17072938044974,NA,NA,NA,NA,"integer","Consequence contracting","How personally disturbing would it be if… “You were infected with coronavirus”",0.0150560077994404,10
"c19hope",0.000403884635861284,8,2,2,NA,NA,6,1,54449,1.21577990413047,1.51700737570567,-3,3,-0.898065905518056,-42.776919447107,0.242938128777553,5.78595375649106,NA,NA,NA,NA,"integer","COVID hopeful","Positive outlook: “I have high hopes that the coronavirus situation will improve”",0.0133558203340995,11
"doctors_per_10k",0,27,26.12,26.12,NA,NA,50.52,1,54471,28.5368126893209,11.6250171019849,4.269,54.789,-0.134755858608182,-6.42002423914489,0.329825562376515,7.85690134493254,NA,NA,NA,NA,"numeric","C_doctors per 10k","Number of doctors per 10,000 residents. Source: World Health Organization",0.0116941609489832,12
"date",0,65,NA,3347,"11_04_2020",0.965775997882903,NA,1,54471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"character","Date","Data of survey participation (March 19-May 25). ",0.0102377935697758,13
"confirmed",0,843,5.07461933243611e-05,5.07461933243611e-05,NA,NA,0.00474135475559855,1,54471,0.000330282053392116,0.000700509918938582,0,0.00474135475559855,3.24955421397203,154.814915177641,10.9437259889771,260.694698196896,NA,NA,NA,NA,"numeric","C_confirmed","Number of confirmed coronavirus infections (country-level). Source: Johns Hopkins database.",0.00934241783979395,14
"politicalstability",0,27,0.1091348,0.1091348,NA,NA,2.885878,1,54471,0.0854533894218942,0.643862373310917,-1.826185,1.059693,-1.06147720967565,-50.5707839778016,0.939393118067535,22.3776441085536,NA,NA,NA,NA,"numeric","C_political stability","Political stability and absence of violence/terrorism (country-level). Source: World Governance Index",0.00891192057862709,15
"tempfocpres",0.00106478676727066,8,2,2,NA,NA,6,1,54413,1.31198426846526,1.20864095790594,-3,3,-0.926010899774005,-44.0934199801389,0.961169305395151,22.8841910168724,NA,NA,NA,NA,"integer","Focus present","Temporal focus: on the present moment (1 item)",0.00890641222499896,16
"tempfocfut",0.00121165390758385,8,2,2,NA,NA,6,1,54405,1.40838158257513,1.29525340520354,-3,3,-0.97146287774134,-46.2542847421597,0.902995936232234,21.4975784045802,NA,NA,NA,NA,"integer","Focus future","temporal focus on the future (1 -item)",0.00888215736561726,17
"isoimmi_online",0.0292632777074039,9,0,0,NA,NA,7,1,52877,0.767725097868639,1.81172392757771,0,7,2.41720101727625,113.462636408398,4.65521463728316,109.259203038474,NA,NA,NA,NA,"integer","Online immigrants","Days of online (virtual) contact with immigrants",0.00876031941440993,18
"deaths",0,757,1.85129608674614e-06,1.85129608674614e-06,NA,NA,0.000553615588363933,1,54471,2.33436127214456e-05,7.46658318189712e-05,0,0.000553615588363933,4.12592658550734,196.566954204996,16.0272612745284,381.79154385759,NA,NA,NA,NA,"numeric","C_deaths","Number of confirmed COVID-19 deaths (country-level). Source: Johns Hopkins database.",0.00869703710915426,19
